Player,Team,Comp,Att,Pct,Yds,YPA,TD,Int,1st,Pct,Lng,Sck,SckY,Fum,FumL,QBR
D Brees,NO,23,39,59.0,352,9.0,1,1,16,41.0,57,2,19,0,0,86.7
K Orton,DEN,24,41,58.5,347,8.5,3,0,16,39.0,41,3,17,0,0,110.5
A Rodgers,GB,26,35,74.3,344,9.8,1,0,15,42.9,35,1,3,1,0,114.5
T Brady,NE,21,27,77.8,341,12.6,4,0,13,48.1,79,1,3,0,0,158.3
M Vick,PHI,29,44,65.9,333,7.6,2,1,19,43.2,30,4,40,3,0,94.2
J Kitna,DAL,30,42,71.4,313,7.5,0,1,16,38.1,47,1,0,1,0,82.7
S Bradford,STL,22,37,59.5,308,8.3,3,0,16,43.2,45,2,0,0,0,113.3
C Henne,MIA,17,30,56.7,307,10.2,2,1,13,43.3,57,3,22,0,0,100.3
J Flacco,BAL,25,35,71.4,289,8.3,2,1,12,34.3,65,4,32,0,0,103.2
P Manning,IND,31,48,64.6,285,5.9,2,4,16,33.3,30,1,6,0,0,59.8
S Hill,DET,27,46,58.7,285,6.2,1,2,13,28.3,34,2,8,0,0,65.9
M Hasselbeck,SEA,20,37,54.1,282,7.6,2,2,10,27.0,87,2,14,1,1,74.4
R Fitzpatrick,BUF,23,45,51.1,265,5.9,1,1,14,31.1,65,2,10,0,0,67.4
B Gradkowski,OAK,17,32,53.1,252,7.9,1,2,8,25.0,52,1,5,0,0,63.5
J Cutler,CHI,14,21,66.7,247,11.8,4,0,14,66.7,39,4,29,0,0,146.2
B Roethlisberger,PIT,20,33,60.6,246,7.5,0,0,13,39.4,26,5,26,0,0,83.6
J Delhomme,CLE,24,35,68.6,245,7.0,0,2,12,34.3,24,2,18,1,0,64.6
M Cassel,KC,22,32,68.8,233,7.3,4,0,15,46.9,36,0,0,0,0,129.3
E Manning,NYG,14,24,58.3,226,9.4,2,0,11,45.8,32,0,0,0,0,117.7
D McNabb,WSH,21,35,60.0,211,6.0,1,1,9,25.7,45,4,24,1,0,74.8
M Ryan,ATL,24,28,85.7,197,7.0,1,0,12,42.9,21,2,20,0,0,107.9
D Anderson,ARZ,16,35,45.7,196,5.6,0,1,8,22.9,43,1,6,0,0,51.6
J Clausen,CAR,16,28,57.1,195,7.0,0,1,10,35.7,32,3,20,0,0,63.8
P Rivers,SD,19,23,82.6,185,8.0,0,0,10,43.5,20,2,13,0,0,100.2
M Schaub,HOU,25,35,71.4,178,5.1,2,0,12,34.3,21,2,20,1,0,101.8
B Favre,MIN,15,23,65.2,172,7.5,0,0,8,34.8,34,2,10,0,0,87.6
M Sanchez,NYJ,16,28,57.1,166,5.9,1,1,9,32.1,23,2,17,0,0,71.4
D Garrard,JAX,20,35,57.1,162,4.6,0,1,9,25.7,21,4,41,3,1,57.1
J Freeman,TB,17,37,45.9,162,4.4,1,0,7,18.9,30,0,0,1,0,67.6
R Smith,TEN,17,31,54.8,138,4.5,0,3,6,19.4,23,1,0,0,0,26.7
C Palmer,CIN,17,38,44.7,135,3.6,1,2,10,26.3,25,3,18,0,0,41.0
T Smith,SF,11,23,47.8,129,5.6,1,1,6,26.1,38,1,4,0,0,61.7
C Johnson,CIN,0,1,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.6
P Hillis,CLE,0,1,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.6
