Player,Team,Comp,Att,Pct,Yds,YPA,TD,Int,1st,Pct,Lng,Sck,SckY,Fum,FumL,QBR
R Grossman,WSH,26,44,59.1,336,7.6,2,1,14,31.8,64,2,18,2,2,88.8
P Rivers,SD,21,37,56.8,313,8.5,0,1,14,37.8,41,5,30,0,0,73.4
C Palmer,CIN,32,45,71.1,305,6.8,1,2,14,31.1,39,0,0,0,0,78.5
K Collins,TEN,28,39,71.8,300,7.7,2,0,14,35.9,38,1,10,0,0,111.1
B Roethlisberger,PIT,15,22,68.2,280,12.7,2,0,13,59.1,56,0,0,0,0,141.3
A Smith,SF,15,29,51.7,276,9.5,2,0,11,37.9,59,2,14,0,0,107.8
P Manning,IND,27,41,65.9,264,6.4,2,0,14,34.1,30,1,7,0,0,100.1
S Hill,DET,28,39,71.8,258,6.6,1,1,16,41.0,33,1,8,0,0,87.3
J Freeman,TB,21,26,80.8,255,9.8,2,0,11,42.3,54,3,22,1,1,133.2
M Schaub,HOU,18,22,81.8,253,11.5,1,0,9,40.9,41,0,0,0,0,129.7
E Manning,NYG,17,29,58.6,243,8.4,1,1,9,31.0,92,0,0,0,0,83.0
M Ryan,ATL,22,32,68.8,236,7.4,2,0,13,40.6,22,1,3,1,0,110.9
A Rodgers,GB,19,28,67.9,229,8.2,1,1,9,32.1,46,2,5,0,0,89.7
C McCoy,CLE,20,41,48.8,209,5.1,1,3,10,24.4,31,4,28,1,0,41.6
T Tebow,DEN,16,36,44.4,205,5.7,2,2,12,33.3,25,3,14,0,0,58.2
T Brady,NE,10,16,62.5,199,12.4,2,0,8,50.0,40,0,0,0,0,145.6
D Brees,NO,22,38,57.9,196,5.2,1,1,11,28.9,21,3,13,1,1,69.6
C Whitehurst,SEA,22,36,61.1,192,5.3,1,0,9,25.0,61,0,0,0,0,84.5
J Clausen,CAR,19,33,57.6,182,5.5,1,1,8,24.2,31,3,28,1,0,70.5
T Thigpen,MIA,10,21,47.6,169,8.0,1,0,7,33.3,35,2,11,0,0,91.2
J Cutler,CHI,21,39,53.8,168,4.3,0,2,8,20.5,27,6,51,0,0,43.5
K Kolb,PHI,18,36,50.0,162,4.5,1,3,6,16.7,48,5,39,1,1,37.0
J Campbell,OAK,15,25,60.0,155,6.2,1,0,9,36.0,35,3,19,0,0,91.3
S Bradford,STL,19,36,52.8,155,4.3,0,1,8,22.2,20,3,18,1,0,52.4
R Bartel,ARZ,16,28,57.1,150,5.4,0,1,7,25.0,31,2,12,0,0,57.1
J Webb,MIN,20,32,62.5,145,4.5,0,1,8,25.0,20,3,8,0,0,60.0
T Edwards,JAX,12,25,48.0,140,5.6,1,1,6,24.0,44,2,16,0,0,62.1
S McGee,DAL,11,27,40.7,127,4.7,1,0,5,18.5,33,2,14,0,0,68.0
J Flacco,BAL,14,19,73.7,125,6.6,0,1,5,26.3,37,4,24,0,0,69.0
B Hoyer,NE,7,13,53.8,122,9.4,1,0,7,53.8,42,0,0,0,0,111.7
M Cassel,KC,11,33,33.3,115,3.5,0,2,7,21.2,19,5,46,0,0,19.1
M Brunell,NYJ,6,12,50.0,110,9.2,2,1,6,50.0,52,1,7,0,0,86.8
B Brohm,BUF,10,23,43.5,106,4.6,0,3,4,17.4,33,3,5,1,1,17.9
J Skelton,ARZ,14,25,56.0,92,3.7,1,1,7,28.0,18,4,29,1,0,60.8
C Henne,MIA,6,16,37.5,71,4.4,0,1,3,18.8,20,3,23,0,0,25.8
B Leftwich,PIT,5,7,71.4,42,6.0,0,0,3,42.9,14,2,7,0,0,86.6
T Palko,KC,2,3,66.7,27,9.0,0,0,1,33.3,18,2,10,0,0,95.1
L Brown,BUF,2,3,66.7,24,8.0,0,1,1,33.3,16,0,0,0,0,51.4
C Redman,ATL,4,6,66.7,20,3.3,0,0,1,16.7,14,0,0,0,0,71.5
C Daniel,NO,2,3,66.7,16,5.3,0,0,0,0.0,9,0,0,0,0,79.9
K Clemens,NYJ,1,2,50.0,6,3.0,0,0,1,50.0,6,0,0,0,0,56.3
K Boller,OAK,1,1,100.0,5,5.0,0,0,0,0.0,5,1,6,0,0,87.5
A Randle El,PIT,1,1,100.0,3,3.0,1,0,1,100.0,3,0,0,0,0,118.8
B Smith,NYJ,1,1,100.0,3,3.0,0,0,0,0.0,3,0,0,0,0,79.2
S Wallace,CLE,1,1,100.0,1,1.0,0,0,0,0.0,1,0,0,0,0,79.2
J Cribbs,CLE,0,1,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.6
M Spurlock,TB,0,1,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.6
B LaFell,CAR,0,1,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.6
