Player,Team,Comp,Att,Pct,Yds,YPA,TD,Int,1st,Pct,Lng,Sck,SckY,Fum,FumL,QBR
B Favre,MIN,36,47,76.6,446,9.5,2,2,22,46.8,33,3,19,0,0,101.9
M Sanchez,NYJ,22,39,56.4,336,8.6,1,1,15,38.5,74,1,9,1,0,82.9
R Fitzpatrick,BUF,31,51,60.8,299,5.9,1,2,16,31.4,45,1,5,0,0,67.4
P Rivers,SD,17,23,73.9,295,12.8,4,1,13,56.5,55,1,5,0,0,137.2
P Manning,IND,31,51,60.8,294,5.8,1,2,14,27.5,33,3,18,0,0,67.0
E Manning,NYG,21,32,65.6,290,9.1,3,0,15,46.9,46,0,0,0,0,125.8
A Rodgers,GB,27,34,79.4,289,8.5,3,0,15,44.1,33,1,12,0,0,131.5
M Schaub,HOU,21,32,65.6,267,8.3,0,1,12,37.5,33,2,15,1,0,78.5
J Flacco,BAL,20,27,74.1,266,9.9,2,0,14,51.9,34,4,23,0,0,129.6
D Brees,NO,27,43,62.8,253,5.9,2,1,14,32.6,36,0,0,0,0,84.7
C Palmer,CIN,22,36,61.1,248,6.9,2,1,10,27.8,27,4,30,1,0,88.7
M Stafford,DET,20,36,55.6,240,6.7,2,0,12,33.3,36,2,12,0,0,94.7
M Ryan,ATL,24,36,66.7,235,6.5,1,0,16,44.4,43,0,0,0,0,94.1
C Henne,MIA,22,34,64.7,231,6.8,0,3,12,35.3,34,2,15,0,0,47.5
J Campbell,OAK,19,33,57.6,229,6.9,1,1,11,33.3,47,4,20,0,0,76.5
T Brady,NE,19,36,52.8,224,6.2,2,0,15,41.7,26,1,9,0,0,90.5
M Vick,PHI,17,29,58.6,218,7.5,1,0,9,31.0,58,3,11,0,0,93.8
M Cassel,KC,20,35,57.1,216,6.2,2,1,9,25.7,23,3,16,0,0,82.6
J Freeman,TB,11,22,50.0,189,8.6,2,2,7,31.8,58,1,7,0,0,72.0
J Cutler,CHI,17,30,56.7,188,6.3,2,0,11,36.7,26,1,10,1,1,97.6
J Kitna,DAL,19,30,63.3,183,6.1,1,2,10,33.3,41,4,17,2,0,63.6
D Anderson,ARZ,15,26,57.7,179,6.9,1,0,8,30.8,30,6,24,0,0,91.7
C McCoy,CLE,14,19,73.7,174,9.2,0,0,10,52.6,29,0,0,0,0,101.6
B Roethlisberger,PIT,17,27,63.0,163,6.0,1,1,6,22.2,35,1,9,0,0,76.6
C Whitehurst,SEA,12,23,52.2,113,4.9,1,2,4,17.4,36,0,0,0,0,44.3
J Clausen,CAR,8,18,44.4,47,2.6,0,1,1,5.6,13,2,21,0,0,28.5
T Pike,CAR,6,12,50.0,47,3.9,0,0,2,16.7,22,1,10,0,0,60.1
A Randle El,PIT,1,1,100.0,39,39.0,1,0,1,100.0,39,0,0,0,0,158.3
S Breaston,ARZ,1,1,100.0,17,17.0,0,0,1,100.0,17,0,0,0,0,118.8
S Koch,BAL,1,1,100.0,13,13.0,0,0,1,100.0,13,0,0,0,0,118.8
M Moore,CAR,3,6,50.0,13,2.2,0,0,1,16.7,6,1,8,0,0,56.3
D Stanton,DET,0,1,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.6
M Flynn,GB,0,1,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.6
D McFadden,OAK,0,1,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.6
B Hoyer,NE,0,2,0.0,0,0.0,0,1,0,0.0,0,0,0,0,0,0.0
C Daniel,NO,0,0,-,0,-,0,0,0,-,0,1,10,0,0,-
