Player,Team,Comp,Att,Pct,Yds,YPA,TD,Int,1st,Pct,Lng,Sck,SckY,Fum,FumL,QBR
K Kolb,PHI,23,29,79.3,326,11.2,3,1,12,41.4,83,1,6,0,0,133.6
A Rodgers,GB,18,33,54.5,313,9.5,1,1,12,36.4,86,5,30,0,0,84.5
P Manning,IND,25,38,65.8,307,8.1,2,0,17,44.7,57,1,8,1,1,108.1
M Schaub,HOU,25,33,75.8,305,9.2,2,0,15,45.5,44,2,16,0,0,123.9
T Brady,NE,27,44,61.4,292,6.6,1,2,13,29.5,30,3,25,0,0,69.5
J Cutler,CHI,17,39,43.6,290,7.4,0,0,11,28.2,67,6,44,1,0,69.4
J Flacco,BAL,27,35,77.1,285,8.1,2,0,13,37.1,25,3,7,1,0,119.3
C McCoy,CLE,23,33,69.7,281,8.5,1,2,14,42.4,34,5,23,0,0,80.5
D Brees,NO,21,32,65.6,263,8.2,3,1,13,40.6,42,0,0,0,0,109.2
B Roethlisberger,PIT,16,27,59.3,257,9.5,3,1,13,48.1,50,0,0,0,0,112.7
M Ryan,ATL,23,42,54.8,250,6.0,2,1,13,31.0,42,3,22,1,1,78.5
P Rivers,SD,22,37,59.5,249,6.7,1,1,15,40.5,29,7,41,0,0,77.4
D McNabb,WSH,29,45,64.4,246,5.5,1,2,15,33.3,19,3,24,0,0,67.5
M Hasselbeck,SEA,25,40,62.5,242,6.1,1,0,14,35.0,24,0,0,0,0,87.7
C Henne,MIA,23,39,59.0,231,5.9,2,1,15,38.5,23,0,0,0,0,82.3
D Stanton,DET,19,34,55.9,222,6.5,1,1,7,20.6,87,2,11,3,1,73.4
T Romo,DAL,24,32,75.0,220,6.9,3,2,9,28.1,31,0,0,0,0,98.4
J Freeman,TB,25,43,58.1,219,5.1,1,0,15,34.9,27,0,0,0,0,79.5
K Orton,DEN,14,34,41.2,209,6.1,1,0,10,29.4,29,1,8,0,0,71.8
M Cassel,KC,20,29,69.0,201,6.9,3,0,13,44.8,42,1,12,0,0,122.9
M Sanchez,NYJ,17,30,56.7,198,6.6,1,2,9,30.0,41,2,8,0,0,60.1
S Bradford,STL,18,31,58.1,198,6.4,1,0,11,35.5,38,3,15,0,0,87.8
A Smith,SF,16,33,48.5,196,5.9,2,0,8,24.2,35,2,5,0,0,87.4
E Manning,NYG,20,30,66.7,177,5.9,2,0,12,40.0,33,2,10,0,0,104.4
T Edwards,JAX,14,24,58.3,140,5.8,0,2,7,29.2,21,2,16,0,0,40.3
B Favre,MIN,14,19,73.7,118,6.2,1,0,5,26.3,20,3,25,0,0,106.9
K Collins,TEN,11,16,68.8,110,6.9,1,0,7,43.8,20,0,0,0,0,108.9
S Hill,DET,9,15,60.0,91,6.1,1,0,4,26.7,22,0,0,0,0,99.6
J Campbell,OAK,8,21,38.1,83,4.0,0,2,4,19.0,26,2,14,1,0,10.7
V Young,TEN,3,5,60.0,61,12.2,1,0,3,60.0,28,0,0,0,0,142.5
D Garrard,JAX,7,12,58.3,49,4.1,0,1,1,8.3,10,0,0,0,0,33.0
J Johnson,TB,2,4,50.0,17,4.3,0,0,0,0.0,15,1,1,0,0,61.5
J Cribbs,CLE,0,0,-,0,-,0,0,0,-,0,1,0,1,0,-
