Player,Team,Comp,Att,Pct,Yds,YPA,TD,Int,1st,Pct,Lng,Sck,SckY,Fum,FumL,QBR
J Kitna,DAL,34,49,69.4,379,7.7,1,4,16,32.7,35,2,14,0,0,64.9
K Orton,DEN,28,40,70.0,370,9.3,1,1,16,40.0,71,4,31,0,0,96.9
J Campbell,OAK,15,27,55.6,310,11.5,2,0,9,33.3,69,2,4,0,0,120.9
D Brees,NO,34,44,77.3,305,6.9,2,1,14,31.8,50,2,17,1,1,101.0
P Rivers,SD,27,36,75.0,305,8.5,2,1,13,36.1,48,1,5,0,0,106.8
J Freeman,TB,18,25,72.0,278,11.1,1,0,9,36.0,53,2,25,0,0,121.8
P Manning,IND,26,45,57.8,268,6.0,2,0,15,33.3,34,1,9,0,0,89.9
D Garrard,JAX,17,21,81.0,260,12.4,4,0,14,66.7,42,3,22,1,1,157.8
B Favre,MIN,22,32,68.8,259,8.1,0,1,10,31.3,30,0,0,0,0,80.1
M Sanchez,NYJ,16,38,42.1,256,6.7,0,2,11,28.9,49,2,15,0,0,43.3
V Young,TEN,10,21,47.6,253,12.0,2,0,9,42.9,71,0,0,0,0,123.7
T Brady,NE,16,27,59.3,240,8.9,1,0,9,33.3,65,0,0,0,0,100.8
D Anderson,ARZ,16,24,66.7,234,9.8,1,2,9,37.5,37,1,9,1,0,77.4
R Fitzpatrick,BUF,24,48,50.0,223,4.6,1,1,12,25.0,37,3,32,1,0,61.4
C Henne,MIA,24,37,64.9,217,5.9,0,1,10,27.0,25,0,0,0,0,69.3
M Stafford,DET,26,45,57.8,212,4.7,4,1,10,22.2,25,1,10,0,0,90.2
D McNabb,WSH,17,30,56.7,210,7.0,1,1,8,26.7,50,6,46,1,0,75.7
M Schaub,HOU,22,38,57.9,201,5.3,1,1,10,26.3,28,3,18,1,1,70.2
T Smith,SF,12,19,63.2,196,10.3,1,0,9,47.4,38,0,0,0,0,115.2
B Roethlisberger,PIT,17,28,60.7,195,7.0,0,1,6,21.4,25,3,24,0,0,66.8
M Moore,CAR,23,37,62.2,194,5.2,1,3,12,32.4,20,3,18,1,0,51.0
S Bradford,STL,25,32,78.1,191,6.0,2,0,12,37.5,33,2,7,0,0,112.4
A Rodgers,GB,15,34,44.1,170,5.0,0,0,10,29.4,30,2,14,0,0,59.7
M Hasselbeck,SEA,13,32,40.6,163,5.1,0,1,5,15.6,35,8,46,1,0,44.1
C Palmer,CIN,17,38,44.7,156,4.1,2,1,7,18.4,37,0,0,0,0,63.0
M Cassel,KC,14,26,53.8,152,5.8,1,0,10,38.5,31,3,12,0,0,84.1
M Hall,ARZ,8,16,50.0,71,4.4,1,2,5,31.3,17,0,0,0,0,43.5
K Collins,TEN,8,15,53.3,52,3.5,0,0,2,13.3,17,0,0,0,0,61.0
R Grossman,WSH,4,7,57.1,44,6.3,0,0,2,28.6,18,1,13,1,1,75.9
T Jackson,MIN,4,6,66.7,36,6.0,1,0,3,50.0,23,1,10,0,0,122.2
