Player,Team,Comp,Att,Pct,Yds,YPA,TD,Int,1st,Pct,Lng,Sck,SckY,Fum,FumL,QBR
P Manning,IND,40,57,70.2,433,7.6,3,0,20,35.1,73,2,14,0,0,109.8
J Cutler,CHI,23,35,65.7,372,10.6,2,1,15,42.9,89,4,10,1,1,108.3
C Palmer,CIN,34,50,68.0,345,6.9,2,1,21,42.0,51,1,4,0,0,92.5
P Rivers,SD,22,39,56.4,298,7.6,2,0,14,35.9,59,2,18,1,0,98.0
D Anderson,ARZ,22,41,53.7,297,7.2,1,0,13,31.7,35,2,31,2,1,85.1
K Orton,DEN,21,33,63.6,295,8.9,1,1,14,42.4,41,3,21,0,0,89.8
T Romo,DAL,31,47,66.0,282,6.0,1,0,15,31.9,30,1,5,0,0,89.1
E Manning,NYG,20,30,66.7,263,8.8,3,3,10,33.3,31,1,5,0,0,87.9
T Brady,NE,25,35,71.4,258,7.4,3,0,13,37.1,45,0,0,0,0,120.9
S Bradford,STL,32,55,58.2,253,4.6,1,3,12,21.8,39,2,13,0,0,53.1
M Ryan,ATL,27,44,61.4,252,5.7,0,1,11,25.0,23,2,15,0,0,67.6
J Flacco,BAL,20,38,52.6,248,6.5,0,1,12,31.6,38,2,15,1,1,62.2
D Brees,NO,27,36,75.0,237,6.6,1,0,12,33.3,29,1,8,0,0,101.3
D Dixon,PIT,18,26,69.2,236,9.1,0,1,8,30.8,52,3,25,0,0,81.6
J Delhomme,CLE,20,37,54.1,227,6.1,1,2,8,21.6,49,0,0,0,0,59.2
A Smith,SF,26,45,57.8,225,5.0,0,2,10,22.2,23,2,11,1,0,52.5
A Rodgers,GB,19,31,61.3,188,6.1,2,2,13,41.9,32,3,21,0,0,73.1
M Moore,CAR,14,33,42.4,182,5.5,1,3,10,30.3,27,4,34,2,1,32.6
C Henne,MIA,21,34,61.8,182,5.4,0,0,9,26.5,21,3,18,0,0,75.9
J Freeman,TB,17,28,60.7,182,6.5,2,1,9,32.1,33,3,13,0,0,88.7
J Campbell,OAK,22,37,59.5,180,4.9,1,1,9,24.3,27,4,30,2,1,69.7
M Vick,PHI,16,24,66.7,175,7.3,1,0,8,33.3,27,3,11,0,0,101.9
B Favre,MIN,15,27,55.6,171,6.3,1,1,7,25.9,33,1,9,0,0,71.7
D McNabb,WSH,15,32,46.9,171,5.3,0,0,10,31.3,24,1,10,0,0,63.4
M Hasselbeck,SEA,18,23,78.3,170,7.4,2,1,9,39.1,35,1,5,0,0,108.3
D Garrard,JAX,16,21,76.2,170,8.1,3,0,6,28.6,26,1,5,0,0,138.9
V Young,TEN,13,17,76.5,154,9.1,2,0,6,35.3,56,2,14,1,1,142.8
T Edwards,JAX,18,34,52.9,139,4.1,1,0,6,17.6,31,3,23,0,0,73.0
M Schaub,HOU,9,17,52.9,107,6.3,1,1,7,41.2,23,2,9,0,0,67.5
S Hill,DET,9,19,47.4,88,4.6,0,1,4,21.1,24,1,9,0,0,38.9
M Stafford,DET,11,15,73.3,83,5.5,0,0,5,33.3,19,1,14,1,1,86.3
M Sanchez,NYJ,10,21,47.6,74,3.5,0,0,2,9.5,13,2,14,0,0,56.4
M Cassel,KC,10,22,45.5,68,3.1,1,0,4,18.2,16,1,6,0,0,68.0
K Kolb,PHI,5,10,50.0,24,2.4,0,0,0,0.0,6,3,17,1,0,56.3
J Cribbs,CLE,1,1,100.0,9,9.0,0,0,1,100.0,9,0,0,0,0,104.2
M Barber,DAL,0,1,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.6
J Clausen,CAR,0,2,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.6
