Player,Team,Comp,Att,Pct,Yds,YPA,TD,Int,1st,Pct,Lng,Sck,SckY,Fum,FumL,QBR
D Brees,NO,29,45,64.4,370,8.2,4,1,19,42.2,41,3,19,1,0,110.4
A Luck,IND,31,55,56.4,362,6.6,2,1,16,29.1,30,4,17,1,0,81.0
P Rivers,SD,27,42,64.3,354,8.4,2,1,18,42.9,44,5,44,1,1,96.7
M Ryan,ATL,34,52,65.4,345,6.6,2,1,21,40.4,29,1,7,0,0,89.0
P Manning,DEN,31,44,70.5,337,7.7,3,0,16,36.4,38,2,13,1,1,115.4
A Smith,SF,18,24,75.0,303,12.6,3,0,10,41.7,53,0,0,0,0,156.3
J Cutler,CHI,23,39,59.0,292,7.5,2,1,16,41.0,39,1,5,0,0,88.8
B Weeden,CLE,22,35,62.9,291,8.3,2,2,11,31.4,62,0,0,0,0,84.3
K Kolb,ARZ,28,50,56.0,289,5.8,0,0,13,26.0,29,9,52,1,1,72.8
E Manning,NYG,25,37,67.6,259,7.0,3,1,12,32.4,36,0,0,0,0,103.3
C Ponder,MIN,25,35,71.4,258,7.4,2,2,13,37.1,45,1,0,0,0,87.6
A Rodgers,GB,20,32,62.5,235,7.3,3,1,11,34.4,31,5,28,0,0,103.0
A Dalton,CIN,26,43,60.5,234,5.4,1,2,13,30.2,24,3,16,0,0,63.5
M Sanchez,NYJ,14,31,45.2,230,7.4,1,2,10,32.3,36,3,13,1,0,54.5
T Brady,NE,23,31,74.2,223,7.2,1,0,16,51.6,25,4,30,1,0,104.6
R Tannehill,MIA,17,26,65.4,223,8.6,0,0,9,34.6,30,2,12,0,0,92.3
R Wilson,SEA,19,25,76.0,221,8.8,1,2,10,40.0,30,2,9,0,0,82.3
B Roethlisberger,PIT,22,38,57.9,220,5.8,1,0,14,36.8,20,0,0,1,0,83.2
M Schaub,HOU,14,28,50.0,209,7.5,1,1,10,35.7,34,0,0,0,0,71.9
M Hasselbeck,TEN,26,43,60.5,200,4.7,1,1,12,27.9,18,2,19,0,0,69.9
J Flacco,BAL,13,27,48.1,187,6.9,0,1,8,29.6,43,4,22,0,0,55.6
M Vick,PHI,20,30,66.7,175,5.8,2,0,9,30.0,24,3,7,1,0,104.2
B Gabbert,JAX,17,33,51.5,142,4.3,0,2,5,15.2,34,3,13,1,1,37.7
S Bradford,STL,7,21,33.3,141,6.7,2,1,6,28.6,51,1,10,0,0,69.7
C Newton,CAR,12,29,41.4,141,4.9,0,0,7,24.1,24,4,33,1,1,56.8
R Fitzpatrick,BUF,16,26,61.5,126,4.8,0,1,6,23.1,20,1,11,0,0,57.5
K Cousins,WSH,5,9,55.6,111,12.3,1,2,2,22.2,77,1,6,0,0,97.2
M Cassel,KC,9,15,60.0,92,6.1,0,2,5,33.3,26,0,0,0,0,38.1
R Griffin III,WSH,10,15,66.7,91,6.1,0,0,4,26.7,20,2,9,0,0,82.9
R Smith,TEN,3,5,60.0,34,6.8,0,0,2,40.0,17,0,0,0,0,80.4
B Quinn,KC,2,2,100.0,32,16.0,0,0,1,50.0,20,0,0,0,0,118.8
C Kaepernick,SF,1,1,100.0,7,7.0,0,0,1,100.0,7,0,0,0,0,95.8
T Tebow,NYJ,0,1,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.6
