Player,Team,Comp,Att,Pct,Yds,YPA,TD,Int,1st,Pct,Lng,Sck,SckY,Fum,FumL,QBR
E Manning,NYG,31,51,60.8,510,10.0,3,3,21,41.2,80,0,0,0,0,89.5
C Palmer,OAK,24,48,50.0,373,7.8,1,1,15,31.3,64,0,0,0,0,74.4
M Vick,PHI,23,32,71.9,371,11.6,1,2,17,53.1,49,2,14,0,0,94.7
D Brees,NO,31,49,63.3,325,6.6,1,2,19,38.8,29,1,2,1,0,72.2
B Weeden,CLE,26,37,70.3,322,8.7,2,0,16,43.2,27,2,13,0,0,114.9
A Dalton,CIN,24,31,77.4,318,10.3,3,1,14,45.2,50,6,23,0,0,128.2
T Brady,NE,28,46,60.9,316,6.9,1,1,17,37.0,36,4,19,0,0,79.6
S Bradford,STL,26,35,74.3,310,8.9,3,1,15,42.9,56,2,9,1,0,117.6
M Cassel,KC,23,42,54.8,301,7.2,2,1,15,35.7,33,5,29,1,1,83.5
P Rivers,SD,24,32,75.0,284,8.9,3,1,16,50.0,31,4,16,2,0,119.8
B Roethlisberger,PIT,24,31,77.4,275,8.9,2,0,13,41.9,37,3,10,0,0,125.1
C Newton,CAR,14,20,70.0,253,12.7,1,0,10,50.0,66,1,9,0,0,129.2
T Romo,DAL,23,40,57.5,251,6.3,1,1,13,32.5,26,1,4,0,0,74.1
C Ponder,MIN,27,35,77.1,245,7.0,2,0,14,40.0,20,4,13,1,1,114.6
J Freeman,TB,15,28,53.6,243,8.7,2,2,10,35.7,41,2,15,0,0,76.9
P Manning,DEN,24,37,64.9,241,6.5,1,3,12,32.4,18,3,23,0,0,58.5
J Flacco,BAL,22,42,52.4,232,5.5,1,1,9,21.4,40,2,18,1,1,66.8
M Stafford,DET,19,32,59.4,230,7.2,1,1,10,31.3,50,2,16,0,0,78.9
A Smith,SF,20,31,64.5,226,7.3,2,0,13,41.9,23,3,25,1,0,107.7
A Luck,IND,20,31,64.5,224,7.2,2,0,10,32.3,41,2,30,0,0,107.5
A Rodgers,GB,22,32,68.8,219,6.8,1,1,10,31.3,26,5,31,0,0,85.3
M Ryan,ATL,24,36,66.7,219,6.1,2,0,15,41.7,21,1,11,0,0,101.5
R Griffin III,WSH,20,29,69.0,206,7.1,1,1,7,24.1,68,1,9,0,0,86.3
R Tannehill,MIA,18,30,60.0,200,6.7,1,0,11,36.7,25,1,11,0,0,91.0
M Schaub,HOU,26,35,74.3,195,5.6,0,0,11,31.4,18,0,0,0,0,87.2
R Fitzpatrick,BUF,10,19,52.6,178,9.4,2,0,6,31.6,49,0,0,0,0,120.1
J Locker,TEN,15,30,50.0,174,5.8,1,1,7,23.3,46,0,0,0,0,65.1
R Wilson,SEA,15,20,75.0,151,7.6,1,0,8,40.0,22,2,18,0,0,112.7
K Kolb,ARZ,15,27,55.6,140,5.2,1,0,7,25.9,28,2,0,1,1,82.3
M Sanchez,NYJ,10,27,37.0,138,5.1,1,0,6,22.2,45,2,9,0,0,66.6
J Cutler,CHI,11,27,40.7,126,4.7,1,4,7,25.9,22,7,52,0,0,28.2
B Gabbert,JAX,7,19,36.8,53,2.8,1,0,2,10.5,32,3,24,0,0,62.8
T Masthay,GB,1,1,100.0,27,27.0,1,0,1,100.0,27,0,0,0,0,158.3
C Henne,JAX,2,2,100.0,23,11.5,0,0,2,100.0,12,0,0,0,0,114.6
