Player,Team,Comp,Att,Pct,Yds,YPA,TD,Int,1st,Pct,Lng,Sck,SckY,Fum,FumL,QBR
N Foles,PHI,32,51,62.7,381,7.5,2,0,18,35.3,39,6,43,0,0,98.6
D Brees,NO,26,43,60.5,354,8.2,1,2,15,34.9,62,1,9,0,0,75.1
M Ryan,ATL,34,49,69.4,342,7.0,2,1,22,44.9,21,2,15,0,0,94.1
P Manning,DEN,26,36,72.2,310,8.6,1,1,15,41.7,29,3,22,0,0,95.8
T Brady,NE,21,35,60.0,296,8.5,4,0,15,42.9,63,1,7,0,0,125.4
C Newton,CAR,23,35,65.7,287,8.2,2,0,12,34.3,53,1,7,0,0,110.1
B Roethlisberger,PIT,22,42,52.4,285,6.8,3,1,14,33.3,40,2,14,0,0,87.9
C Palmer,OAK,19,30,63.3,273,9.1,2,1,11,36.7,58,1,10,1,1,101.1
T Romo,DAL,25,43,58.1,268,6.2,1,1,13,30.2,27,3,29,0,0,74.6
M Stafford,DET,27,45,60.0,264,5.9,1,1,17,37.8,27,1,13,1,1,74.7
J Locker,TEN,22,35,62.9,262,7.5,1,2,10,28.6,46,1,3,0,0,71.4
J Cutler,CHI,22,44,50.0,260,5.9,1,2,13,29.5,39,2,4,1,0,57.0
E Manning,NYG,22,35,62.9,259,7.4,4,2,14,40.0,35,0,0,0,0,99.6
R Fitzpatrick,BUF,25,33,75.8,247,7.5,1,1,13,39.4,34,5,27,1,0,93.9
R Griffin III,WSH,15,26,57.7,242,9.3,1,0,12,46.2,31,3,24,0,0,101.8
M Schaub,HOU,19,32,59.4,232,7.3,0,1,9,28.1,30,2,24,1,0,68.8
B Weeden,CLE,17,30,56.7,217,7.2,0,0,10,33.3,34,3,19,0,0,79.4
S Bradford,STL,19,39,48.7,209,5.4,1,1,11,28.2,24,1,2,0,0,62.9
A Dalton,CIN,20,33,60.6,206,6.2,1,1,13,39.4,25,5,16,0,0,76.1
P Rivers,SD,21,41,51.2,200,4.9,3,0,14,34.1,39,1,0,0,0,89.5
A Luck,IND,16,34,47.1,196,5.8,1,2,11,32.4,36,4,25,0,0,50.6
J Freeman,TB,14,34,41.2,189,5.6,2,0,10,29.4,40,2,11,0,0,79.2
C Henne,JAX,21,43,48.8,185,4.3,0,2,10,23.3,28,3,17,0,0,41.3
C Kaepernick,SF,18,23,78.3,185,8.0,0,0,9,39.1,25,4,19,1,0,100.2
J Flacco,BAL,16,21,76.2,182,8.7,3,1,7,33.3,31,2,9,1,1,121.4
A Rodgers,GB,14,24,58.3,173,7.2,0,0,6,25.0,38,3,25,1,1,80.7
B Quinn,KC,10,21,47.6,159,7.6,0,1,4,19.0,47,5,29,0,0,53.5
R Tannehill,MIA,17,33,51.5,150,4.5,1,0,9,27.3,28,2,17,0,0,74.1
R Wilson,SEA,7,13,53.8,148,11.4,1,1,5,38.5,67,1,7,0,0,88.0
M Sanchez,NYJ,12,19,63.2,111,5.8,0,0,4,21.1,37,1,7,1,1,79.1
C Ponder,MIN,11,17,64.7,91,5.4,0,1,7,41.2,16,1,14,0,0,53.8
J Skelton,ARZ,11,22,50.0,74,3.4,0,4,2,9.1,24,1,9,1,1,18.2
M Flynn,SEA,5,9,55.6,68,7.6,0,0,2,22.2,27,0,0,0,0,79.9
J Campbell,CHI,6,9,66.7,64,7.1,1,0,3,33.3,18,0,0,0,0,124.3
R Lindley,ARZ,8,17,47.1,59,3.5,0,0,4,23.5,18,2,13,1,1,55.8
K Cousins,WSH,2,2,100.0,26,13.0,1,0,1,50.0,15,0,0,0,0,158.3
T Yates,HOU,2,4,50.0,15,3.8,0,0,1,25.0,19,0,0,0,0,59.4
D Alexander,SD,0,1,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.6
R Mallett,NE,0,1,0.0,0,0.0,0,1,0,0.0,0,0,0,0,0,0.0
