Player,Team,Comp,Att,Pct,Yds,YPA,TD,Int,1st,Pct,Lng,Sck,SckY,Fum,FumL,QBR
A Luck,IND,30,48,62.5,433,9.0,2,0,22,45.8,48,1,14,1,0,105.6
C Palmer,OAK,39,61,63.9,414,6.8,4,3,19,31.1,46,2,16,0,0,85.0
M Ryan,ATL,24,34,70.6,342,10.1,0,0,16,47.1,48,3,12,1,0,102.8
T Romo,DAL,25,35,71.4,321,9.2,1,0,14,40.0,65,1,9,0,0,109.3
J Skelton,ARZ,23,46,50.0,306,6.7,1,1,13,28.3,40,2,20,0,0,69.7
A Dalton,CIN,26,42,61.9,299,7.1,1,1,15,35.7,52,5,24,0,0,81.3
P Manning,DEN,27,35,77.1,291,8.3,3,2,17,48.6,45,0,0,0,0,105.8
R Tannehill,MIA,22,38,57.9,290,7.6,1,0,13,34.2,35,2,9,1,0,90.9
M Stafford,DET,22,33,66.7,285,8.6,0,0,16,48.5,38,1,0,0,0,93.6
M Vick,PHI,22,41,53.7,272,6.6,1,1,13,31.7,77,7,46,1,0,72.4
M Schaub,HOU,19,27,70.4,268,9.9,2,0,13,48.1,39,2,12,0,0,126.8
J Freeman,TB,18,30,60.0,247,8.2,2,0,10,33.3,64,1,10,1,0,108.6
D Brees,NO,21,27,77.8,239,8.9,2,0,14,51.9,38,2,8,2,1,128.2
R Fitzpatrick,BUF,25,38,65.8,239,6.3,0,0,13,34.2,28,4,9,1,1,83.1
J Cutler,CHI,19,26,73.1,229,8.8,3,0,10,38.5,47,3,24,1,1,138.1
P Rivers,SD,18,20,90.0,220,11.0,2,1,9,45.0,30,1,4,0,0,125.0
B Gabbert,JAX,27,38,71.1,220,5.8,2,2,11,28.9,25,1,5,0,0,81.0
A Rodgers,GB,14,30,46.7,218,7.3,4,1,11,36.7,72,1,10,0,0,96.9
B Roethlisberger,PIT,21,30,70.0,216,7.2,2,1,12,40.0,51,4,25,1,1,98.8
R Griffin III,WSH,23,39,59.0,215,5.5,0,0,11,28.2,25,4,29,0,0,74.2
C Newton,CAR,13,23,56.5,201,8.7,1,0,6,26.1,82,0,0,0,0,100.1
M Hasselbeck,TEN,20,35,57.1,200,5.7,1,1,8,22.9,30,2,20,0,0,71.1
M Cassel,KC,19,29,65.5,181,6.2,0,1,10,34.5,22,1,5,1,1,68.3
B Weeden,CLE,20,37,54.1,176,4.8,0,2,10,27.0,26,1,2,0,0,44.4
R Wilson,SEA,16,24,66.7,173,7.2,3,0,11,45.8,23,1,8,0,0,127.3
J Flacco,BAL,15,24,62.5,153,6.4,1,0,9,37.5,27,1,8,0,0,94.6
E Manning,NYG,10,24,41.7,125,5.2,0,1,6,25.0,33,2,11,1,0,41.1
C Ponder,MIN,11,22,50.0,63,2.9,0,1,4,18.2,14,4,19,0,0,37.3
S Rice,SEA,1,1,100.0,25,25.0,0,0,1,100.0,25,0,0,0,0,118.8
S Lechler,OAK,1,1,100.0,4,4.0,0,0,0,0.0,4,0,0,0,0,83.3
