Player,Team,Comp,Att,Pct,Yds,YPA,TD,Int,1st,Pct,Lng,Sck,SckY,Fum,FumL,QBR
D Brees,NO,37,53,69.8,446,8.4,3,0,25,47.2,60,0,0,0,0,114.2
M Stafford,DET,37,56,66.1,443,7.9,0,1,21,37.5,49,0,0,0,0,82.7
T Romo,DAL,26,43,60.5,416,9.7,4,0,16,37.2,58,2,10,0,0,123.8
J Freeman,TB,30,54,55.6,372,6.9,1,4,17,31.5,61,5,23,1,0,52.4
C Henne,JAX,29,51,56.9,348,6.8,1,3,13,25.5,53,1,5,0,0,59.9
N Foles,PHI,32,48,66.7,345,7.2,1,1,17,35.4,38,5,24,1,1,85.9
A Rodgers,GB,27,38,71.1,342,9.0,3,0,18,47.4,34,1,8,0,0,125.1
P Manning,DEN,30,43,69.8,339,7.9,3,1,19,44.2,36,0,0,0,0,106.6
J Flacco,BAL,25,36,69.4,309,8.6,2,0,17,47.2,43,0,0,0,0,114.2
M Ryan,ATL,25,32,78.1,279,8.7,4,0,15,46.9,44,1,8,0,0,142.6
A Dalton,CIN,24,41,58.5,278,6.8,0,2,13,31.7,25,6,25,0,0,58.8
T Brady,NE,24,41,58.5,267,6.5,2,2,15,36.6,32,3,21,0,0,73.9
C Kaepernick,SF,19,36,52.8,244,6.8,1,1,12,33.3,35,1,13,0,0,72.0
R Fitzpatrick,BUF,20,35,57.1,240,6.9,1,1,10,28.6,41,2,13,1,1,75.9
B Roethlisberger,PIT,14,28,50.0,220,7.9,1,2,8,28.6,60,4,35,1,0,58.6
A Luck,IND,17,35,48.6,205,5.9,1,0,12,34.3,33,3,7,0,0,76.5
R Griffin III,WSH,16,24,66.7,198,8.3,2,1,10,41.7,29,1,13,1,0,102.4
S Bradford,STL,13,27,48.1,196,7.3,2,1,11,40.7,80,0,0,0,0,81.7
G McElroy,NYJ,14,24,58.3,185,7.7,0,1,10,41.7,30,11,71,1,1,65.5
M Schaub,HOU,18,32,56.3,178,5.6,0,0,8,25.0,19,3,25,0,0,72.1
C Ponder,MIN,16,30,53.3,174,5.8,1,0,8,26.7,32,1,3,1,1,81.8
R Wilson,SEA,15,21,71.4,171,8.1,4,1,12,57.1,43,1,1,0,0,115.3
C Newton,CAR,18,29,62.1,170,5.9,1,1,8,27.6,23,2,11,0,0,75.4
P Rivers,SD,11,22,50.0,165,7.5,2,0,8,36.4,37,4,29,0,0,105.3
B Quinn,KC,10,22,45.5,162,7.4,0,2,6,27.3,57,1,7,0,0,32.8
E Manning,NYG,14,28,50.0,150,5.4,1,0,7,25.0,43,3,31,0,0,78.0
J Cutler,CHI,12,26,46.2,146,5.6,1,0,6,23.1,35,1,1,0,0,76.8
R Lindley,ARZ,17,30,56.7,141,4.7,0,1,9,30.0,18,2,15,0,0,55.0
J Locker,TEN,13,30,43.3,140,4.7,1,2,7,23.3,39,7,39,0,0,41.0
R Tannehill,MIA,13,25,52.0,130,5.2,2,0,7,28.0,30,2,11,0,0,93.8
M Leinart,OAK,16,32,50.0,115,3.6,0,1,7,21.9,20,1,9,0,0,45.7
B Hoyer,ARZ,11,19,57.9,105,5.5,0,1,5,26.3,24,2,12,1,0,51.4
B Weeden,CLE,12,19,63.2,104,5.5,0,0,8,42.1,21,2,16,0,0,77.5
C McCoy,CLE,9,17,52.9,79,4.6,1,0,5,29.4,21,4,25,0,0,85.2
J Kerley,NYJ,1,1,100.0,42,42.0,0,0,1,100.0,42,0,0,0,0,118.8
C Palmer,OAK,3,3,100.0,31,10.3,0,0,1,33.3,22,0,0,0,0,109.7
G Harrell,GB,1,2,50.0,9,4.5,0,0,0,0.0,9,0,0,0,0,62.5
T Pryor,OAK,1,1,100.0,5,5.0,0,0,0,0.0,5,0,0,0,0,87.5
S Rice,SEA,0,1,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.6
T Yates,HOU,0,1,0.0,0,0.0,0,0,0,0.0,0,1,0,2,1,39.6
T Hilton,IND,0,1,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.6
