Player,Team,Comp,Att,Pct,Yds,YPA,TD,Int,1st,Pct,Lng,Sck,SckY,Fum,FumL,QBR
M Stafford,DET,32,48,66.7,355,7.4,1,3,23,47.9,51,1,9,0,0,69.4
D Brees,NO,24,52,46.2,339,6.5,3,2,17,32.7,33,2,13,0,0,70.9
J Cutler,CHI,21,35,60.0,333,9.5,2,1,15,42.9,42,2,19,0,0,98.9
R Griffin III,WSH,19,26,73.1,320,12.3,2,0,13,50.0,88,2,14,1,0,139.9
M Vick,PHI,29,56,51.8,317,5.7,2,4,14,25.0,46,2,11,0,0,51.0
A Luck,IND,23,45,51.1,309,6.9,1,3,16,35.6,26,3,16,1,1,52.9
T Romo,DAL,22,29,75.9,307,10.6,3,1,12,41.4,40,2,17,0,0,129.5
A Rodgers,GB,30,44,68.2,303,6.9,2,1,16,36.4,49,3,24,0,0,93.3
C Newton,CAR,23,33,69.7,303,9.2,1,2,14,42.4,51,3,12,1,0,83.3
M Ryan,ATL,23,31,74.2,299,9.6,3,0,17,54.8,31,1,7,0,0,136.4
J Flacco,BAL,21,29,72.4,299,10.3,2,0,14,48.3,52,3,21,0,0,128.4
C Palmer,OAK,32,46,69.6,297,6.5,1,0,15,32.6,26,3,21,0,0,94.2
C Ponder,MIN,20,27,74.1,270,10.0,0,0,14,51.9,29,2,4,1,1,105.5
M Schaub,HOU,20,31,64.5,266,8.6,1,0,15,48.4,29,2,12,0,0,102.4
M Sanchez,NYJ,19,27,70.4,266,9.9,3,1,15,55.6,33,0,0,0,0,123.4
B Gabbert,JAX,23,39,59.0,260,6.7,2,0,12,30.8,39,2,18,0,0,96.1
M Cassel,KC,21,33,63.6,258,7.8,1,2,13,39.4,24,3,17,1,1,72.5
P Manning,DEN,19,26,73.1,253,9.7,2,0,11,42.3,71,2,13,0,0,129.2
B Roethlisberger,PIT,22,40,55.0,245,6.1,2,1,15,37.5,27,5,36,0,0,79.7
T Brady,NE,23,31,74.2,236,7.6,2,0,12,38.7,28,1,8,0,0,117.1
P Rivers,SD,24,33,72.7,231,7.0,1,0,11,33.3,46,1,5,0,0,102.0
J Locker,TEN,23,32,71.9,229,7.2,1,1,10,31.3,35,2,8,1,1,89.2
A Dalton,CIN,22,37,59.5,221,6.0,0,1,10,27.0,27,4,28,1,1,65.3
R Tannehill,MIA,20,36,55.6,219,6.1,0,3,7,19.4,34,2,20,0,0,39.0
E Manning,NYG,21,32,65.6,213,6.7,1,0,11,34.4,39,3,26,0,0,94.9
A Smith,SF,20,26,76.9,211,8.1,2,0,13,50.0,29,4,20,0,0,125.6
S Bradford,STL,17,25,68.0,198,7.9,1,0,10,40.0,23,4,25,1,0,105.1
R Fitzpatrick,BUF,18,32,56.3,195,6.1,3,3,13,40.6,30,0,0,0,0,66.5
R Wilson,SEA,18,34,52.9,153,4.5,1,1,9,26.5,27,3,14,0,0,62.5
J Skelton,ARZ,14,28,50.0,149,5.3,0,1,8,28.6,23,1,5,1,0,51.0
J Freeman,TB,16,24,66.7,138,5.8,1,0,8,33.3,33,2,10,0,0,95.5
B Weeden,CLE,12,35,34.3,118,3.4,0,4,7,20.0,24,2,7,1,0,5.1
K Kolb,ARZ,6,8,75.0,66,8.3,1,0,5,62.5,23,0,0,0,0,138.5
M Hasselbeck,TEN,6,11,54.5,43,3.9,0,0,3,27.3,14,0,0,0,0,63.8
T Taylor,BAL,2,3,66.7,30,10.0,0,0,1,33.3,25,0,0,0,0,99.3
