Player,Team,Comp,Att,Pct,Yds,YPA,TD,Int,1st,Pct,Lng,Sck,SckY,Fum,FumL,QBR
T Romo,DAL,37,62,59.7,441,7.1,3,2,20,32.3,85,2,18,0,0,84.1
M Stafford,DET,31,61,50.8,441,7.2,2,0,21,34.4,40,3,22,0,0,85.5
J Flacco,BAL,30,51,58.8,355,7.0,1,0,19,37.3,54,5,39,1,0,86.6
M Ryan,ATL,26,32,81.3,353,11.0,1,1,13,40.6,80,1,8,1,1,110.0
T Brady,NE,18,27,66.7,323,12.0,3,0,11,40.7,83,0,0,0,0,144.5
M Schaub,HOU,29,48,60.4,315,6.6,1,1,15,31.3,43,2,19,1,0,78.0
R Lindley,ARZ,31,52,59.6,312,6.0,0,4,16,30.8,28,2,11,0,0,44.7
C Newton,CAR,18,28,64.3,306,10.9,2,0,12,42.9,55,2,17,0,0,125.0
R Griffin III,WSH,19,27,70.4,304,11.3,4,1,15,55.6,68,3,16,0,0,131.8
M Sanchez,NYJ,26,36,72.2,301,8.4,1,1,15,41.7,39,2,15,0,0,94.8
P Manning,DEN,22,37,59.5,285,7.7,2,1,16,43.2,31,2,12,0,0,90.5
D Brees,NO,26,41,63.4,267,6.5,3,2,12,29.3,43,5,36,0,0,86.1
C Henne,JAX,17,26,65.4,261,10.0,2,1,9,34.6,59,7,40,0,0,108.0
J Locker,TEN,23,40,57.5,261,6.5,1,2,15,37.5,27,1,11,0,0,64.7
J Freeman,TB,19,30,63.3,256,8.5,0,0,11,36.7,39,2,8,0,0,90.4
R Tannehill,MIA,18,26,69.2,253,9.7,1,1,12,46.2,39,1,7,0,0,97.1
E Manning,NYG,16,30,53.3,249,8.3,3,0,13,43.3,59,1,6,0,0,114.4
A Luck,IND,20,37,54.1,240,6.5,1,1,12,32.4,25,4,15,0,0,71.9
C Kaepernick,SF,16,25,64.0,231,9.2,1,1,10,40.0,45,0,0,0,0,90.6
P Rivers,SD,23,36,63.9,228,6.3,1,0,10,27.8,26,6,39,0,0,91.0
R Wilson,SEA,21,27,77.8,224,8.3,2,0,13,48.1,32,2,8,0,0,125.9
A Rodgers,GB,14,25,56.0,219,8.8,1,1,8,32.0,61,5,29,1,1,81.9
A Dalton,CIN,16,30,53.3,210,7.0,3,0,8,26.7,48,2,16,0,0,109.0
S Bradford,STL,8,17,47.1,205,12.1,2,1,8,47.1,38,2,11,1,0,106.3
C Batch,PIT,20,34,58.8,199,5.9,0,3,10,29.4,27,1,6,0,0,38.7
J Cutler,CHI,23,31,74.2,188,6.1,1,1,13,41.9,20,1,5,0,0,86.5
R Fitzpatrick,BUF,17,33,51.5,180,5.5,1,1,9,27.3,63,2,11,0,0,65.2
C Ponder,MIN,22,43,51.2,159,3.7,1,1,10,23.3,25,2,15,0,0,58.2
B Weeden,CLE,17,26,65.4,158,6.1,1,1,10,38.5,26,4,28,0,0,78.7
C Palmer,OAK,19,34,55.9,146,4.3,1,1,8,23.5,26,4,27,1,1,64.1
B Quinn,KC,13,25,52.0,126,5.0,0,1,4,16.0,21,2,10,0,0,49.8
N Foles,PHI,16,21,76.2,119,5.7,0,0,4,19.0,16,1,12,0,0,89.2
M Williams,TB,1,1,100.0,28,28.0,0,0,1,100.0,28,0,0,0,0,118.8
G Harrell,GB,1,2,50.0,11,5.5,0,0,1,50.0,11,0,0,0,0,66.7
K Clemens,STL,0,1,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.6
P Hillis,KC,0,1,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.6
