Player,Team,Comp,Att,Pct,Yds,YPA,TD,Int,1st,Pct,Lng,Sck,SckY,Fum,FumL,QBR
D Brees,NO,29,43,67.4,396,9.2,4,1,18,41.9,51,2,18,0,0,118.0
A Rodgers,GB,28,40,70.0,365,9.1,4,0,18,45.0,73,5,32,1,1,131.8
P Manning,DEN,23,29,79.3,304,10.5,3,0,17,58.6,36,0,0,0,0,144.8
C Henne,JAX,25,41,61.0,298,7.3,2,3,14,34.1,30,7,45,0,0,69.0
T Brady,NE,22,36,61.1,284,7.9,2,0,15,41.7,25,1,8,0,0,104.4
C Kaepernick,SF,16,28,57.1,276,9.9,2,0,12,42.9,49,1,4,0,0,114.6
M Schaub,HOU,24,36,66.7,275,7.6,0,2,14,38.9,39,4,25,0,0,66.3
M Stafford,DET,24,42,57.1,272,6.5,3,1,15,35.7,28,1,17,1,1,90.6
J Cutler,CHI,18,31,58.1,257,8.3,1,0,8,25.8,60,2,12,1,0,95.8
S Bradford,STL,25,42,59.5,252,6.0,1,1,13,31.0,37,0,0,0,0,74.7
R Wilson,SEA,15,19,78.9,250,13.2,1,0,8,42.1,49,6,41,1,0,136.3
C Newton,CAR,16,33,48.5,248,7.5,0,1,12,36.4,34,1,3,0,0,61.2
M Ryan,ATL,28,44,63.6,238,5.4,1,0,12,27.3,28,2,25,0,0,85.2
R Tannehill,MIA,20,35,57.1,235,6.7,0,1,11,31.4,22,7,26,0,0,65.8
C Ponder,MIN,16,28,57.1,234,8.4,3,0,13,46.4,65,1,7,0,0,120.2
R Fitzpatrick,BUF,12,26,46.2,225,8.7,1,0,9,34.6,66,0,0,0,0,89.4
B Hoyer,ARZ,19,34,55.9,225,6.6,1,1,8,23.5,53,2,18,0,0,73.8
J Freeman,TB,19,35,54.3,222,6.3,1,1,12,34.3,27,0,0,0,0,71.4
T Romo,DAL,20,37,54.1,218,5.9,2,3,13,35.1,25,2,22,0,0,55.9
E Manning,NYG,13,21,61.9,208,9.9,5,0,11,52.4,41,1,11,0,0,134.5
M Sanchez,NYJ,17,35,48.6,205,5.9,0,1,10,28.6,40,1,6,1,1,55.1
T Lewis,CLE,22,32,68.8,204,6.4,1,1,12,37.5,23,3,14,0,0,83.3
M Vick,PHI,19,35,54.3,197,5.6,1,1,9,25.7,36,1,4,0,0,68.4
A Luck,IND,14,28,50.0,191,6.8,2,0,9,32.1,70,1,7,0,0,96.0
J Locker,TEN,9,15,60.0,152,10.1,0,0,4,26.7,42,2,10,0,0,94.3
P Rivers,SD,13,17,76.5,151,8.9,2,0,9,52.9,34,2,11,0,0,142.0
T Pryor,OAK,13,28,46.4,150,5.4,2,1,9,32.1,38,0,0,0,0,72.0
T Taylor,BAL,15,25,60.0,149,6.0,0,1,7,28.0,23,3,30,0,0,60.3
B Roethlisberger,PIT,15,23,65.2,134,5.8,3,0,9,39.1,16,2,13,0,0,120.3
R Griffin III,WSH,9,18,50.0,100,5.6,0,0,6,33.3,18,1,13,0,0,66.9
A Dalton,CIN,10,15,66.7,78,5.2,1,0,4,26.7,17,2,1,0,0,101.5
B Gradkowski,CIN,5,11,45.5,65,5.9,0,0,1,9.1,44,0,0,0,0,64.6
B Quinn,KC,7,16,43.8,49,3.1,0,0,2,12.5,16,4,23,0,0,51.3
J Flacco,BAL,4,8,50.0,34,4.3,0,0,1,12.5,24,1,7,0,0,61.5
D Carr,NYG,1,1,100.0,15,15.0,0,0,1,100.0,15,0,0,0,0,118.8
T Edwards,PHI,2,2,100.0,14,7.0,0,0,0,0.0,8,0,0,0,0,95.8
D Anderson,CAR,1,1,100.0,12,12.0,0,0,1,100.0,12,0,0,0,0,116.7
B Osweiler,DEN,2,4,50.0,12,3.0,0,0,2,50.0,7,0,0,0,0,56.3
A Smith,SF,1,1,100.0,6,6.0,0,0,0,0.0,6,0,0,0,0,91.7
J Johnson,CLE,0,0,-,0,-,0,0,0,-,0,1,8,1,1,-
