Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
J Kasay,CAR,11,3,3,100.0,55,0,2,2,100.0,0
J Nedney,SF,0,2,2,100.0,38,0,2,2,100.0,0
R Longwell,MIN,0,1,1,100.0,28,0,3,3,100.0,0
O Mare,SEA,16,5,5,100.0,51,0,1,1,100.0,0
D Akers,PHI,0,4,4,100.0,46,0,1,1,100.0,0
P Dawson,CLE,0,3,3,100.0,48,0,3,3,100.0,0
S Janikowski,OAK,0,1,1,100.0,31,0,8,8,100.0,0
R Lindell,BUF,0,2,2,100.0,50,0,4,4,100.0,0
J Feely,ARZ,0,1,1,100.0,24,0,1,1,100.0,0
B Cundiff,BAL,13,3,3,100.0,48,0,4,4,100.0,0
M Bryant,ATL,7,1,1,100.0,45,0,4,4,100.0,0
J Reed,SF,0,3,3,100.0,39,0,2,2,100.0,0
J Brown,STL,0,1,1,100.0,25,0,2,2,100.0,0
L Tynes,NYG,0,2,2,100.0,53,0,5,5,100.0,0
J Scobee,JAX,0,2,2,100.0,35,0,2,2,100.0,0
R Bironas,TEN,13,3,3,100.0,41,0,4,4,100.0,0
S Gostkowski,NE,0,3,3,100.0,40,0,2,2,100.0,0
C Barth,TB,12,4,4,100.0,53,0,0,0,-,0
D Carpenter,MIA,16,5,5,100.0,40,0,1,1,100.0,0
G Hartley,NO,5,1,1,100.0,32,0,2,2,100.0,0
D Buehler,DAL,9,2,2,100.0,41,0,3,3,100.0,0
K Brown,SD,8,2,3,66.7,32,0,2,2,100.0,0
M Nugent,CIN,0,2,3,66.7,33,0,2,2,100.0,0
G Gano,WSH,0,1,2,50.0,46,0,2,2,100.0,0
