Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
J Kasay,CAR,0,3,3,100.0,52,0,1,1,100.0,0
J Nedney,SF,0,2,2,100.0,23,0,0,0,-,0
A Vinatieri,IND,0,1,1,100.0,20,0,3,3,100.0,0
R Longwell,MIN,0,1,1,100.0,41,0,0,1,0.0,1
O Mare,SEA,7,1,1,100.0,35,0,4,4,100.0,0
D Akers,PHI,8,2,2,100.0,45,0,2,2,100.0,0
N Rackers,HOU,10,2,2,100.0,49,0,4,4,100.0,0
J Feely,ARZ,0,1,1,100.0,22,0,2,2,100.0,0
B Cundiff,BAL,0,1,1,100.0,25,0,1,1,100.0,0
L Tynes,NYG,7,1,1,100.0,32,0,4,4,100.0,0
J Scobee,JAX,6,1,1,100.0,45,0,3,3,100.0,0
R Gould,CHI,7,2,2,100.0,31,0,1,1,100.0,0
R Bironas,TEN,8,1,1,100.0,43,0,5,5,100.0,0
M Nugent,CIN,0,1,1,100.0,54,0,3,3,100.0,0
N Folk,NYJ,9,3,3,100.0,48,0,0,0,-,0
M Prater,DEN,0,1,1,100.0,54,0,2,2,100.0,0
M Crosby,GB,0,2,2,100.0,56,0,3,3,100.0,0
C Barth,TB,5,1,1,100.0,49,0,2,2,100.0,0
G Gano,WSH,7,2,2,100.0,49,0,1,1,100.0,0
M Bryant,ATL,0,3,4,75.0,49,0,0,0,-,0
S Janikowski,OAK,0,2,3,66.7,34,0,1,1,100.0,0
J Brown,STL,7,2,3,66.7,46,1,1,1,100.0,0
D Carpenter,MIA,0,2,3,66.7,43,0,1,1,100.0,0
J Reed,SF,9,3,5,60.0,52,0,0,0,-,0
R Lindell,BUF,4,1,2,50.0,51,0,1,1,100.0,0
S Gostkowski,NE,8,1,3,33.3,32,0,5,5,100.0,0
P Dawson,CLE,0,0,1,0.0,0,0,2,2,100.0,0
G Hartley,NO,2,0,2,0.0,0,0,2,2,100.0,0
D Buehler,DAL,0,0,1,0.0,0,0,1,1,100.0,0
