Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
J Kasay,CAR,7,2,2,100.0,45,0,1,1,100.0,0
R Longwell,MIN,3,1,1,100.0,24,0,0,0,-,0
O Mare,SEA,0,4,4,100.0,43,0,1,1,100.0,0
N Rackers,HOU,0,2,2,100.0,38,0,3,3,100.0,0
S Janikowski,OAK,0,1,1,100.0,41,0,0,0,-,0
J Feely,ARZ,0,2,2,100.0,36,0,1,1,100.0,0
S Graham,NE,7,1,1,100.0,25,0,4,4,100.0,0
B Cundiff,BAL,0,3,3,100.0,49,0,4,4,100.0,0
M Bryant,ATL,0,4,4,100.0,42,0,2,2,100.0,0
J Brown,STL,5,1,1,100.0,53,0,2,2,100.0,0
L Tynes,NYG,0,1,1,100.0,24,0,2,2,100.0,0
J Scobee,JAX,6,1,1,100.0,47,0,3,3,100.0,0
R Gould,CHI,0,3,3,100.0,50,0,1,1,100.0,0
R Bironas,TEN,10,3,3,100.0,40,0,1,1,100.0,0
D Rayner,DET,0,1,1,100.0,47,0,2,2,100.0,0
M Crosby,GB,0,1,1,100.0,42,0,4,4,100.0,0
R Succop,KC,7,1,1,100.0,23,0,4,4,100.0,0
D Akers,PHI,13,4,5,80.0,38,1,1,1,100.0,0
N Folk,NYJ,12,3,4,75.0,37,0,3,3,100.0,0
G Gano,WSH,0,4,6,66.7,48,0,1,1,100.0,0
P Dawson,CLE,0,2,4,50.0,41,0,2,2,100.0,0
A Pettrey,CIN,7,1,2,50.0,19,0,4,4,100.0,0
R Lindell,BUF,0,0,1,0.0,0,0,7,7,100.0,0
N Kaeding,SD,5,0,1,0.0,0,0,5,5,100.0,0
C Barth,TB,0,0,1,0.0,0,0,3,3,100.0,0
G Hartley,NO,4,0,1,0.0,0,0,4,4,100.0,0
