Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
J Kasay,CAR,4,1,1,100.0,36,0,1,1,100.0,0
A Vinatieri,IND,0,3,3,100.0,47,0,3,3,100.0,0
R Longwell,MIN,3,1,1,100.0,21,0,0,0,-,0
D Akers,PHI,0,3,3,100.0,50,0,3,3,100.0,0
P Dawson,CLE,0,2,2,100.0,25,0,0,0,-,0
S Janikowski,OAK,0,1,1,100.0,26,0,4,4,100.0,0
R Lindell,BUF,7,2,2,100.0,30,0,1,1,100.0,0
S Graham,NE,0,3,3,100.0,30,0,3,4,75.0,0
M Bryant,ATL,0,1,1,100.0,39,0,4,4,100.0,0
J Reed,SF,16,4,4,100.0,44,0,4,4,100.0,0
N Kaeding,SD,7,1,1,100.0,48,0,4,4,100.0,0
J Scobee,JAX,8,1,1,100.0,19,0,5,5,100.0,0
S Suisham,PIT,11,3,3,100.0,41,0,2,2,100.0,0
N Folk,NYJ,6,2,2,100.0,42,0,0,0,-,0
M Crosby,GB,0,1,1,100.0,42,0,0,0,-,0
C Barth,TB,0,3,3,100.0,44,0,0,0,-,0
D Carpenter,MIA,0,1,1,100.0,47,0,1,1,100.0,0
G Hartley,NO,7,1,1,100.0,40,0,4,4,100.0,0
D Buehler,DAL,9,2,2,100.0,50,0,3,3,100.0,0
J Feely,ARZ,19,5,6,83.3,55,0,4,4,100.0,0
N Rackers,HOU,8,2,3,66.7,42,0,2,2,100.0,0
J Brown,STL,0,2,3,66.7,45,0,1,1,100.0,0
S Hauschka,DEN,0,2,3,66.7,32,0,1,1,100.0,0
G Gano,WSH,4,1,3,33.3,25,0,1,1,100.0,0
O Mare,SEA,0,0,1,0.0,0,0,3,3,100.0,0
D Rayner,DET,1,0,1,0.0,0,0,1,1,100.0,0
