Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
J Kasay,CAR,0,3,3,100.0,48,0,1,1,100.0,0
J Nedney,SF,11,3,3,100.0,47,0,2,2,100.0,0
A Vinatieri,IND,11,3,3,100.0,47,0,2,2,100.0,0
D Akers,PHI,0,1,1,100.0,48,0,8,8,100.0,0
P Dawson,CLE,8,2,2,100.0,34,0,2,2,100.0,0
N Rackers,HOU,0,1,1,100.0,24,0,3,3,100.0,0
J Feely,ARZ,4,1,1,100.0,23,0,1,1,100.0,0
S Graham,NE,0,2,2,100.0,36,0,3,4,75.0,0
M Bryant,ATL,8,2,2,100.0,51,0,2,2,100.0,0
J Brown,STL,0,2,2,100.0,42,0,2,2,100.0,0
L Tynes,NYG,8,2,2,100.0,43,0,2,2,100.0,0
R Bironas,TEN,0,1,1,100.0,40,0,2,2,100.0,0
M Nugent,CIN,0,1,1,100.0,27,0,2,2,100.0,0
C Barth,TB,7,1,1,100.0,32,0,4,4,100.0,0
D Carpenter,MIA,11,3,3,100.0,42,0,2,2,100.0,0
O Mare,SEA,0,5,6,83.3,41,0,3,3,100.0,0
R Longwell,MIN,0,2,3,66.7,36,0,1,1,100.0,0
R Gould,CHI,9,2,3,66.7,37,0,3,3,100.0,0
D Rayner,DET,0,2,3,66.7,45,0,0,0,-,0
D Buehler,DAL,0,2,3,66.7,23,0,3,4,75.0,1
J Reed,SF,4,1,2,50.0,22,0,1,1,100.0,0
R Succop,KC,0,1,2,50.0,40,0,2,2,100.0,0
N Folk,NYJ,0,2,5,40.0,27,0,2,2,100.0,0
J Scobee,JAX,7,1,3,33.3,38,0,4,4,100.0,0
R Lindell,BUF,2,0,1,0.0,0,0,2,2,100.0,0
M Prater,DEN,7,0,1,0.0,0,0,7,7,100.0,0
