Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
J Hanson,DET,5,1,1,100.0,32,0,2,2,100.0,0
J Kasay,CAR,0,1,1,100.0,44,0,1,1,100.0,0
A Vinatieri,IND,12,3,3,100.0,48,0,3,3,100.0,0
R Longwell,MIN,0,1,1,100.0,24,0,1,1,100.0,0
K Brown,SD,9,2,2,100.0,36,0,3,3,100.0,0
N Rackers,HOU,0,1,1,100.0,53,0,2,2,100.0,0
R Bironas,TEN,0,1,1,100.0,21,0,2,2,100.0,0
M Prater,DEN,0,1,1,100.0,32,0,1,2,50.0,0
D Carpenter,MIA,0,5,5,100.0,54,0,1,1,100.0,0
G Hartley,NO,8,2,2,100.0,31,0,2,2,100.0,0
D Buehler,DAL,5,1,1,100.0,34,0,2,2,100.0,0
G Gano,WSH,0,2,2,100.0,46,0,1,1,100.0,0
S Janikowski,OAK,15,4,5,80.0,49,0,3,3,100.0,0
M Crosby,GB,0,3,4,75.0,41,0,0,0,-,0
J Brown,STL,8,2,3,66.7,41,0,2,2,100.0,0
R Succop,KC,7,2,3,66.7,35,0,1,1,100.0,0
J Nedney,SF,6,1,2,50.0,34,0,3,3,100.0,0
R Lindell,BUF,0,1,2,50.0,43,0,1,1,100.0,0
J Reed,SF,0,1,2,50.0,19,0,1,1,100.0,0
C Barth,TB,0,1,2,50.0,21,1,5,5,100.0,0
O Mare,SEA,0,1,3,33.3,47,0,0,0,-,0
N Folk,NYJ,0,0,1,0.0,0,0,0,0,-,0
