Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
J Carney,NO,10,3,3,100.0,32,0,1,1,100.0,0
O Mare,SEA,0,1,1,100.0,22,0,0,0,-,0
D Akers,PHI,6,2,2,100.0,49,0,0,0,-,0
P Dawson,CLE,11,3,3,100.0,31,0,2,2,100.0,0
S Janikowski,OAK,6,1,1,100.0,39,0,3,3,100.0,0
J Feely,ARZ,0,1,1,100.0,53,0,1,1,100.0,0
M Bryant,ATL,10,3,3,100.0,43,0,1,1,100.0,0
J Brown,STL,8,2,2,100.0,31,0,2,2,100.0,0
J Scobee,JAX,7,1,1,100.0,59,0,4,4,100.0,0
R Gould,CHI,0,1,1,100.0,40,0,0,0,-,0
S Gostkowski,NE,0,2,2,100.0,30,0,5,5,100.0,0
M Prater,DEN,0,4,4,100.0,36,0,2,2,100.0,0
G Gano,WSH,0,1,1,100.0,26,0,2,2,100.0,0
J Hanson,DET,0,4,5,80.0,52,0,2,2,100.0,0
N Kaeding,SD,11,2,3,66.7,48,0,5,5,100.0,0
R Bironas,TEN,8,2,3,66.7,55,0,2,2,100.0,0
M Nugent,CIN,0,2,3,66.7,25,1,2,2,100.0,0
N Rackers,HOU,0,1,2,50.0,35,0,4,4,100.0,0
B Cundiff,BAL,0,1,2,50.0,33,0,2,2,100.0,0
L Tynes,NYG,5,1,2,50.0,22,0,2,2,100.0,0
N Folk,NYJ,0,1,2,50.0,19,0,5,5,100.0,0
J Reed,SF,2,0,2,0.0,0,0,2,2,100.0,0
D Carpenter,MIA,2,0,1,0.0,0,1,2,2,100.0,0
