Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
J Hanson,DET,14,3,3,100.0,48,0,5,5,100.0,0
A Vinatieri,IND,13,4,4,100.0,47,0,1,1,100.0,0
P Dawson,CLE,4,1,1,100.0,19,0,1,1,100.0,0
N Rackers,HOU,4,1,1,100.0,38,0,1,1,100.0,0
S Janikowski,OAK,9,2,2,100.0,50,0,3,3,100.0,0
R Lindell,BUF,8,2,2,100.0,29,0,2,2,100.0,0
J Feely,ARZ,12,3,3,100.0,44,0,3,3,100.0,0
B Cundiff,BAL,7,1,1,100.0,37,0,4,4,100.0,0
J Brown,STL,0,2,2,100.0,28,0,0,0,-,0
L Tynes,NYG,0,2,2,100.0,45,0,4,4,100.0,0
N Kaeding,SD,0,2,2,100.0,43,0,3,3,100.0,0
J Scobee,JAX,0,5,5,100.0,49,0,3,3,100.0,0
R Gould,CHI,0,3,3,100.0,53,0,2,2,100.0,0
R Bironas,TEN,0,2,2,100.0,52,0,4,4,100.0,0
M Nugent,CIN,7,2,2,100.0,35,0,1,1,100.0,0
N Folk,NYJ,17,5,5,100.0,53,0,2,2,100.0,0
M Prater,DEN,0,1,1,100.0,38,0,2,2,100.0,0
C Barth,TB,0,1,1,100.0,31,0,3,3,100.0,0
R Succop,KC,0,3,4,75.0,45,0,0,0,-,0
G Gano,WSH,10,3,4,75.0,45,0,1,1,100.0,0
J Carney,NO,0,2,3,66.7,32,0,2,2,100.0,0
J Kasay,CAR,6,2,3,66.7,53,0,0,0,-,0
D Akers,PHI,0,2,3,66.7,45,0,3,3,100.0,0
M Bryant,ATL,0,2,3,66.7,30,1,2,2,100.0,0
D Buehler,DAL,9,2,3,66.7,51,0,3,3,100.0,0
J Nedney,SF,6,1,2,50.0,50,0,3,3,100.0,0
M Crosby,GB,0,2,4,50.0,52,0,1,1,100.0,0
