Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
A Vinatieri,IND,0,1,1,100.0,37,0,3,3,100.0,0
R Longwell,MIN,9,2,2,100.0,35,0,3,3,100.0,0
D Akers,PHI,14,4,4,100.0,44,0,2,2,100.0,0
P Dawson,CLE,10,2,2,100.0,38,0,4,4,100.0,0
N Rackers,HOU,11,3,3,100.0,27,0,2,2,100.0,0
J Feely,ARZ,0,1,1,100.0,22,0,3,3,100.0,0
M Bryant,ATL,9,2,2,100.0,41,0,3,3,100.0,0
L Tynes,NYG,0,2,2,100.0,25,0,5,5,100.0,0
N Folk,NYJ,0,3,3,100.0,36,0,2,2,100.0,0
G Hartley,NO,0,2,2,100.0,36,0,4,4,100.0,0
R Succop,KC,0,2,2,100.0,43,0,2,2,100.0,0
B Cundiff,BAL,14,4,5,80.0,39,0,2,2,100.0,0
S Janikowski,OAK,11,3,4,75.0,41,0,2,2,100.0,0
J Reed,SF,0,2,3,66.7,53,0,3,3,100.0,0
J Kasay,CAR,3,1,2,50.0,20,0,0,0,-,0
M Crosby,GB,9,1,2,50.0,26,1,6,6,100.0,0
D Carpenter,MIA,0,1,2,50.0,19,0,1,1,100.0,0
R Gould,CHI,0,0,1,0.0,0,0,2,2,100.0,0
M Nugent,CIN,3,0,2,0.0,0,0,3,3,100.0,0
