Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
R Longwell,MIN,8,1,1,100.0,38,0,5,5,100.0,0
D Akers,PHI,10,2,2,100.0,36,0,4,4,100.0,0
N Rackers,HOU,0,1,1,100.0,48,0,3,3,100.0,0
J Feely,ARZ,6,2,2,100.0,45,0,0,0,-,0
S Graham,NE,9,1,1,100.0,41,0,6,6,100.0,0
B Cundiff,BAL,4,1,1,100.0,24,0,1,1,100.0,0
J Reed,SF,0,3,3,100.0,44,0,1,1,100.0,0
J Brown,STL,0,4,4,100.0,52,0,1,1,100.0,0
L Tynes,NYG,7,1,1,100.0,28,0,4,4,100.0,0
R Gould,CHI,0,1,1,100.0,54,0,3,3,100.0,0
S Suisham,PIT,0,2,2,100.0,45,0,1,1,100.0,0
R Bironas,TEN,6,2,2,100.0,37,0,0,0,-,0
D Rayner,DET,8,2,2,100.0,50,0,2,2,100.0,0
M Prater,DEN,0,2,2,100.0,41,0,0,0,-,0
C Barth,TB,6,1,1,100.0,33,0,3,3,100.0,0
G Hartley,NO,0,2,2,100.0,48,0,4,4,100.0,0
R Succop,KC,4,1,1,100.0,47,0,1,1,100.0,0
C Stitser,CIN,10,3,3,100.0,47,0,1,2,50.0,0
D Buehler,DAL,0,3,4,75.0,46,0,3,3,100.0,0
P Dawson,CLE,0,2,3,66.7,32,0,1,1,100.0,0
N Kaeding,SD,7,2,3,66.7,39,0,1,1,100.0,0
M Crosby,GB,10,2,3,66.7,43,0,4,4,100.0,0
O Mare,SEA,7,1,2,50.0,24,0,4,4,100.0,0
N Folk,NYJ,0,1,2,50.0,39,0,0,0,-,0
D Carpenter,MIA,4,1,2,50.0,60,1,1,1,100.0,0
J Scobee,JAX,0,1,3,33.3,26,1,2,2,100.0,0
G Gano,WSH,0,0,1,0.0,0,0,1,1,100.0,0
