Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
J Kasay,CAR,0,1,1,100.0,23,0,1,1,100.0,0
A Vinatieri,IND,11,3,3,100.0,48,0,2,2,100.0,0
R Longwell,MIN,0,2,2,100.0,48,0,1,1,100.0,0
O Mare,SEA,10,3,3,100.0,38,0,1,1,100.0,0
D Akers,PHI,7,2,2,100.0,43,0,1,1,100.0,0
P Dawson,CLE,3,1,1,100.0,19,0,0,0,-,0
N Rackers,HOU,10,2,2,100.0,33,0,4,4,100.0,0
S Janikowski,OAK,0,1,1,100.0,38,0,4,4,100.0,0
S Graham,NE,8,1,1,100.0,28,0,5,5,100.0,0
B Cundiff,BAL,7,2,2,100.0,47,0,1,1,100.0,0
M Bryant,ATL,7,1,1,100.0,47,0,4,4,100.0,0
J Reed,SF,8,1,1,100.0,39,0,5,5,100.0,0
J Brown,STL,0,2,2,100.0,32,0,0,0,-,0
R Gould,CHI,0,1,1,100.0,30,0,0,0,-,0
S Suisham,PIT,0,2,2,100.0,41,0,5,5,100.0,0
D Rayner,DET,8,2,2,100.0,55,0,2,2,100.0,0
N Folk,NYJ,8,1,1,100.0,28,0,5,5,100.0,0
M Crosby,GB,4,1,1,100.0,23,0,1,1,100.0,0
C Barth,TB,0,3,3,100.0,48,0,2,2,100.0,0
G Hartley,NO,7,2,2,100.0,45,0,1,1,100.0,0
R Succop,KC,4,1,1,100.0,30,0,1,1,100.0,0
N Kaeding,SD,0,4,5,80.0,47,0,3,3,100.0,0
R Bironas,TEN,0,2,3,66.7,42,0,2,2,100.0,0
L Tynes,NYG,0,1,2,50.0,20,0,2,2,100.0,0
J Scobee,JAX,0,1,2,50.0,39,0,2,2,100.0,0
D Carpenter,MIA,0,0,1,0.0,0,0,1,1,100.0,0
D Buehler,DAL,0,0,1,0.0,0,0,2,2,100.0,0
G Gano,WSH,2,0,1,0.0,0,0,2,2,100.0,0
C Stitser,CIN,0,0,1,0.0,0,0,1,1,100.0,0
