Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
J Kasay,CAR,0,1,1,100.0,27,0,0,0,-,0
A Vinatieri,IND,0,1,1,100.0,30,0,4,4,100.0,0
R Longwell,MIN,0,1,1,100.0,30,0,3,3,100.0,0
P Dawson,CLE,4,1,1,100.0,30,0,1,1,100.0,0
N Rackers,HOU,0,3,3,100.0,57,0,2,2,100.0,0
R Lindell,BUF,3,1,1,100.0,26,0,0,0,-,0
S Graham,NE,0,2,2,100.0,34,0,4,4,100.0,0
B Cundiff,BAL,0,2,2,100.0,40,0,2,2,100.0,0
J Brown,STL,11,3,3,100.0,43,0,2,2,100.0,0
L Tynes,NYG,0,1,1,100.0,38,0,2,2,100.0,0
N Kaeding,SD,0,2,2,100.0,28,0,2,2,100.0,0
D Rayner,DET,0,2,2,100.0,47,0,4,4,100.0,0
N Folk,NYJ,0,2,2,100.0,34,0,4,4,100.0,0
M Crosby,GB,9,1,1,100.0,31,0,6,6,100.0,0
D Carpenter,MIA,9,2,2,100.0,40,0,3,3,100.0,0
G Hartley,NO,0,1,1,100.0,52,0,2,2,100.0,0
S Hauschka,DEN,6,1,1,100.0,27,0,3,3,100.0,0
D Buehler,DAL,0,2,2,100.0,53,0,2,3,66.7,0
G Gano,WSH,0,2,2,100.0,48,0,2,2,100.0,0
S Janikowski,OAK,14,4,5,80.0,59,0,2,2,100.0,0
J Feely,ARZ,9,2,3,66.7,49,0,3,3,100.0,0
S Suisham,PIT,9,2,3,66.7,29,0,3,3,100.0,0
R Succop,KC,10,2,3,66.7,42,0,4,4,100.0,0
J Reed,SF,0,1,2,50.0,47,0,2,2,100.0,0
J Scobee,JAX,5,1,2,50.0,34,0,2,2,100.0,0
R Gould,CHI,8,1,2,50.0,37,0,5,5,100.0,0
C Barth,TB,8,1,2,50.0,46,1,5,5,100.0,0
D Akers,PHI,2,0,1,0.0,0,0,2,2,100.0,0
