Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
J Hanson,DET,0,2,2,100.0,50,0,2,2,100.0,0
J Nedney,SF,5,1,1,100.0,25,0,2,2,100.0,0
R Longwell,MIN,6,1,1,100.0,38,0,3,3,100.0,0
P Dawson,CLE,0,1,1,100.0,39,0,1,1,100.0,0
S Janikowski,OAK,0,3,3,100.0,40,0,0,0,-,0
B Cundiff,BAL,0,2,2,100.0,26,0,2,2,100.0,0
J Brown,STL,8,2,2,100.0,48,0,2,2,100.0,0
J Scobee,JAX,3,1,1,100.0,33,0,0,0,-,0
R Bironas,TEN,0,3,3,100.0,36,0,3,3,100.0,0
S Gostkowski,NE,11,3,3,100.0,38,0,2,2,100.0,0
N Folk,NYJ,0,1,1,100.0,56,0,3,3,100.0,0
M Crosby,GB,8,2,2,100.0,46,0,2,2,100.0,0
D Carpenter,MIA,0,3,3,100.0,53,0,2,2,100.0,0
R Succop,KC,0,1,1,100.0,24,0,4,4,100.0,0
R Gould,CHI,8,2,3,66.7,34,1,2,2,100.0,0
M Prater,DEN,8,2,3,66.7,59,0,2,2,100.0,0
A Vinatieri,IND,0,2,4,50.0,43,1,3,3,100.0,0
M Bryant,ATL,0,1,2,50.0,26,0,2,2,100.0,0
N Kaeding,SD,0,1,2,50.0,41,1,2,2,100.0,0
G Hartley,NO,0,1,2,50.0,27,0,4,4,100.0,0
G Gano,WSH,6,1,2,50.0,39,0,3,3,100.0,0
D Akers,PHI,7,1,4,25.0,30,0,4,4,100.0,0
C Barth,TB,0,0,2,0.0,0,0,0,0,-,0
