Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
M Bush,OAK,12,24,2.0,2,2,16.7,7,0,0
T Jones,KC,22,62,2.8,1,3,13.6,16,0,0
M Vick,PHI,10,130,13.0,1,7,70.0,35,0,0
B Westbrook,SF,8,22,2.8,1,1,12.5,7,0,0
M Morris,DET,15,109,7.3,1,7,46.7,26,0,0
S Jackson,STL,19,67,3.5,1,4,21.1,8,0,0
C Benson,CIN,31,150,4.8,1,8,25.8,18,0,0
R Brown,MIA,10,39,3.9,1,3,30.0,9,0,0
C Whitehurst,SEA,3,10,3.3,1,2,66.7,6,0,0
M Lynch,SEA,12,60,5.0,1,5,41.7,14,0,0
T Choice,DAL,15,53,3.5,1,3,20.0,12,0,0
C Johnson,TEN,24,130,5.4,1,5,20.8,42,0,0
J Charles,KC,11,126,11.5,1,3,27.3,80,0,0
B Green-Ellis,NE,6,38,6.3,1,1,16.7,33,0,0
R Mendenhall,PIT,17,99,5.8,1,7,41.2,21,0,0
M Tolbert,SD,17,46,2.7,1,3,17.6,11,0,0
R Rice,BAL,31,153,4.9,1,4,12.9,50,0,0
J Ringer,TEN,4,19,4.8,1,1,25.0,7,0,0
D Brown,IND,14,129,9.2,1,5,35.7,49,0,0
M Sanchez,NYJ,3,15,5.0,1,2,66.7,7,0,0
T Tebow,DEN,8,78,9.8,1,2,25.0,40,0,0
J Ford,OAK,1,71,71.0,1,1,100.0,71,0,0
J Webb,MIN,6,38,6.3,1,2,33.3,13,0,0
L Blount,TB,15,110,7.3,1,3,20.0,39,0,0
B Favre,MIN,1,0,0.0,0,0,0.0,0,1,0
K Collins,TEN,2,-2,-1.0,0,0,0.0,-1,0,0
J Kitna,DAL,4,11,2.8,0,0,0.0,7,1,0
M Hasselbeck,SEA,2,4,2.0,0,0,0.0,5,0,0
R Williams,MIA,7,19,2.7,0,0,0.0,7,0,0
B Volek,SD,3,-2,-0.7,0,0,0.0,0,0,0
D Rhodes,IND,9,26,2.9,0,2,22.2,14,0,0
S Moss,WSH,2,-1,-0.5,0,0,0.0,7,0,0
C Buckhalter,DEN,6,3,0.5,0,0,0.0,6,0,0
L Tomlinson,NYJ,11,49,4.5,0,4,36.4,11,0,0
D Garrard,JAX,4,8,2.0,0,2,50.0,5,2,0
C Taylor,CHI,11,5,0.5,0,1,9.1,5,0,0
R Grossman,WSH,1,-1,-1.0,0,0,0.0,-1,0,0
K Curtis,KC,1,6,6.0,0,0,0.0,6,0,0
N Burleson,DET,1,25,25.0,0,1,100.0,25,0,0
W McGahee,BAL,7,53,7.6,0,3,42.9,28,0,0
C Palmer,CIN,5,-1,-0.2,0,1,20.0,2,0,0
J Jones,NO,4,11,2.8,0,1,25.0,4,0,0
L Polite,MIA,1,1,1.0,0,1,100.0,1,0,0
M Moore,PIT,4,7,1.8,0,0,0.0,6,0,0
B Roethlisberger,PIT,2,25,12.5,0,2,100.0,22,0,0
M Turner,ATL,25,82,3.3,0,5,20.0,15,0,0
E Graham,TB,1,-1,-1.0,0,0,0.0,-1,0,0
D Ward,HOU,6,15,2.5,0,3,50.0,8,0,0
R Fitzpatrick,BUF,3,19,6.3,0,0,0.0,9,0,0
M Cassel,KC,6,17,2.8,0,1,16.7,13,0,0
