Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
P Hillis,CLE,26,131,5.0,3,8,30.8,18,0,0
M Morris,DET,9,55,6.1,2,6,66.7,17,0,0
B Green-Ellis,NE,12,59,4.9,2,3,25.0,15,0,0
C Ivory,NO,7,38,5.4,2,3,42.9,17,0,0
R Williams,MIA,20,95,4.8,1,2,10.0,45,0,0
B Westbrook,SF,23,136,5.9,1,9,39.1,19,0,0
D Garrard,JAX,6,41,6.8,1,4,66.7,11,0,0
S Smith,KC,1,1,1.0,1,1,100.0,1,0,0
M Turner,ATL,23,110,4.8,1,5,21.7,26,0,0
M Barber,DAL,10,19,1.9,1,1,10.0,6,0,0
A Rodgers,GB,12,51,4.3,1,4,33.3,11,1,1
B Smith,NYJ,3,55,18.3,1,1,33.3,53,0,0
M Austin,DAL,1,60,60.0,1,1,100.0,60,0,0
A Peterson,MIN,6,36,6.0,1,3,50.0,14,0,0
K Darby,STL,2,4,2.0,1,1,50.0,3,0,0
T Choice,DAL,1,1,1.0,1,1,100.0,1,0,0
J Charles,KC,22,173,7.9,1,9,40.9,29,0,0
R Mendenhall,PIT,36,151,4.2,1,7,19.4,22,1,1
M Tolbert,SD,26,103,4.0,1,8,30.8,21,0,0
K Moreno,DEN,12,56,4.7,1,4,33.3,16,1,1
M Goodson,CAR,14,55,3.9,1,2,14.3,26,0,0
R Jennings,JAX,7,53,7.6,1,4,57.1,19,0,0
T Gerhart,MIN,22,76,3.5,1,3,13.6,6,0,0
A Dixon,SF,14,54,3.9,1,5,35.7,9,0,0
B Favre,MIN,5,9,1.8,0,1,20.0,10,0,0
J Kitna,DAL,5,20,4.0,0,1,20.0,13,1,0
M Hasselbeck,SEA,2,-2,-1.0,0,0,0.0,-1,0,0
J Delhomme,CLE,2,2,1.0,0,1,50.0,2,0,0
D McNabb,WSH,2,7,3.5,0,1,50.0,4,0,0
T Brady,NE,4,1,0.3,0,1,25.0,3,0,0
T Jones,KC,20,68,3.4,0,2,10.0,16,0,0
M Vick,PHI,9,44,4.9,0,2,22.2,11,1,0
M Norris,SF,1,0,0.0,0,0,0.0,0,0,0
C Buckhalter,DEN,1,12,12.0,0,1,100.0,12,0,0
D Brees,NO,3,-3,-1.0,0,0,0.0,-1,0,0
L Tomlinson,NYJ,13,49,3.8,0,2,15.4,9,0,0
C Taylor,CHI,6,-3,-0.5,0,0,0.0,2,0,0
M Schaub,HOU,2,-2,-1.0,0,0,0.0,-1,0,0
W McGahee,BAL,4,12,3.0,0,1,25.0,4,0,0
C Palmer,CIN,2,5,2.5,0,0,0.0,6,0,0
J Jones,NO,10,45,4.5,0,2,20.0,9,0,0
M McBriar,DAL,1,0,0.0,0,0,0.0,0,1,1
L Polite,MIA,1,2,2.0,0,1,100.0,2,0,0
S Jackson,STL,29,72,2.5,0,3,10.3,20,0,0
J Dugan,MIN,2,2,1.0,0,1,50.0,2,0,0
M Moore,PIT,3,12,4.0,0,0,0.0,11,0,0
E Manning,NYG,3,-1,-0.3,0,0,0.0,1,0,0
B Roethlisberger,PIT,1,18,18.0,0,1,100.0,18,0,0
P Rivers,SD,3,7,2.3,0,0,0.0,9,0,0
D Ward,HOU,7,47,6.7,0,3,42.9,17,0,0
