Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
L Tomlinson,NYJ,19,133,7.0,2,6,31.6,26,0,0
J Addai,IND,16,63,3.9,2,5,31.3,7,0,0
R Mendenhall,PIT,25,79,3.2,2,7,28.0,11,0,0
D Garrard,JAX,5,44,8.8,1,3,60.0,25,0,0
W McGahee,BAL,14,39,2.8,1,3,21.4,10,1,1
D Ward,HOU,11,78,7.1,1,3,27.3,33,0,0
B Jacobs,NYG,6,62,10.3,1,4,66.7,29,0,0
D Williams,CAR,13,86,6.6,1,2,15.4,39,0,0
M Jones-Drew,JAX,26,105,4.0,1,6,23.1,14,0,0
A Bradshaw,NYG,23,129,5.6,1,7,30.4,25,1,1
P Hillis,CLE,27,102,3.8,1,7,25.9,24,0,0
R Torain,WSH,18,70,3.9,1,3,16.7,13,0,0
M Bush,OAK,7,40,5.7,1,3,42.9,11,0,0
B Green-Ellis,NE,16,76,4.8,1,5,31.3,12,0,0
M Tolbert,SD,16,100,6.3,1,6,37.5,23,0,0
A Foster,HOU,17,133,7.8,1,5,29.4,74,0,0
R Mathews,SD,9,55,6.1,1,2,22.2,20,0,0
C Batch,PIT,1,4,4.0,0,0,0.0,4,0,0
P Manning,IND,1,-1,-1.0,0,0,0.0,-1,0,0
M Hasselbeck,SEA,1,3,3.0,0,0,0.0,3,0,0
R Williams,MIA,8,56,7.0,0,4,50.0,16,0,0
D McNabb,WSH,5,39,7.8,0,2,40.0,18,0,0
S Morris,NE,2,3,1.5,0,0,0.0,4,0,0
T Brady,NE,5,6,1.2,0,2,40.0,5,0,0
M Vick,PHI,3,17,5.7,0,2,66.7,13,0,0
B Volek,SD,2,-2,-1.0,0,0,0.0,-1,0,0
S Moss,WSH,1,5,5.0,0,0,0.0,5,0,0
C Buckhalter,DEN,6,3,0.5,0,1,16.7,5,0,0
D Brees,NO,1,-1,-1.0,0,0,0.0,-1,0,0
C Portis,WSH,11,55,5.0,0,3,27.3,11,0,0
L Betts,NO,13,47,3.6,0,3,23.1,11,0,0
C Taylor,CHI,3,22,7.3,0,1,33.3,11,0,0
A Boldin,BAL,1,3,3.0,0,0,0.0,3,0,0
O Mughelli,ATL,2,2,1.0,0,1,50.0,2,0,0
M Schaub,HOU,3,1,0.3,0,1,33.3,2,0,0
C Palmer,CIN,1,0,0.0,0,0,0.0,0,1,1
S Jackson,STL,22,70,3.2,0,3,13.6,16,0,0
D Henderson,NO,1,-2,-2.0,0,0,0.0,-2,0,0
E Manning,NYG,3,-2,-0.7,0,0,0.0,0,1,1
M Turner,ATL,16,50,3.1,0,3,18.8,27,0,0
C Benson,CIN,15,60,4.0,0,3,20.0,12,0,0
K Orton,DEN,3,11,3.7,0,2,66.7,8,0,0
J Cribbs,CLE,3,9,3.0,0,0,0.0,3,0,0
A Rodgers,GB,3,20,6.7,0,1,33.3,16,0,0
R Fitzpatrick,BUF,7,74,10.6,0,3,42.9,22,0,0
R Brown,MIA,11,27,2.5,0,2,18.2,5,0,0
S Hill,DET,4,53,13.3,0,2,50.0,40,1,0
D Sproles,SD,6,17,2.8,0,0,0.0,8,1,1
F Gore,SF,21,77,3.7,0,3,14.3,13,1,0
A Smith,SF,1,1,1.0,0,1,100.0,1,0,0
