Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
T Jones,KC,15,71,4.7,2,5,33.3,28,0,0
F Jackson,BUF,21,116,5.5,2,5,23.8,30,0,0
A Foster,HOU,22,84,3.8,2,4,18.2,19,1,1
J Kitna,DAL,4,40,10.0,1,2,50.0,29,0,0
M Vick,PHI,11,34,3.1,1,2,18.2,9,0,0
B Roethlisberger,PIT,3,55,18.3,1,3,100.0,31,0,0
M Turner,ATL,28,131,4.7,1,5,17.9,39,0,0
C Benson,CIN,25,124,5.0,1,5,20.0,26,1,1
C Williams,TB,7,51,7.3,1,3,42.9,26,0,0
M Jones-Drew,JAX,23,133,5.8,1,10,43.5,22,1,1
M Forte,CHI,25,97,3.9,1,5,20.0,21,0,0
B Green-Ellis,NE,21,96,4.6,1,5,23.8,16,0,0
R Mendenhall,PIT,23,59,2.6,1,2,8.7,9,1,1
M Tolbert,SD,25,111,4.4,1,5,20.0,22,1,0
R Rice,BAL,19,65,3.4,1,5,26.3,13,0,0
K Moreno,DEN,13,58,4.5,1,3,23.1,12,0,0
D Woodhead,NE,7,69,9.9,1,1,14.3,36,0,0
L McCoy,PHI,14,111,7.9,1,3,21.4,50,0,0
C Ivory,NO,23,99,4.3,1,4,17.4,24,0,0
B Favre,MIN,1,0,0.0,0,0,0.0,0,0,0
T Richardson,NYJ,1,2,2.0,0,1,100.0,2,0,0
M Sellers,WSH,1,0,0.0,0,0,0.0,0,0,0
M Hasselbeck,SEA,1,12,12.0,0,1,100.0,12,0,0
R Williams,MIA,3,1,0.3,0,0,0.0,2,0,0
D McNabb,WSH,1,4,4.0,0,0,0.0,4,0,0
S Morris,NE,2,5,2.5,0,2,100.0,4,0,0
T Brady,NE,4,-2,-0.5,0,0,0.0,0,1,0
L Tomlinson,NYJ,12,36,3.0,0,2,16.7,8,0,0
C Portis,WSH,5,32,6.4,0,2,40.0,11,0,0
D Stallworth,BAL,1,7,7.0,0,0,0.0,7,0,0
M Morris,DET,10,31,3.1,0,2,20.0,8,0,0
D Garrard,JAX,3,9,3.0,0,1,33.3,6,1,1
C Taylor,CHI,11,10,0.9,0,1,9.1,5,0,0
N Burleson,DET,1,15,15.0,0,1,100.0,15,0,0
M Schaub,HOU,1,3,3.0,0,0,0.0,3,0,0
W McGahee,BAL,8,23,2.9,0,1,12.5,6,0,0
C Palmer,CIN,2,12,6.0,0,1,50.0,9,0,0
J Jones,NO,4,4,1.0,0,0,0.0,5,0,0
S Jackson,STL,11,54,4.9,0,4,36.4,16,0,0
M Moore,PIT,1,2,2.0,0,0,0.0,2,0,0
D Henderson,NO,1,1,1.0,0,0,0.0,1,0,0
E Manning,NYG,2,22,11.0,0,0,0.0,16,1,1
P Rivers,SD,4,6,1.5,0,1,25.0,9,0,0
E Graham,TB,3,7,2.3,0,0,0.0,3,0,0
D Ward,HOU,2,0,0.0,0,0,0.0,1,0,0
K Orton,DEN,1,4,4.0,0,0,0.0,4,0,0
M Barber,DAL,13,36,2.8,0,1,7.7,24,0,0
A Rodgers,GB,3,21,7.0,0,1,33.3,15,0,0
R Fitzpatrick,BUF,1,11,11.0,0,1,100.0,11,0,0
R Brown,MIA,3,10,3.3,0,1,33.3,5,0,0
