Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
M Lynch,SEA,21,83,4.0,3,8,38.1,22,0,0
A Peterson,MIN,16,107,6.7,3,8,50.0,43,0,0
C Benson,CIN,19,49,2.6,2,4,21.1,7,1,0
B Jacobs,NYG,8,103,12.9,2,6,75.0,39,0,0
A Bradshaw,NYG,25,97,3.9,2,6,24.0,15,0,0
B Green-Ellis,NE,18,72,4.0,2,6,33.3,13,0,0
J James,IND,6,18,3.0,2,2,33.3,5,0,0
C Ivory,NO,15,117,7.8,2,7,46.7,55,1,0
M Vick,PHI,10,48,4.8,1,3,30.0,13,1,0
D Garrard,JAX,10,19,1.9,1,5,50.0,7,0,0
C Taylor,CHI,9,33,3.7,1,2,22.2,9,0,0
S Jackson,STL,28,102,3.6,1,3,10.7,27,0,0
M Turner,ATL,24,88,3.7,1,5,20.8,11,0,0
J Kuhn,GB,6,13,2.2,1,5,83.3,4,0,0
J Campbell,OAK,7,37,5.3,1,4,57.1,12,0,0
M Forte,CHI,13,64,4.9,1,3,23.1,17,0,0
T Choice,DAL,19,100,5.3,1,6,31.6,26,0,0
D Stanton,DET,5,12,2.4,1,3,60.0,6,0,0
M Bush,OAK,23,95,4.1,1,5,21.7,24,0,0
D McFadden,OAK,19,97,5.1,1,4,21.1,20,0,0
J Stewart,CAR,21,92,4.4,1,5,23.8,14,0,0
L McCoy,PHI,12,44,3.7,1,3,25.0,13,0,0
M Goodson,CAR,3,19,6.3,1,3,100.0,11,0,0
R Jennings,JAX,10,44,4.4,1,3,30.0,11,0,0
A Foster,HOU,22,83,3.8,1,5,22.7,29,0,0
L Blount,TB,20,103,5.2,1,4,20.0,28,0,0
K Collins,TEN,1,4,4.0,0,0,0.0,4,0,0
J Kitna,DAL,4,28,7.0,0,1,25.0,19,1,0
P Manning,IND,1,-1,-1.0,0,0,0.0,-1,0,0
F Taylor,NE,4,9,2.3,0,0,0.0,6,0,0
M Hasselbeck,SEA,1,-1,-1.0,0,0,0.0,-1,0,0
J Delhomme,CLE,4,-5,-1.3,0,0,0.0,-1,0,0
R Williams,MIA,10,48,4.8,0,2,20.0,8,0,0
D McNabb,WSH,2,5,2.5,0,1,50.0,3,1,1
T Brady,NE,1,3,3.0,0,1,100.0,3,0,0
T Jones,KC,11,53,4.8,0,3,27.3,12,0,0
L Tomlinson,NYJ,10,47,4.7,0,1,10.0,14,0,0
D Stallworth,BAL,1,-11,-11.0,0,0,0.0,-11,0,0
B Westbrook,SF,9,31,3.4,0,1,11.1,11,0,0
M Morris,DET,10,37,3.7,0,1,10.0,8,1,0
A Johnson,HOU,2,10,5.0,0,0,0.0,7,0,0
W McGahee,BAL,7,7,1.0,0,0,0.0,4,0,0
J Jones,NO,2,3,1.5,0,0,0.0,4,0,0
L Polite,MIA,1,-1,-1.0,0,0,0.0,-1,0,0
E Manning,NYG,1,-1,-1.0,0,0,0.0,-1,0,0
B Roethlisberger,PIT,1,-1,-1.0,0,0,0.0,-1,0,0
P Rivers,SD,1,5,5.0,0,0,0.0,5,0,0
D Ward,HOU,2,15,7.5,0,1,50.0,13,0,0
A Rodgers,GB,4,39,9.8,0,2,50.0,12,0,0
R Fitzpatrick,BUF,4,5,1.3,0,0,0.0,4,2,1
