Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
M Turner,ATL,28,112,4.0,3,9,32.1,16,0,0
D McFadden,OAK,16,123,7.7,2,2,12.5,51,0,0
T Hightower,ARZ,18,148,8.2,2,5,27.8,41,1,1
J Feely,ARZ,1,5,5.0,1,1,100.0,5,0,0
M Vick,PHI,8,16,2.0,1,1,12.5,9,0,0
C Taylor,CHI,3,1,0.3,1,1,33.3,1,0,0
W McGahee,BAL,4,7,1.8,1,1,25.0,4,0,0
B Jacobs,NYG,14,116,8.3,1,4,28.6,73,0,0
M Jones-Drew,JAX,23,101,4.4,1,5,21.7,30,0,0
A Bradshaw,NYG,11,103,9.4,1,4,36.4,48,0,0
F Jones,DAL,13,41,3.2,1,3,23.1,14,0,0
C Johnson,TEN,22,111,5.0,1,5,22.7,37,0,0
M Tolbert,SD,16,66,4.1,1,3,18.8,18,0,0
K Moreno,DEN,19,81,4.3,1,4,21.1,12,0,0
D Woodhead,NE,7,21,3.0,1,3,42.9,5,0,0
M Goodson,CAR,9,70,7.8,1,2,22.2,21,0,0
R Jennings,JAX,5,109,21.8,1,3,60.0,74,0,0
J James,IND,17,49,2.9,1,2,11.8,11,0,0
S Bradford,STL,2,5,2.5,1,1,50.0,4,0,0
R Mathews,SD,16,65,4.1,1,2,12.5,15,0,0
J Kitna,DAL,3,27,9.0,0,1,33.3,10,0,0
F Taylor,NE,3,16,5.3,0,1,33.3,10,0,0
M Hasselbeck,SEA,1,5,5.0,0,0,0.0,5,1,0
R Williams,MIA,10,34,3.4,0,0,0.0,8,0,0
S Morris,NE,1,2,2.0,0,1,100.0,2,0,0
T Jones,KC,3,1,0.3,0,0,0.0,3,0,0
D Brees,NO,1,7,7.0,0,0,0.0,7,0,0
L Tomlinson,NYJ,19,49,2.6,0,2,10.5,8,0,0
S Smith,CAR,1,9,9.0,0,1,100.0,9,0,0
B Westbrook,SF,9,23,2.6,0,1,11.1,8,0,0
M Morris,DET,11,51,4.6,0,1,9.1,8,0,0
D Garrard,JAX,5,32,6.4,0,2,40.0,24,0,0
N Burleson,DET,1,-1,-1.0,0,0,0.0,-1,0,0
K Boller,OAK,1,7,7.0,0,0,0.0,7,0,0
O Mughelli,ATL,1,3,3.0,0,1,100.0,3,0,0
M Schaub,HOU,1,8,8.0,0,1,100.0,8,0,0
C Palmer,CIN,2,0,0.0,0,0,0.0,1,0,0
L Polite,MIA,2,5,2.5,0,1,50.0,3,0,0
S Jackson,STL,16,96,6.0,0,4,25.0,20,1,1
M Moore,PIT,4,18,4.5,0,1,25.0,9,0,0
B Roethlisberger,PIT,3,23,7.7,0,2,66.7,13,0,0
P Rivers,SD,2,5,2.5,0,1,50.0,4,0,0
E Graham,TB,1,2,2.0,0,0,0.0,2,0,0
D Ward,HOU,1,3,3.0,0,1,100.0,3,0,0
C Benson,CIN,8,19,2.4,0,1,12.5,7,0,0
K Orton,DEN,2,5,2.5,0,0,0.0,5,1,1
J Cribbs,CLE,1,-11,-11.0,0,0,0.0,-11,1,0
A Rodgers,GB,2,25,12.5,0,1,50.0,18,0,0
R Fitzpatrick,BUF,4,49,12.3,0,3,75.0,18,0,0
R Brown,MIA,16,55,3.4,0,1,6.3,10,1,1
