Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
A Peterson,MIN,23,160,7.0,2,4,17.4,80,0,0
C Johnson,TEN,32,125,3.9,2,6,18.8,42,0,0
T Jones,KC,19,95,5.0,1,4,21.1,27,0,0
M Vick,PHI,4,30,7.5,1,2,50.0,17,0,0
L Tomlinson,NYJ,15,70,4.7,1,5,33.3,21,0,0
S Jackson,STL,10,58,5.8,1,1,10.0,42,0,0
M Turner,ATL,30,114,3.8,1,5,16.7,32,0,0
C Benson,CIN,27,81,3.0,1,4,14.8,11,1,0
M Barber,DAL,17,55,3.2,1,3,17.6,12,0,0
A Rodgers,GB,2,20,10.0,1,2,100.0,17,0,0
A Bradshaw,NYG,15,88,5.9,1,5,33.3,22,1,1
K Darby,STL,14,49,3.5,1,4,28.6,13,0,0
P Hillis,CLE,22,144,6.5,1,6,27.3,48,0,0
D McFadden,OAK,25,105,4.2,1,4,16.0,33,1,0
B Green-Ellis,NE,16,98,6.1,1,8,50.0,22,0,0
R Mendenhall,PIT,19,143,7.5,1,7,36.8,34,0,0
J Stewart,CAR,8,13,1.6,1,1,12.5,7,1,1
D Woodhead,NE,3,42,14.0,1,2,66.7,22,0,0
L Blount,TB,6,27,4.5,1,2,33.3,12,0,0
B Favre,MIN,2,-2,-1.0,0,0,0.0,-1,0,0
C Batch,PIT,5,26,5.2,0,2,40.0,24,0,0
P Manning,IND,2,-1,-0.5,0,0,0.0,0,1,0
H Ward,PIT,1,-2,-2.0,0,0,0.0,-2,0,0
F Taylor,NE,6,16,2.7,0,0,0.0,5,0,0
M Sellers,WSH,1,1,1.0,0,0,0.0,1,0,0
M Hasselbeck,SEA,3,5,1.7,0,2,66.7,5,0,0
R Williams,MIA,7,28,4.0,0,1,14.3,6,1,0
D McNabb,WSH,2,25,12.5,0,1,50.0,26,0,0
S Morris,NE,6,19,3.2,0,0,0.0,9,0,0
T Brady,NE,4,6,1.5,0,1,25.0,9,0,0
C Buckhalter,DEN,4,12,3.0,0,0,0.0,7,0,0
C Portis,WSH,7,44,6.3,0,2,28.6,27,0,0
M Morris,DET,6,5,0.8,0,0,0.0,3,0,0
D Garrard,JAX,7,32,4.6,0,2,28.6,11,1,0
C Taylor,CHI,3,9,3.0,0,0,0.0,6,0,0
W McGahee,BAL,7,29,4.1,0,0,0.0,9,0,0
C Palmer,CIN,5,8,1.6,0,1,20.0,9,0,0
L Polite,MIA,1,4,4.0,0,1,100.0,4,0,0
T Romo,DAL,1,-1,-1.0,0,0,0.0,-1,0,0
M Moore,PIT,1,4,4.0,0,0,0.0,4,0,0
M Karney,STL,1,2,2.0,0,1,100.0,2,0,0
E Manning,NYG,1,2,2.0,0,1,100.0,2,0,0
P Rivers,SD,1,2,2.0,0,0,0.0,2,0,0
E Graham,TB,2,13,6.5,0,1,50.0,9,0,0
D Ward,HOU,2,4,2.0,0,0,0.0,3,0,0
K Orton,DEN,2,11,5.5,0,2,100.0,9,0,0
J Cribbs,CLE,2,20,10.0,0,1,50.0,19,0,0
R Fitzpatrick,BUF,3,18,6.0,0,1,33.3,10,0,0
R Brown,MIA,11,54,4.9,0,1,9.1,17,0,0
S Hill,DET,2,4,2.0,0,1,50.0,2,0,0
