Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
L Tomlinson,NYJ,16,55,3.4,2,4,25.0,20,0,0
B Jacobs,NYG,9,35,3.9,2,2,22.2,7,0,0
R Torain,WSH,20,100,5.0,2,6,30.0,25,0,0
A Foster,HOU,18,71,3.9,2,6,33.3,21,0,0
T Jones,KC,19,100,5.3,1,4,21.1,19,0,0
L Betts,NO,6,20,3.3,1,2,33.3,8,0,0
S Jackson,STL,29,109,3.8,1,6,20.7,13,0,0
D Ward,HOU,3,58,19.3,1,2,66.7,38,0,0
A Rodgers,GB,4,14,3.5,1,1,25.0,8,0,0
J Addai,IND,17,128,7.5,1,4,23.5,46,1,1
M Lynch,SEA,17,44,2.6,1,2,11.8,12,0,0
A Peterson,MIN,24,73,3.0,1,6,25.0,15,0,0
M Forte,CHI,8,11,1.4,1,1,12.5,6,0,0
C Johnson,TEN,26,111,4.3,1,4,15.4,35,0,0
J Forsett,SEA,10,67,6.7,1,4,40.0,13,0,0
B Green-Ellis,NE,10,20,2.0,1,1,10.0,4,0,0
D Jackson,PHI,2,44,22.0,1,2,100.0,31,0,0
R Mendenhall,PIT,27,84,3.1,1,4,14.8,25,0,0
M Tolbert,SD,3,3,1.0,1,1,33.3,1,0,0
T Tebow,DEN,6,23,3.8,1,1,16.7,6,0,0
B Favre,MIN,1,0,0.0,0,0,0.0,0,1,1
K Collins,TEN,1,-1,-1.0,0,0,0.0,-1,0,0
P Manning,IND,1,-1,-1.0,0,0,0.0,-1,0,0
M Hasselbeck,SEA,3,-3,-1.0,0,0,0.0,-1,0,0
R Williams,MIA,13,64,4.9,0,3,23.1,9,0,0
D McNabb,WSH,2,1,0.5,0,1,50.0,2,0,0
S Morris,NE,1,3,3.0,0,1,100.0,3,0,0
T Brady,NE,2,1,0.5,0,1,50.0,2,0,0
C Buckhalter,DEN,6,20,3.3,0,1,16.7,13,0,0
D Brees,NO,2,2,1.0,0,1,50.0,3,0,0
R Cartwright,OAK,1,-3,-3.0,0,0,0.0,-3,0,0
C Taylor,CHI,4,31,7.8,0,1,25.0,24,0,0
N Burleson,DET,1,-7,-7.0,0,0,0.0,-7,0,0
A Boldin,BAL,1,-1,-1.0,0,0,0.0,-1,0,0
M Schaub,HOU,1,3,3.0,0,0,0.0,3,0,0
J Jones,NO,9,32,3.6,0,3,33.3,16,0,0
L Polite,MIA,4,7,1.8,0,0,0.0,4,0,0
T Romo,DAL,3,31,10.3,0,2,66.7,14,0,0
M Moore,PIT,1,1,1.0,0,0,0.0,1,0,0
E Manning,NYG,1,-1,-1.0,0,0,0.0,-1,0,0
B Roethlisberger,PIT,1,5,5.0,0,0,0.0,5,0,0
M Turner,ATL,15,45,3.0,0,3,20.0,9,0,0
K Orton,DEN,3,22,7.3,0,2,66.7,13,0,0
J Cribbs,CLE,2,1,0.5,0,0,0.0,1,0,0
M Barber,DAL,10,31,3.1,0,5,50.0,6,0,0
R Brown,MIA,19,73,3.8,0,4,21.1,12,0,0
M Cassel,KC,1,8,8.0,0,1,100.0,8,0,0
D Sproles,SD,1,9,9.0,0,1,100.0,9,0,0
F Gore,SF,25,149,6.0,0,7,28.0,64,0,0
A Smith,SF,4,-2,-0.5,0,0,0.0,1,0,0
