Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
A Foster,HOU,33,231,7.0,3,14,42.4,42,0,0
C Johnson,TEN,27,142,5.3,2,6,22.2,76,0,0
J Best,DET,14,20,1.4,2,3,21.4,8,0,0
M Hasselbeck,SEA,2,4,2.0,1,1,50.0,3,0,0
W McGahee,BAL,6,-2,-0.3,1,1,16.7,1,1,1
C Benson,CIN,15,43,2.9,1,4,26.7,10,1,1
R Brown,MIA,13,65,5.0,1,5,38.5,17,0,0
J Kuhn,GB,2,15,7.5,1,2,100.0,12,0,0
P Thomas,NO,19,71,3.7,1,6,31.6,11,0,0
A Bradshaw,NYG,20,76,3.8,1,4,20.0,39,1,1
P Hillis,CLE,9,41,4.6,1,3,33.3,12,2,1
J Charles,KC,11,92,8.4,1,3,27.3,56,0,0
T Hightower,ARZ,13,54,4.2,1,3,23.1,20,2,2
R Mendenhall,PIT,22,120,5.5,1,3,13.6,50,0,0
K Moreno,DEN,15,60,4.0,1,4,26.7,17,0,0
J Ringer,TEN,5,33,6.6,1,2,40.0,15,0,0
L McCoy,PHI,7,35,5.0,1,2,28.6,12,0,0
F Taylor,NE,14,71,5.1,0,4,28.6,24,0,0
K Faulk,NE,3,23,7.7,0,1,33.3,11,0,0
J Delhomme,CLE,1,1,1.0,0,0,0.0,1,0,0
R Williams,MIA,18,62,3.4,0,3,16.7,8,0,0
D McNabb,WSH,1,17,17.0,0,1,100.0,17,0,0
S Morris,NE,1,2,2.0,0,1,100.0,2,0,0
J Bidwell,WSH,1,0,0.0,0,0,0.0,0,1,0
T Jones,KC,11,39,3.5,0,1,9.1,10,0,0
M Vick,PHI,11,103,9.4,0,4,36.4,31,0,0
B Moorman,BUF,1,0,0.0,0,0,0.0,0,0,0
M Bennett,OAK,1,6,6.0,0,0,0.0,6,0,0
M Norris,SF,1,1,1.0,0,0,0.0,1,0,0
C Buckhalter,DEN,6,15,2.5,0,1,16.7,7,1,1
D Brees,NO,4,-6,-1.5,0,0,0.0,-1,0,0
L Tomlinson,NYJ,11,62,5.6,0,2,18.2,21,0,0
J Baker,CAR,1,0,0.0,0,0,0.0,0,0,0
C Portis,WSH,18,63,3.5,0,2,11.1,18,0,0
M Morris,DET,2,-3,-1.5,0,0,0.0,0,0,0
D Garrard,JAX,7,10,1.4,0,1,14.3,5,0,0
C Taylor,CHI,9,29,3.2,0,1,11.1,10,0,0
L Johnson,WSH,3,9,3.0,0,0,0.0,7,0,0
M Schaub,HOU,3,-3,-1.0,0,0,0.0,-1,0,0
C Palmer,CIN,4,9,2.3,0,1,25.0,7,1,0
J Jones,NO,8,18,2.3,0,0,0.0,6,0,0
L Polite,MIA,2,6,3.0,0,1,50.0,3,0,0
S Jackson,STL,22,81,3.7,0,6,27.3,18,0,0
M Moore,PIT,1,0,0.0,0,0,0.0,0,0,0
B Watson,CLE,1,-1,-1.0,0,0,0.0,-1,0,0
M Karney,STL,1,2,2.0,0,0,0.0,2,0,0
E Manning,NYG,4,-2,-0.5,0,1,25.0,1,0,0
P Rivers,SD,3,5,1.7,0,1,33.3,6,1,0
M Turner,ATL,19,42,2.2,0,3,15.8,7,0,0
E Graham,TB,6,10,1.7,0,1,16.7,6,1,1
