Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
L McCoy,PHI,16,120,7.5,3,7,43.8,46,0,0
C Portis,WSH,13,33,2.5,2,3,23.1,12,0,0
J Snelling,ATL,24,129,5.4,2,9,37.5,30,0,0
M Tolbert,SD,16,82,5.1,2,5,31.3,29,0,0
J Best,DET,17,78,4.6,2,7,41.2,33,0,0
M Hasselbeck,SEA,3,21,7.0,1,2,66.7,20,0,0
C Buckhalter,DEN,11,19,1.7,1,3,27.3,4,0,0
A Rodgers,GB,5,20,4.0,1,2,40.0,12,0,0
F Gore,SF,20,112,5.6,1,7,35.0,20,0,0
F Jackson,BUF,9,39,4.3,1,3,33.3,11,0,0
B Jackson,GB,11,29,2.6,1,1,9.1,6,0,0
A Peterson,MIN,28,145,5.2,1,8,28.6,23,0,0
P Hillis,CLE,8,35,4.4,1,2,25.0,12,0,0
T Hightower,ARZ,11,115,10.5,1,2,18.2,80,0,0
K Moreno,DEN,24,51,2.1,1,2,8.3,9,1,0
D Brown,IND,16,69,4.3,1,4,25.0,11,0,0
A Dixon,SF,1,2,2.0,1,1,100.0,2,0,0
K Collins,TEN,2,-1,-0.5,0,0,0.0,0,0,0
M Turk,HOU,1,-27,-27.0,0,0,0.0,-27,0,0
C Batch,PIT,1,0,0.0,0,0,0.0,0,2,0
P Manning,IND,3,-3,-1.0,0,0,0.0,-1,0,0
F Taylor,NE,5,11,2.2,0,3,60.0,6,0,0
M Sellers,WSH,1,0,0.0,0,0,0.0,0,0,0
K Faulk,NE,5,22,4.4,0,0,0.0,8,0,0
R Williams,MIA,10,30,3.0,0,1,10.0,8,1,1
T Jones,KC,22,83,3.8,0,3,13.6,11,0,0
M Vick,PHI,8,37,4.6,0,2,25.0,12,1,0
B Volek,SD,1,-1,-1.0,0,0,0.0,-1,0,0
S Moss,WSH,1,-8,-8.0,0,0,0.0,-8,0,0
L Tomlinson,NYJ,11,76,6.9,0,4,36.4,31,0,0
H Evans,NO,1,0,0.0,0,0,0.0,0,0,0
B Westbrook,SF,1,0,0.0,0,0,0.0,0,0,0
M Morris,DET,3,8,2.7,0,0,0.0,5,0,0
D Garrard,JAX,1,-1,-1.0,0,0,0.0,-1,0,0
C Taylor,CHI,4,6,1.5,0,0,0.0,4,0,0
L Johnson,WSH,2,-7,-3.5,0,0,0.0,3,0,0
O Mughelli,ATL,5,16,3.2,0,1,20.0,6,0,0
M Schaub,HOU,1,2,2.0,0,1,100.0,2,0,0
J Wright,ARZ,2,3,1.5,0,0,0.0,4,0,0
W McGahee,BAL,3,10,3.3,0,0,0.0,6,0,0
C Palmer,CIN,3,-1,-0.3,0,0,0.0,1,0,0
L McCown,JAX,1,4,4.0,0,0,0.0,4,0,0
J Jones,NO,4,12,3.0,0,0,0.0,6,0,0
L Polite,MIA,4,10,2.5,0,2,50.0,4,0,0
T Romo,DAL,1,-1,-1.0,0,0,0.0,-1,0,0
S Jackson,STL,19,75,3.9,0,2,10.5,23,0,0
M Moore,PIT,2,1,0.5,0,0,0.0,2,0,0
E Manning,NYG,1,6,6.0,0,0,0.0,6,0,0
J Cotchery,NYJ,2,6,3.0,0,0,0.0,4,0,0
M Turner,ATL,9,75,8.3,0,3,33.3,21,0,0
