Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
B Green-Ellis,NE,17,112,6.6,2,8,47.1,26,0,0
L Blount,TB,22,120,5.5,2,6,27.3,48,1,1
R Williams,MIA,9,47,5.2,1,4,44.4,18,0,0
D Garrard,JAX,2,2,1.0,1,1,50.0,2,0,0
M Barber,DAL,9,16,1.8,1,3,33.3,7,0,0
F Gore,SF,29,118,4.1,1,6,20.7,21,0,0
A Peterson,MIN,25,92,3.7,1,6,24.0,9,0,0
T Smith,SF,4,2,0.5,1,1,25.0,3,1,0
C Johnson,TEN,15,59,3.9,1,2,13.3,29,0,0
M Bush,OAK,9,51,5.7,1,2,22.2,30,0,0
R Mendenhall,PIT,15,71,4.7,1,4,26.7,38,0,0
M Tolbert,SD,11,63,5.7,1,4,36.4,36,0,0
D Woodhead,NE,6,13,2.2,1,1,16.7,5,0,0
L Stephens-Howling,ARZ,4,41,10.3,1,2,50.0,30,0,0
B Wells,ARZ,16,50,3.1,1,3,18.8,14,0,0
A Foster,HOU,15,102,6.8,1,6,40.0,33,0,0
T Tebow,DEN,2,1,0.5,1,1,50.0,1,0,0
R Mathews,SD,15,43,2.9,1,1,6.7,9,0,0
K Williams,WSH,6,25,4.2,1,1,16.7,8,0,0
J Kitna,DAL,5,12,2.4,0,1,20.0,8,0,0
P Manning,IND,4,3,0.8,0,1,25.0,6,0,0
D McNabb,WSH,4,45,11.3,0,1,25.0,36,0,0
T Brady,NE,4,-3,-0.8,0,0,0.0,0,0,0
T Jones,KC,19,77,4.1,0,4,21.1,13,0,0
M Norris,SF,1,-1,-1.0,0,0,0.0,-1,0,0
D Brees,NO,3,-2,-0.7,0,0,0.0,0,0,0
L Tomlinson,NYJ,16,54,3.4,0,1,6.3,8,1,0
B Westbrook,SF,2,4,2.0,0,0,0.0,2,0,0
L Betts,NO,3,8,2.7,0,1,33.3,7,0,0
M Schaub,HOU,1,1,1.0,0,1,100.0,1,0,0
C Palmer,CIN,3,13,4.3,0,1,33.3,8,0,0
J Jones,NO,7,16,2.3,0,1,14.3,11,0,0
L Polite,MIA,2,6,3.0,0,1,50.0,4,0,0
S Jackson,STL,23,59,2.6,0,1,4.3,14,0,0
M Moore,PIT,2,19,9.5,0,1,50.0,18,0,0
J Cotchery,NYJ,1,-8,-8.0,0,0,0.0,-8,0,0
B Roethlisberger,PIT,1,-1,-1.0,0,0,0.0,-1,0,0
P Rivers,SD,2,3,1.5,0,0,0.0,4,0,0
E Graham,TB,1,2,2.0,0,0,0.0,2,0,0
D Ward,HOU,2,5,2.5,0,0,0.0,5,0,0
R Parrish,BUF,1,13,13.0,0,1,100.0,13,0,0
C Benson,CIN,20,69,3.5,0,4,20.0,13,0,0
K Orton,DEN,3,18,6.0,0,1,33.3,8,1,1
A Rodgers,GB,3,5,1.7,0,0,0.0,5,0,0
R Fitzpatrick,BUF,6,43,7.2,0,2,33.3,14,0,0
R Brown,MIA,16,61,3.8,0,2,12.5,13,0,0
M Cassel,KC,2,13,6.5,0,0,0.0,8,0,0
D Sproles,SD,4,41,10.3,0,1,25.0,32,0,0
C Williams,TB,4,10,2.5,0,1,25.0,10,0,0
V Young,TEN,2,3,1.5,0,0,0.0,4,0,0
