Player,Team,Rec,Yds,Tgt,Avg,TD,1st,Pct,Lng,Fum,FumL
M Bush,OAK,1,55,1,55.0,0,1,100.0,55,0,0
A Benn,TB,1,53,1,53.0,0,1,100.0,53,0,0
J Cook,TEN,1,36,2,36.0,0,1,100.0,36,0,0
B Tate,NE,3,101,4,33.7,1,2,66.7,65,0,0
B Edwards,NYJ,1,32,4,32.0,0,1,100.0,32,0,0
D Thomas,DEN,1,31,1,31.0,0,1,100.0,31,0,0
A Armstrong,WSH,3,92,6,30.7,0,2,66.7,50,0,0
J Morgan,SF,1,30,2,30.0,0,1,100.0,30,0,0
M Reece,OAK,3,90,4,30.0,1,2,66.7,51,0,0
N Washington,TEN,4,117,9,29.3,1,3,75.0,71,0,0
M Williams,SEA,1,27,5,27.0,0,1,100.0,27,0,0
M Williams,TB,4,105,6,26.3,1,3,75.0,47,0,0
M Lewis,JAX,2,51,3,25.5,2,2,100.0,42,0,0
A Gates,SD,5,123,7,24.6,1,5,100.0,48,0,0
B Lloyd,DEN,7,169,12,24.1,1,7,100.0,71,0,0
D Keller,NYJ,2,45,6,22.5,0,1,50.0,40,0,0
J Cotchery,NYJ,4,89,13,22.3,0,4,100.0,49,0,0
D Williams,TEN,2,43,9,21.5,0,2,100.0,26,0,0
D Branch,NE,1,21,3,21.0,0,1,100.0,21,0,0
R Williams,DAL,1,21,3,21.0,0,1,100.0,21,0,0
D Heyward-Bey,OAK,5,105,9,21.0,1,3,60.0,69,0,0
E Sanders,PIT,1,21,2,21.0,0,1,100.0,21,0,0
M Spurlock,TB,3,60,3,20.0,0,3,100.0,29,0,0
H Miller,PIT,2,39,2,19.5,0,0,0.0,25,1,1
M Sims-Walker,JAX,8,153,10,19.1,1,8,100.0,39,0,0
S Breaston,ARZ,8,147,11,18.4,0,6,75.0,37,0,0
G Tate,SEA,2,36,7,18.0,0,1,50.0,24,0,0
M Crabtree,SF,3,53,5,17.7,1,3,100.0,28,0,0
P Harvin,MIN,6,104,8,17.3,0,5,83.3,30,0,0
D Walker,SF,5,85,7,17.0,0,3,60.0,38,0,0
M Austin,DAL,7,117,12,16.7,0,5,71.4,35,0,0
R Parrish,BUF,4,66,8,16.5,0,3,75.0,37,0,0
A Hernandez,NE,2,33,3,16.5,0,1,50.0,27,0,0
S Ajirotutu,SD,3,48,4,16.0,0,2,66.7,25,0,0
J Carlson,SEA,3,47,4,15.7,0,1,33.3,35,0,0
J Charles,KC,4,61,5,15.3,0,4,100.0,31,0,0
A Johnson,HOU,7,106,10,15.1,1,5,71.4,28,0,0
T Moeaki,KC,3,45,4,15.0,0,3,100.0,18,0,0
C Stevens,TEN,2,29,2,14.5,1,2,100.0,28,0,0
S Holmes,NYJ,3,43,6,14.3,0,3,100.0,18,0,0
M Wallace,PIT,3,43,4,14.3,0,2,66.7,21,0,0
L Hawkins,TEN,4,56,5,14.0,0,3,75.0,24,0,0
B Wells,ARZ,1,14,2,14.0,0,1,100.0,14,0,0
A Gonzalez,IND,4,55,6,13.8,0,2,50.0,34,0,0
J Gaffney,DEN,4,54,7,13.5,0,3,75.0,19,0,0
G Jennings,GB,6,81,12,13.5,0,5,83.3,30,0,0
T Gerhart,MIN,5,67,5,13.4,0,2,40.0,23,0,0
T Owens,CIN,5,65,12,13.0,2,2,40.0,37,0,0
B Stokley,SEA,1,13,1,13.0,0,1,100.0,13,0,0
B Marshall,MIA,5,64,7,12.8,0,2,40.0,25,0,0
