Player,Team,Rec,Yds,Tgt,Avg,TD,1st,Pct,Lng,Fum,FumL
J Best,DET,1,53,1,53.0,1,1,100.0,53,0,0
M Manningham,NYG,4,132,6,33.0,1,3,75.0,85,0,0
J Nelson,GB,4,124,7,31.0,1,2,50.0,80,1,1
M Sims-Walker,JAX,1,31,1,31.0,0,1,100.0,31,0,0
C Spiller,BUF,2,54,3,27.0,0,2,100.0,41,0,0
L Fitzgerald,ARZ,1,26,3,26.0,0,1,100.0,26,0,0
M Wallace,PIT,4,104,6,26.0,1,4,100.0,43,0,0
D Bowe,KC,6,153,9,25.5,1,5,83.3,75,0,0
M Bell,CLE,2,48,2,24.0,0,2,100.0,28,0,0
V Davis,SF,3,70,7,23.3,0,3,100.0,29,0,0
H Nicks,NYG,4,93,9,23.3,1,4,100.0,36,0,0
J Jones,HOU,5,115,7,23.0,0,5,100.0,47,0,0
J Knox,CHI,4,92,6,23.0,2,4,100.0,40,0,0
B Gibson,STL,3,69,6,23.0,0,2,66.7,41,0,0
J Gaffney,DEN,4,90,7,22.5,0,3,75.0,50,1,0
K Britt,TEN,4,89,9,22.3,1,3,75.0,53,0,0
B Lloyd,DEN,5,111,9,22.2,0,5,100.0,41,0,0
T Ginn Jr.,SF,1,22,2,22.0,0,1,100.0,22,0,0
K Moreno,DEN,1,22,1,22.0,0,1,100.0,22,0,0
M Shuler,MIA,2,44,4,22.0,0,2,100.0,28,0,0
A Roberts,ARZ,5,110,9,22.0,1,2,40.0,74,0,0
A Caldwell,CIN,4,87,5,21.8,0,4,100.0,44,0,0
J Casey,HOU,1,21,1,21.0,0,1,100.0,21,0,0
T Crabtree,GB,1,21,1,21.0,0,1,100.0,21,0,0
J Simpson,CIN,6,124,7,20.7,2,5,83.3,59,0,0
M Crabtree,SF,6,122,10,20.3,1,3,50.0,60,0,0
G Jennings,GB,7,142,10,20.3,0,7,100.0,36,0,0
M Spurlock,TB,1,20,1,20.0,0,1,100.0,20,0,0
J Morgan,SF,2,39,5,19.5,0,2,100.0,33,0,0
J Hill,JAX,4,77,9,19.3,0,3,75.0,37,0,0
J Cook,TEN,5,96,9,19.2,1,5,100.0,28,0,0
M Austin,DAL,6,115,13,19.2,1,4,66.7,37,1,1
B Pettigrew,DET,4,74,9,18.5,1,3,75.0,33,0,0
N Roosevelt,BUF,4,74,8,18.5,0,4,100.0,30,0,0
L Murphy,OAK,2,36,2,18.0,0,2,100.0,26,0,0
B Robiskie,CLE,2,35,5,17.5,1,1,50.0,29,0,0
S Holmes,NYJ,4,69,8,17.3,1,3,75.0,23,0,0
S Moss,WSH,5,85,9,17.0,0,4,80.0,38,0,0
C Buckhalter,DEN,3,50,3,16.7,1,2,66.7,23,0,0
D Alexander,STL,6,99,7,16.5,0,3,50.0,46,0,0
D Hester,CHI,3,48,5,16.0,1,1,33.3,25,0,0
S Rice,MIN,1,16,5,16.0,0,1,100.0,16,0,0
D Jackson,PHI,2,32,12,16.0,0,1,50.0,21,0,0
M Thomas,JAX,6,96,9,16.0,1,4,66.7,26,0,0
A Quarless,GB,1,16,1,16.0,0,1,100.0,16,0,0
A Benn,TB,1,16,1,16.0,0,1,100.0,16,0,0
A Fasano,MIA,2,31,2,15.5,0,2,100.0,20,0,0
T Scheffler,DET,1,15,2,15.0,0,1,100.0,15,0,0
B Bolen,JAX,1,15,3,15.0,0,1,100.0,15,0,0
L Naanee,SD,4,59,7,14.8,0,4,100.0,19,0,0
