Player,Team,Rec,Yds,Tgt,Avg,TD,1st,Pct,Lng,Fum,FumL
B LaFell,CAR,1,44,6,44.0,0,1,100.0,44,0,0
B Edwards,NYJ,2,87,3,43.5,1,2,100.0,67,0,0
M Wallace,PIT,3,100,4,33.3,2,3,100.0,46,0,0
D Jackson,PHI,5,153,8,30.6,1,4,80.0,61,0,0
D Bowe,KC,2,61,5,30.5,1,2,100.0,45,0,0
K Boss,NYG,3,88,7,29.3,0,3,100.0,54,0,0
B Lloyd,DEN,6,169,10,28.2,1,6,100.0,61,0,0
R McMichael,SD,1,28,1,28.0,0,1,100.0,28,0,0
B Davis,SD,3,82,3,27.3,0,3,100.0,49,0,0
L Moore,NO,6,149,7,24.8,2,5,83.3,80,0,0
L Murphy,OAK,5,119,6,23.8,0,4,80.0,70,0,0
J Knox,CHI,4,94,6,23.5,0,3,75.0,35,0,0
R Williams,DAL,5,117,6,23.4,2,4,80.0,63,0,0
D McCluster,KC,3,69,3,23.0,1,3,100.0,31,0,0
J Stevens,TB,1,22,1,22.0,0,1,100.0,22,0,0
S Johnson,BUF,3,66,4,22.0,1,3,100.0,37,0,0
D Clowney,CAR,1,22,3,22.0,0,1,100.0,22,0,0
T Underwood,JAX,1,22,2,22.0,0,1,100.0,22,0,0
B Tate,NE,2,43,3,21.5,0,1,50.0,29,1,1
D Thomas,DEN,2,43,6,21.5,0,2,100.0,27,1,0
R Moss,TEN,2,42,3,21.0,2,2,100.0,35,0,0
J Maclin,PHI,4,83,7,20.8,2,3,75.0,45,0,0
S Moss,WSH,6,124,8,20.7,1,3,50.0,56,1,1
L Maroney,DEN,2,40,3,20.0,0,2,100.0,28,0,0
P Crayton,SD,3,57,4,19.0,0,3,100.0,23,0,0
J Charles,KC,3,57,3,19.0,0,3,100.0,22,0,0
V Leach,HOU,1,18,1,18.0,0,1,100.0,18,0,0
J Dreessen,HOU,1,18,1,18.0,0,1,100.0,18,0,0
H Baskett,MIN,1,18,3,18.0,0,1,100.0,18,0,0
A Boldin,BAL,8,142,11,17.8,3,8,100.0,34,0,0
M Williams,SEA,2,35,5,17.5,0,2,100.0,22,0,0
M Clayton,STL,5,85,6,17.0,0,4,80.0,30,0,0
M Willis,DEN,1,17,2,17.0,0,1,100.0,17,0,0
M Sims-Walker,JAX,2,34,8,17.0,0,2,100.0,23,0,0
B Hartline,MIA,5,84,11,16.8,0,3,60.0,28,0,0
R Parrish,BUF,5,83,6,16.6,0,4,80.0,31,0,0
B Marshall,MIA,10,166,16,16.6,1,8,80.0,40,0,0
D Keller,NYJ,6,98,10,16.3,2,4,66.7,31,0,0
D Heyward-Bey,OAK,3,49,11,16.3,0,3,100.0,21,0,0
R Wayne,IND,4,65,7,16.3,0,3,75.0,31,0,0
M Floyd,SD,6,97,10,16.2,1,6,100.0,25,0,0
A Johnson,HOU,4,64,7,16.0,0,4,100.0,26,0,0
D Hester,CHI,1,16,5,16.0,0,1,100.0,16,0,0
Z Miller,OAK,4,64,9,16.0,1,4,100.0,22,0,0
A Gates,SD,7,109,13,15.6,1,6,85.7,28,0,0
J Gresham,CIN,4,59,6,14.8,0,3,75.0,27,0,0
O Mughelli,ATL,2,29,3,14.5,0,2,100.0,18,0,0
B Patrick,ARZ,2,29,2,14.5,0,1,50.0,21,0,0
D Bess,MIA,6,86,7,14.3,0,6,100.0,17,0,0
R Gronkowski,NE,3,43,3,14.3,1,3,100.0,21,0,0
