Player,Team,Rec,Yds,Tgt,Avg,TD,1st,Pct,Lng,Fum,FumL
B Lloyd,DEN,1,46,3,46.0,0,1,100.0,46,0,0
K Britt,TEN,7,225,10,32.1,3,7,100.0,80,0,0
N Miller,OAK,1,32,1,32.0,0,1,100.0,32,0,0
B Berrian,MIN,1,30,2,30.0,0,1,100.0,30,0,0
S Larsen,DEN,1,29,1,29.0,0,1,100.0,29,0,0
D Bowe,KC,3,81,5,27.0,2,3,100.0,53,0,0
J Jones,GB,4,107,8,26.8,0,4,100.0,45,0,0
M Wallace,PIT,2,53,4,26.5,1,1,50.0,53,0,0
R Goodman,SD,1,25,1,25.0,0,0,0.0,25,1,1
D Mason,BAL,2,48,3,24.0,0,2,100.0,36,0,0
K Boss,NYG,1,23,1,23.0,0,1,100.0,23,0,0
R Barden,NYG,1,22,1,22.0,0,1,100.0,22,0,0
J Shipley,CIN,6,131,6,21.8,1,4,66.7,64,0,0
Z Miller,OAK,3,65,6,21.7,1,2,66.7,43,0,0
A Armstrong,WSH,2,42,4,21.0,0,2,100.0,22,0,0
A Peterson,MIN,2,41,2,20.5,0,1,50.0,26,0,0
A Roberts,ARZ,2,40,4,20.0,0,1,50.0,25,0,0
S Johnson,BUF,8,158,10,19.8,1,7,87.5,43,0,0
T Heap,BAL,3,59,5,19.7,2,3,100.0,26,0,0
K Darby,STL,1,19,1,19.0,0,1,100.0,19,0,0
E Bennett,CHI,4,76,5,19.0,0,2,50.0,48,0,0
M Reece,OAK,1,19,3,19.0,0,1,100.0,19,0,0
H Ward,PIT,7,131,10,18.7,1,5,71.4,43,0,0
V Davis,SF,4,74,8,18.5,1,3,75.0,53,0,0
R White,ATL,11,201,13,18.3,2,8,72.7,46,1,1
B Watson,CLE,1,18,2,18.0,0,1,100.0,18,0,0
E Sanders,PIT,1,18,1,18.0,0,1,100.0,18,0,0
L Evans,BUF,6,105,10,17.5,3,6,100.0,33,0,0
S Jackson,STL,2,35,2,17.5,0,1,50.0,14,0,0
L McClain,BAL,2,35,2,17.5,0,2,100.0,19,0,0
J Morgan,SF,2,34,5,17.0,0,1,50.0,22,0,0
R Cooper,PHI,3,51,6,17.0,1,3,100.0,37,0,0
E Doucet,ARZ,2,33,8,16.5,0,1,50.0,29,0,0
M Williams,TB,5,82,11,16.4,0,3,60.0,21,1,0
A Fasano,MIA,3,49,5,16.3,0,3,100.0,22,0,0
B Stokley,SEA,1,16,2,16.0,0,1,100.0,16,0,0
T Copper,KC,1,16,2,16.0,0,1,100.0,16,0,0
D Gettis,CAR,8,125,9,15.6,2,7,87.5,39,0,0
J Forsett,SEA,2,31,2,15.5,0,1,50.0,21,0,0
D McFadden,OAK,2,31,2,15.5,1,2,100.0,19,0,0
R Meachem,NO,2,31,5,15.5,0,1,50.0,29,0,0
A Boldin,BAL,6,92,13,15.3,1,4,66.7,34,0,0
B Jackson,GB,3,46,3,15.3,0,2,66.7,36,0,0
B LaFell,CAR,6,91,6,15.2,0,3,50.0,35,0,0
M Sellers,WSH,1,15,3,15.0,0,1,100.0,15,0,0
J Shockey,NO,2,30,4,15.0,0,2,100.0,19,0,0
T Underwood,JAX,2,30,2,15.0,0,1,50.0,20,0,0
M Jones-Drew,JAX,5,74,6,14.8,1,3,60.0,29,0,0
M Lewis,JAX,3,44,9,14.7,0,2,66.7,26,0,0
L Murphy,OAK,2,29,4,14.5,0,1,50.0,20,0,0
