Player,Team,Rec,Yds,Tgt,Avg,TD,1st,Pct,Lng,Fum,FumL
A Armstrong,WSH,1,57,3,57.0,0,1,100.0,57,0,0
J Stewart,CAR,1,55,1,55.0,1,1,100.0,55,0,0
D Driver,GB,3,89,3,29.7,1,3,100.0,48,0,0
J Knox,CHI,1,26,2,26.0,0,1,100.0,26,0,0
A Randle El,PIT,2,50,2,25.0,0,2,100.0,34,0,0
T Beckum,NYG,1,25,2,25.0,0,1,100.0,25,0,0
E Moore,CLE,1,24,2,24.0,1,1,100.0,24,0,0
J Dray,ARZ,1,24,1,24.0,0,1,100.0,24,0,0
M Floyd,SD,2,45,3,22.5,0,2,100.0,31,0,0
T Owens,CIN,10,222,15,22.2,1,9,90.0,78,0,0
B Edwards,NYJ,4,86,7,21.5,1,4,100.0,41,0,0
A Gates,SD,7,144,7,20.6,2,6,85.7,33,0,0
C Johnson,CIN,3,59,5,19.7,0,2,66.7,42,0,0
H Douglas,ATL,3,59,8,19.7,1,3,100.0,34,0,0
J Higgins,OAK,2,38,4,19.0,0,2,100.0,26,0,0
D Nelson,BUF,4,75,4,18.8,0,3,75.0,37,0,0
A Foster,HOU,3,56,4,18.7,1,3,100.0,31,0,0
C Cooley,WSH,2,37,5,18.5,1,1,50.0,31,0,0
D Gettis,CAR,2,37,6,18.5,0,2,100.0,21,0,0
S Jackson,STL,3,54,3,18.0,0,1,33.3,49,0,0
J Cook,TEN,1,17,2,17.0,0,1,100.0,17,0,0
B Gibson,STL,3,50,4,16.7,1,3,100.0,23,0,0
T Houshmandzadeh,BAL,3,49,6,16.3,1,3,100.0,21,0,0
H Miller,PIT,2,32,4,16.0,0,2,100.0,19,0,0
C Stevens,TEN,1,16,1,16.0,0,1,100.0,16,0,0
M Komar,ARZ,1,16,3,16.0,0,1,100.0,16,0,0
B Stokley,SEA,4,62,8,15.5,0,3,75.0,36,0,0
J Gage,TEN,2,30,3,15.0,0,2,100.0,16,0,0
D Lee,GB,1,15,1,15.0,0,1,100.0,15,0,0
J Jones,GB,1,15,1,15.0,0,1,100.0,15,0,0
J Carlson,SEA,1,15,3,15.0,0,1,100.0,15,0,0
J Maclin,PHI,1,15,2,15.0,0,1,100.0,15,0,0
R White,ATL,7,104,9,14.9,0,5,71.4,20,0,0
J Dreessen,HOU,5,73,8,14.6,1,4,80.0,29,0,0
J Shipley,CIN,2,29,3,14.5,0,2,100.0,20,0,0
M Clayton,STL,5,72,14,14.4,0,4,80.0,34,0,0
C Johnson,DET,6,86,11,14.3,2,5,83.3,23,0,0
O Schmitt,PHI,3,43,4,14.3,0,3,100.0,18,0,0
E Royal,DEN,8,113,8,14.1,1,5,62.5,41,0,0
L Washington,SEA,2,28,2,14.0,0,1,50.0,28,0,0
D Williams,CAR,1,14,1,14.0,0,1,100.0,14,0,0
H Nicks,NYG,8,110,9,13.8,0,4,50.0,30,0,0
D McFadden,OAK,6,82,7,13.7,0,2,33.3,43,0,0
T Underwood,JAX,3,41,5,13.7,0,3,100.0,22,0,0
M Thomas,JAX,5,68,7,13.6,0,3,60.0,21,0,0
B Scaife,TEN,2,27,2,13.5,0,1,50.0,25,0,0
A Fasano,MIA,5,67,6,13.4,0,5,100.0,21,0,0
D Mason,BAL,6,80,8,13.3,0,3,50.0,40,0,0
J Hester,SD,3,40,3,13.3,0,3,100.0,21,0,0
R Wayne,IND,15,196,19,13.1,0,10,66.7,42,1,1
