Player,Team,Rec,Yds,Tgt,Avg,TD,1st,Pct,Lng,Fum,FumL
A Hernandez,NE,1,45,2,45.0,0,1,100.0,45,0,0
M Wallace,PIT,2,62,5,31.0,0,2,100.0,52,0,0
N Washington,TEN,3,88,4,29.3,1,3,100.0,56,0,0
G Camarillo,MIN,1,29,2,29.0,0,1,100.0,29,0,0
E Moore,CLE,3,87,5,29.0,0,2,66.7,49,0,0
T Houshmandzadeh,BAL,1,27,4,27.0,0,1,100.0,27,0,0
M Spurlock,TB,2,49,4,24.5,1,2,100.0,33,0,0
B Johnson,DET,1,24,1,24.0,0,1,100.0,24,0,0
K Osgood,JAX,1,24,1,24.0,1,1,100.0,24,0,0
B Lloyd,DEN,5,117,8,23.4,0,5,100.0,41,0,0
M Massaquoi,CLE,2,46,6,23.0,1,1,50.0,41,0,0
L Naanee,SD,5,110,8,22.0,1,5,100.0,59,0,0
M Forte,CHI,7,151,7,21.6,2,3,42.9,89,2,1
M Manningham,NYG,4,85,4,21.3,0,3,75.0,31,0,0
D Jarrett,CAR,2,40,4,20.0,0,2,100.0,21,0,0
N Burleson,DET,1,19,4,19.0,0,1,100.0,19,0,0
V Shiancoe,MIN,4,76,7,19.0,1,3,75.0,33,0,0
D Henderson,NO,2,38,4,19.0,1,2,100.0,29,0,0
T Ginn Jr.,SF,1,19,2,19.0,0,1,100.0,19,0,0
S Breaston,ARZ,7,132,7,18.9,0,6,85.7,35,0,0
H Nicks,NYG,4,75,8,18.8,3,4,100.0,26,0,0
E Doucet,ARZ,2,37,3,18.5,0,2,100.0,24,0,0
H Ward,PIT,6,108,7,18.0,0,4,66.7,25,0,0
D Graham,DEN,2,36,3,18.0,0,1,50.0,28,0,0
T Gonzalez,ATL,2,35,5,17.5,0,2,100.0,20,0,0
R Parrish,BUF,2,35,3,17.5,1,1,50.0,31,0,0
J Knox,CHI,3,52,7,17.3,0,3,100.0,32,0,0
D Hester,CHI,1,17,1,17.0,0,1,100.0,17,0,0
G Jennings,GB,5,82,10,16.4,1,4,80.0,32,0,0
J Shipley,CIN,5,82,7,16.4,0,5,100.0,51,0,0
M Floyd,SD,3,48,12,16.0,0,3,100.0,22,0,0
M Williams,SEA,4,64,6,16.0,0,3,75.0,35,0,0
B Celek,PHI,2,32,4,16.0,0,1,50.0,27,0,0
S Stroughter,TB,2,32,5,16.0,0,2,100.0,18,0,0
A Boldin,BAL,7,110,10,15.7,0,4,57.1,38,0,0
M Lewis,JAX,2,31,2,15.5,2,2,100.0,21,0,0
A Fasano,MIA,3,46,3,15.3,0,2,66.7,21,0,0
A Gates,SD,5,76,6,15.2,1,4,80.0,34,0,0
S Smith,CAR,5,75,9,15.0,1,4,80.0,27,0,0
M Thomas,JAX,6,89,7,14.8,0,3,50.0,26,0,0
A Collie,IND,11,163,12,14.8,1,5,45.5,73,1,1
C Taylor,CHI,3,44,4,14.7,0,2,66.7,18,0,0
M Austin,DAL,10,146,11,14.6,1,8,80.0,30,0,0
K Walter,HOU,2,29,2,14.5,1,1,50.0,22,0,0
J Jones,HOU,2,29,6,14.5,0,2,100.0,23,0,0
M Komar,ARZ,2,29,3,14.5,0,1,50.0,20,1,1
L Fitzgerald,ARZ,3,43,15,14.3,1,2,66.7,21,0,0
P Garcon,IND,3,43,10,14.3,0,2,66.7,26,0,0
D Aromashodu,CHI,5,71,10,14.2,0,4,80.0,21,0,0
R Wayne,IND,7,99,10,14.1,1,6,85.7,22,0,0
