Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
F Gore,SF,19,71,3.7,2,6,31.6,19,1,1
D McFadden,OAK,24,73,3.0,2,5,20.8,19,0,0
C Kaepernick,SF,7,54,7.7,2,4,57.1,17,0,0
R Bush,DET,21,92,4.4,1,5,23.8,17,1,1
D Williams,CAR,8,43,5.4,1,3,37.5,12,0,0
F Jackson,BUF,15,45,3.0,1,4,26.7,15,0,0
A Peterson,MIN,13,60,4.6,1,3,23.1,17,0,0
M Stafford,DET,3,12,4.0,1,3,100.0,8,0,0
J Starks,GB,7,57,8.1,1,3,42.9,25,0,0
J Bell,DET,4,32,8.0,1,3,75.0,16,0,0
T Gerhart,JAX,1,13,13.0,1,1,100.0,13,0,0
T Pryor,OAK,9,106,11.8,1,1,11.1,93,0,0
C Ponder,MIN,5,38,7.6,1,1,20.0,19,0,0
S Ridley,NE,14,79,5.6,1,4,28.6,23,0,0
C Newton,CAR,11,50,4.5,1,4,36.4,19,0,0
B Bolden,NE,8,22,2.8,1,2,25.0,8,0,0
A Morris,WSH,17,93,5.5,1,5,29.4,27,1,0
M Ball,DEN,12,38,3.2,1,2,16.7,8,0,0
E Lacy,GB,29,94,3.2,1,5,17.2,17,0,0
A Ellington,ARZ,15,154,10.3,1,4,26.7,80,1,0
L Bell,PIT,13,24,1.8,1,3,23.1,8,0,0
P Manning,DEN,4,-3,-0.8,0,0,0.0,0,0,0
T Brady,NE,4,5,1.3,0,1,25.0,8,0,0
M Vick,NYJ,1,1,1.0,0,0,0.0,1,0,0
D Brees,NO,4,-1,-0.3,0,0,0.0,2,0,0
W McGahee,CLE,9,28,3.1,0,3,33.3,14,0,0
C Palmer,ARZ,1,9,9.0,0,0,0.0,9,0,0
T Romo,DAL,3,6,2.0,0,1,33.3,5,0,0
S Jackson,ATL,11,6,0.5,0,0,0.0,4,0,0
E Manning,NYG,1,-1,-1.0,0,0,0.0,-1,0,0
B Roethlisberger,PIT,1,1,1.0,0,0,0.0,1,0,0
A Rodgers,GB,6,31,5.2,0,3,50.0,14,0,0
A Smith,KC,6,40,6.7,0,2,33.3,23,0,0
S Weatherford,NYG,1,0,0.0,0,0,0.0,0,0,0
K Clemens,SD,2,11,5.5,0,1,50.0,6,0,0
M Robinson,SEA,1,0,0.0,0,0,0.0,0,0,0
J Campbell,CIN,3,17,5.7,0,0,0.0,8,0,0
M Jones-Drew,OAK,19,75,3.9,0,7,36.8,30,0,0
M Lynch,SEA,8,23,2.9,0,0,0.0,9,0,0
B Leonard,TB,1,7,7.0,0,0,0.0,7,0,0
P Thomas,NO,14,65,4.6,0,4,28.6,13,0,0
M Ryan,ATL,1,13,13.0,0,1,100.0,13,0,0
T Choice,IND,7,35,5.0,0,1,14.3,20,0,0
F Jones,PIT,1,-1,-1.0,0,0,0.0,-1,0,0
P Hillis,NYG,20,70,3.5,0,2,10.0,9,0,0
J Charles,KC,18,74,4.1,0,4,22.2,17,0,0
D Avery,KC,1,4,4.0,0,0,0.0,4,0,0
C Henne,JAX,1,1,1.0,0,0,0.0,1,0,0
B Green-Ellis,CIN,11,33,3.0,0,1,9.1,6,0,0
M Tolbert,CAR,7,35,5.0,0,2,28.6,22,0,0
