Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
C Ponder,MIN,5,46,9.2,2,5,100.0,14,0,0
D Brees,NO,6,21,3.5,1,2,33.3,13,0,0
R Brown,SD,5,6,1.2,1,1,20.0,2,0,0
T Jackson,SEA,3,2,0.7,1,1,33.3,5,0,0
M Jones-Drew,OAK,19,43,2.3,1,4,21.1,8,0,0
A Peterson,MIN,25,88,3.5,1,4,16.0,9,1,1
A Bradshaw,IND,19,95,5.0,1,5,26.3,27,0,0
M Forte,CHI,16,87,5.4,1,4,25.0,55,0,0
J Charles,KC,20,92,4.6,1,6,30.0,18,0,0
M Bush,CHI,8,9,1.1,1,1,12.5,3,0,0
D McFadden,OAK,12,9,0.8,1,1,8.3,5,0,0
B Green-Ellis,CIN,10,29,2.9,1,2,20.0,10,1,1
M Tolbert,CAR,9,18,2.0,1,3,33.3,6,0,0
L McCoy,PHI,20,158,7.9,1,5,25.0,41,0,0
J Bell,DET,20,63,3.2,1,3,15.0,13,0,0
A Smith,ARZ,3,27,9.0,1,3,100.0,21,0,0
D Murray,DAL,26,175,6.7,1,7,26.9,41,1,0
J Locker,TEN,5,68,13.6,1,4,80.0,39,1,0
D Thomas,MIA,5,21,4.2,1,1,20.0,6,0,0
K Hunter,SF,4,14,3.5,1,1,25.0,13,0,0
C Newton,CAR,7,45,6.4,1,5,71.4,15,0,0
T Richardson,IND,13,35,2.7,1,1,7.7,7,0,0
R Hillman,DEN,9,66,7.3,1,5,55.6,19,0,0
A Luck,IND,4,24,6.0,1,2,50.0,15,0,0
A Morris,WSH,15,73,4.9,1,1,6.7,30,0,0
J Todman,JAX,2,5,2.5,1,1,50.0,3,0,0
B Pierce,BAL,24,65,2.7,1,3,12.5,25,0,0
G Bernard,CIN,10,50,5.0,1,3,30.0,17,0,0
J Franklin,GB,13,103,7.9,1,6,46.2,51,1,1
G Smith,NYJ,4,14,3.5,1,1,25.0,8,0,0
P Manning,DEN,3,-2,-0.7,0,0,0.0,0,1,0
T Brady,NE,5,5,1.0,0,1,20.0,5,0,0
M Vick,NYJ,4,99,24.8,0,3,75.0,61,0,0
R Wayne,IND,1,5,5.0,0,0,0.0,5,0,0
W McGahee,CLE,8,9,1.1,0,1,12.5,9,0,0
V Leach,BAL,3,8,2.7,0,1,33.3,5,0,0
E Manning,NYG,1,14,14.0,0,1,100.0,14,0,0
B Roethlisberger,PIT,2,7,3.5,0,1,50.0,5,1,0
A Rodgers,GB,3,24,8.0,0,1,33.3,18,0,0
B Jacobs,NYG,3,2,0.7,0,0,0.0,2,0,0
D Sproles,PHI,3,17,5.7,0,2,66.7,15,0,0
F Gore,SF,11,82,7.5,0,4,36.4,22,0,0
A Smith,KC,11,32,2.9,0,0,0.0,9,0,0
D Anderson,CAR,2,-1,-0.5,0,0,0.0,0,0,0
J Cutler,CHI,4,11,2.8,0,1,25.0,13,0,0
D Williams,CAR,23,120,5.2,0,6,26.1,27,0,0
J Snelling,ATL,11,53,4.8,0,2,18.2,17,0,0
F Jackson,BUF,7,72,10.3,0,2,28.6,59,0,0
M Lynch,SEA,17,69,4.1,0,3,17.6,27,0,0
J Battle,TEN,4,12,3.0,0,0,0.0,6,0,0
