Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
F Jackson,BUF,17,53,3.1,2,5,29.4,11,0,0
R Rice,BAL,27,74,2.7,2,4,14.8,7,1,1
J Rodgers,ATL,14,43,3.1,2,2,14.3,19,0,0
P Manning,DEN,4,-8,-2.0,1,1,25.0,1,0,0
W McGahee,CLE,26,72,2.8,1,4,15.4,16,0,0
R Fitzpatrick,HOU,6,50,8.3,1,2,33.3,26,0,0
F Gore,SF,17,81,4.8,1,4,23.5,26,0,0
J Charles,KC,22,108,4.9,1,6,27.3,19,1,1
B Green-Ellis,CIN,19,67,3.5,1,5,26.3,13,0,0
R Mendenhall,ARZ,17,43,2.5,1,3,17.6,7,0,0
K Moreno,MIA,19,93,4.9,1,7,36.8,16,1,0
D Brown,SD,6,37,6.2,1,2,33.3,16,0,0
L McCoy,PHI,20,46,2.3,1,4,20.0,17,0,0
C Spiller,BUF,8,66,8.3,1,1,12.5,54,0,0
A Dixon,BUF,5,12,2.4,1,2,40.0,6,0,0
D Murray,DAL,12,43,3.6,1,3,25.0,13,0,0
D Wilson,NYG,6,16,2.7,1,3,50.0,5,0,0
M Vick,NYJ,7,79,11.3,0,5,71.4,34,0,0
D Brees,NO,1,-2,-2.0,0,0,0.0,-2,0,0
C Palmer,ARZ,3,-3,-1.0,0,0,0.0,-1,0,0
T Romo,DAL,1,7,7.0,0,0,0.0,7,0,0
A Rodgers,GB,5,8,1.6,0,1,20.0,6,1,0
R Brown,SD,7,11,1.6,0,1,14.3,3,0,0
B Jacobs,NYG,11,37,3.4,0,0,0.0,7,1,1
D Sproles,PHI,3,10,3.3,0,1,33.3,5,0,0
A Smith,KC,3,10,3.3,0,1,33.3,6,0,0
J Cutler,CHI,4,27,6.8,0,2,50.0,12,1,0
R Bush,DET,13,44,3.4,0,3,23.1,20,0,0
D Williams,CAR,12,39,3.3,0,1,8.3,9,0,0
M Jones-Drew,OAK,17,70,4.1,0,4,23.5,20,0,0
J Snelling,ATL,7,13,1.9,0,1,14.3,4,0,0
M Lynch,SEA,17,102,6.0,0,5,29.4,24,0,0
J Battle,TEN,6,38,6.3,0,1,16.7,37,0,0
P Thomas,NO,19,36,1.9,0,1,5.3,9,0,0
M Forte,CHI,12,55,4.6,0,2,16.7,14,0,0
T Choice,IND,5,22,4.4,0,1,20.0,6,0,0
C Johnson,TEN,10,17,1.7,0,1,10.0,6,0,0
J Forsett,BAL,1,2,2.0,0,0,0.0,2,0,0
M Bush,CHI,2,12,6.0,0,0,0.0,7,0,0
C Henne,JAX,1,2,2.0,0,0,0.0,2,0,0
M Tolbert,CAR,4,31,7.8,0,2,50.0,20,0,0
J Flacco,BAL,2,13,6.5,0,1,50.0,14,0,0
M Stafford,DET,1,-1,-1.0,0,0,0.0,-1,0,0
D Heyward-Bey,PIT,1,7,7.0,0,0,0.0,7,0,0
M Reece,OAK,7,32,4.6,0,1,14.3,14,0,0
J Edelman,NE,1,7,7.0,0,1,100.0,7,0,0
B Hoyer,CLE,1,11,11.0,0,1,100.0,11,0,0
D Woodhead,SD,9,17,1.9,0,1,11.1,5,1,1
M Goodson,NYJ,3,32,10.7,0,1,33.3,26,0,0
R Jennings,NYG,10,41,4.1,0,2,20.0,9,0,0
