Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
A Peterson,MIN,18,93,5.2,2,2,11.1,78,0,0
J Bell,DET,6,25,4.2,2,3,50.0,10,0,0
M Vick,NYJ,9,54,6.0,1,3,33.3,36,1,1
F Gore,SF,21,44,2.1,1,3,14.3,8,0,0
J Battle,TEN,8,21,2.6,1,4,50.0,8,0,0
M Forte,CHI,19,50,2.6,1,3,15.8,9,0,0
J Charles,KC,16,77,4.8,1,6,37.5,18,0,0
D McFadden,OAK,17,48,2.8,1,3,17.6,9,0,0
B Green-Ellis,CIN,14,25,1.8,1,3,21.4,10,0,0
R Rice,BAL,12,36,3.0,1,2,16.7,12,0,0
L McCoy,PHI,31,184,5.9,1,10,32.3,34,0,0
D Thomas,MIA,8,14,1.8,1,1,12.5,4,0,0
A Luck,IND,6,38,6.3,1,2,33.3,19,0,0
D Martin,TB,24,65,2.7,1,2,8.3,17,1,0
A Morris,WSH,12,45,3.8,1,3,25.0,15,1,1
E Lacy,GB,14,41,2.9,1,3,21.4,7,1,1
P Manning,DEN,2,-2,-1.0,0,0,0.0,-1,0,0
T Brady,NE,5,-4,-0.8,0,0,0.0,0,1,1
D Brees,NO,3,2,0.7,0,0,0.0,4,0,0
T Romo,DAL,2,-1,-0.5,0,0,0.0,0,1,0
S Jackson,ATL,11,77,7.0,0,2,18.2,50,0,0
E Manning,NYG,2,8,4.0,0,0,0.0,9,0,0
B Roethlisberger,PIT,1,0,0.0,0,0,0.0,0,1,1
P Rivers,SD,1,18,18.0,0,1,100.0,18,0,0
A Rodgers,GB,2,13,6.5,0,1,50.0,7,0,0
R Brown,SD,5,27,5.4,0,0,0.0,12,0,0
D Sproles,PHI,8,22,2.8,0,0,0.0,5,0,0
A Smith,KC,4,25,6.3,0,1,25.0,13,1,0
J Cutler,CHI,3,16,5.3,0,0,0.0,18,0,0
R Bush,DET,21,90,4.3,0,5,23.8,12,0,0
J Kuhn,GB,1,3,3.0,0,1,100.0,3,0,0
D Williams,CAR,17,86,5.1,0,3,17.6,16,1,1
M Jones-Drew,OAK,15,45,3.0,0,3,20.0,10,0,0
F Jackson,BUF,13,67,5.2,0,5,38.5,13,0,0
M Lynch,SEA,17,43,2.5,0,3,17.6,14,0,0
P Thomas,NO,9,43,4.8,0,1,11.1,11,0,0
A Bradshaw,IND,7,26,3.7,0,1,14.3,13,0,0
L McClain,SD,1,2,2.0,0,0,0.0,2,0,0
M Ryan,ATL,1,12,12.0,0,1,100.0,12,0,0
C Johnson,TEN,25,70,2.8,0,4,16.0,11,0,0
J Forsett,BAL,1,7,7.0,0,0,0.0,7,0,0
M Bush,CHI,6,15,2.5,0,1,16.7,7,0,0
R Mendenhall,ARZ,16,60,3.8,0,2,12.5,11,0,0
M Tolbert,CAR,4,10,2.5,0,1,25.0,7,0,0
K Moreno,MIA,9,28,3.1,0,1,11.1,7,0,0
M Stafford,DET,6,-3,-0.5,0,2,33.3,5,1,0
S Greene,TEN,4,18,4.5,0,1,25.0,5,0,0
L Stephens-Howling,PIT,6,19,3.2,0,0,0.0,5,0,0
J Freeman,MIN,1,0,0.0,0,0,0.0,0,1,0
R Jennings,NYG,2,2,1.0,0,1,50.0,2,0,0
