Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
M Forte,CHI,16,91,5.7,3,5,31.3,50,0,0
R Helu Jr.,WSH,11,41,3.7,3,4,36.4,14,0,0
F Gore,SF,24,70,2.9,2,5,20.8,7,0,0
A Smith,KC,6,28,4.7,1,2,33.3,23,0,0
F Jackson,BUF,11,36,3.3,1,3,27.3,10,0,0
M Lynch,SEA,21,91,4.3,1,5,23.8,17,0,0
P Hillis,NYG,18,36,2.0,1,1,5.6,8,1,0
J Charles,KC,21,86,4.1,1,6,28.6,18,1,1
R Mendenhall,ARZ,13,22,1.7,1,2,15.4,6,0,0
M Tolbert,CAR,13,36,2.8,1,4,30.8,8,0,0
K Moreno,MIA,15,40,2.7,1,1,6.7,9,0,0
D Woodhead,SD,9,29,3.2,1,3,33.3,7,0,0
R Mathews,SD,21,110,5.2,1,5,23.8,14,0,0
P Tanner,DAL,2,1,0.5,1,1,50.0,1,0,0
S Ridley,NE,11,50,4.5,1,3,27.3,17,0,0
C Kaepernick,SF,11,68,6.2,1,4,36.4,20,0,0
A Luck,IND,4,29,7.3,1,2,50.0,11,0,0
B Bolden,NE,8,36,4.5,1,3,37.5,9,0,0
E Lacy,GB,22,82,3.7,1,5,22.7,13,0,0
G Smith,NYJ,6,32,5.3,1,3,50.0,14,1,0
P Manning,DEN,1,-1,-1.0,0,0,0.0,-1,0,0
J McCown,TB,4,33,8.3,0,2,50.0,13,0,0
W McGahee,CLE,11,39,3.5,0,2,18.2,8,0,0
C Palmer,ARZ,2,5,2.5,0,0,0.0,3,0,0
T Romo,DAL,4,2,0.5,0,0,0.0,4,1,0
V Leach,BAL,3,10,3.3,0,0,0.0,6,0,0
E Manning,NYG,3,5,1.7,0,1,33.3,6,1,0
B Roethlisberger,PIT,3,25,8.3,0,1,33.3,19,0,0
P Rivers,SD,2,4,2.0,0,0,0.0,4,0,0
G Jones,HOU,2,2,1.0,0,0,0.0,4,0,0
J Cribbs,NYJ,3,14,4.7,0,1,33.3,7,0,0
A Rodgers,GB,4,12,3.0,0,1,25.0,5,0,0
R Brown,SD,3,14,4.7,0,1,33.3,9,0,0
R Bush,DET,20,50,2.5,0,2,10.0,7,0,0
J Kuhn,GB,1,4,4.0,0,0,0.0,4,0,0
C Whitehurst,TEN,3,-3,-1.0,0,0,0.0,-1,0,0
D Williams,CAR,15,40,2.7,0,3,20.0,12,0,0
M Jones-Drew,OAK,9,37,4.1,0,2,22.2,11,0,0
J Snelling,ATL,7,14,2.0,0,1,14.3,7,0,0
B Leonard,TB,2,6,3.0,0,1,50.0,3,0,0
A Peterson,MIN,13,28,2.2,0,1,7.7,8,0,0
L McClain,SD,2,4,2.0,0,1,50.0,3,0,0
M Ryan,ATL,3,-12,-4.0,0,0,0.0,-4,0,0
T Choice,IND,6,16,2.7,0,1,16.7,5,0,0
F Jones,PIT,5,16,3.2,0,2,40.0,6,0,0
C Johnson,TEN,9,39,4.3,0,1,11.1,9,0,0
J Forsett,BAL,2,19,9.5,0,1,50.0,10,0,0
C Henne,JAX,4,5,1.3,0,1,25.0,4,0,0
B Green-Ellis,CIN,10,24,2.4,0,1,10.0,11,0,0
J Flacco,BAL,2,14,7.0,0,2,100.0,12,0,0
