Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
L McCoy,PHI,18,133,7.4,2,10,55.6,19,0,0
L Blount,PIT,16,76,4.8,2,5,31.3,14,0,0
E Lacy,GB,15,84,5.6,2,5,33.3,14,0,0
S Jackson,ATL,16,53,3.3,1,2,12.5,9,0,0
B Roethlisberger,PIT,1,13,13.0,1,1,100.0,13,0,0
F Gore,SF,21,97,4.6,1,7,33.3,17,0,0
J Kuhn,GB,3,12,4.0,1,3,100.0,9,0,0
D Williams,CAR,12,67,5.6,1,2,16.7,43,0,0
F Jackson,BUF,19,111,5.8,1,6,31.6,14,0,0
J Charles,KC,13,106,8.2,1,5,38.5,31,0,0
D McFadden,OAK,4,8,2.0,1,1,25.0,5,0,0
B Green-Ellis,CIN,12,24,2.0,1,2,16.7,8,0,0
J Flacco,BAL,2,0,0.0,1,1,50.0,1,0,0
D Brown,SD,10,79,7.9,1,1,10.0,51,0,0
S Greene,TEN,19,91,4.8,1,6,31.6,29,0,0
J Bell,DET,20,91,4.6,1,6,30.0,16,0,0
R Mathews,SD,25,99,4.0,1,4,16.0,34,0,0
D Murray,DAL,22,96,4.4,1,4,18.2,43,0,0
C Kaepernick,SF,6,51,8.5,1,3,50.0,22,0,0
B Brown,PHI,9,115,12.8,1,4,44.4,65,0,0
C Polk,PHI,2,12,6.0,1,1,50.0,10,0,0
A Morris,WSH,24,88,3.7,1,5,20.8,18,0,0
T Riddick,DET,2,8,4.0,1,1,50.0,6,0,0
S Bailey,STL,1,27,27.0,1,1,100.0,27,0,0
Z Stacy,STL,33,104,3.2,1,6,18.2,19,1,1
C Patterson,MIN,3,54,18.0,1,2,66.7,35,0,0
G Smith,NYJ,10,48,4.8,1,2,20.0,17,0,0
L Bell,PIT,26,124,4.8,1,7,26.9,25,1,1
E Baker,CLE,17,64,3.8,1,4,23.5,9,0,0
B Rainey,TB,20,37,1.9,1,2,10.0,11,1,1
M Vick,NYJ,2,-2,-1.0,0,0,0.0,-1,0,0
D Brees,NO,1,9,9.0,0,0,0.0,9,0,0
J McCown,TB,1,-3,-3.0,0,0,0.0,-3,1,0
M Schaub,OAK,1,5,5.0,0,0,0.0,5,0,0
C Palmer,ARZ,5,-3,-0.6,0,0,0.0,1,0,0
T Romo,DAL,1,-1,-1.0,0,0,0.0,-1,0,0
E Manning,NYG,2,-2,-1.0,0,0,0.0,0,1,0
P Rivers,SD,4,-3,-0.8,0,0,0.0,0,1,1
R Fitzpatrick,HOU,3,1,0.3,0,1,33.3,3,0,0
M Cassel,MIN,3,16,5.3,0,1,33.3,13,0,0
D Sproles,PHI,1,2,2.0,0,0,0.0,2,0,0
A Smith,KC,6,47,7.8,0,3,50.0,22,1,0
J Cutler,CHI,2,15,7.5,0,1,50.0,11,0,0
R Bush,DET,12,34,2.8,0,1,8.3,6,1,1
K Clemens,SD,4,0,0.0,0,1,25.0,5,1,1
B Smith,PHI,1,2,2.0,0,0,0.0,2,0,0
J Campbell,CIN,2,21,10.5,0,2,100.0,14,0,0
M Jones-Drew,OAK,13,45,3.5,0,3,23.1,11,0,0
J Snelling,ATL,1,-2,-2.0,0,0,0.0,-2,0,0
M Lynch,SEA,18,71,3.9,0,2,11.1,19,0,0
