Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
K Moreno,MIA,15,42,2.8,3,4,26.7,11,0,0
B Jacobs,NYG,22,106,4.8,2,7,31.8,16,0,0
M Lynch,SEA,21,77,3.7,2,6,28.6,13,1,0
J Charles,KC,22,78,3.5,2,4,18.2,11,1,0
S Ridley,NE,20,96,4.8,2,6,30.0,19,0,0
M Jones-Drew,OAK,20,71,3.6,1,3,15.0,28,0,0
M Tolbert,CAR,8,27,3.4,1,4,50.0,9,0,0
D Murray,DAL,7,29,4.1,1,4,57.1,11,0,0
K Hunter,SF,3,11,3.7,1,2,66.7,6,0,0
C Newton,CAR,9,30,3.3,1,3,33.3,9,0,0
B Tate,CLE,10,12,1.2,1,2,20.0,4,0,0
T Lewis,BUF,7,17,2.4,1,2,28.6,5,1,1
N Foles,PHI,3,2,0.7,1,1,33.3,4,0,0
A Morris,WSH,16,81,5.1,1,3,18.8,45,0,0
J Randle,DAL,11,17,1.5,1,2,18.2,14,0,0
K Robinson,NO,7,53,7.6,1,3,42.9,20,0,0
A Ellington,ARZ,7,56,8.0,1,2,28.6,15,0,0
P Manning,DEN,5,-7,-1.4,0,0,0.0,0,2,2
T Brady,NE,2,16,8.0,0,1,50.0,11,0,0
S Moss,WSH,1,-3,-3.0,0,0,0.0,-3,0,0
D Brees,NO,2,11,5.5,0,1,50.0,16,0,0
W McGahee,CLE,10,37,3.7,0,3,30.0,12,0,0
L Fitzgerald,ARZ,1,4,4.0,0,0,0.0,4,0,0
B Roethlisberger,PIT,2,11,5.5,0,1,50.0,10,0,0
P Rivers,SD,1,-1,-1.0,0,0,0.0,-1,0,0
A Rodgers,GB,5,21,4.2,0,1,20.0,12,0,0
R Fitzpatrick,HOU,6,33,5.5,0,2,33.3,11,1,0
R Brown,SD,2,3,1.5,0,0,0.0,4,0,0
M Cassel,MIN,2,7,3.5,0,0,0.0,6,0,0
D Sproles,PHI,5,15,3.0,0,0,0.0,6,0,0
F Gore,SF,25,101,4.0,0,6,24.0,32,0,0
A Smith,KC,4,29,7.3,0,3,75.0,13,0,0
D Anderson,CAR,2,-1,-0.5,0,0,0.0,0,0,0
J Cutler,CHI,3,20,6.7,0,1,33.3,9,0,0
R Bush,DET,17,78,4.6,0,2,11.8,39,0,0
J Kuhn,GB,1,2,2.0,0,0,0.0,2,0,0
D Williams,CAR,17,64,3.8,0,2,11.8,22,0,0
F Jackson,BUF,10,35,3.5,0,3,30.0,11,0,0
T Ginn Jr.,ARZ,1,-3,-3.0,0,0,0.0,-3,0,0
A Peterson,MIN,10,62,6.2,0,2,20.0,31,1,0
P Thomas,NO,11,51,4.6,0,2,18.2,13,0,0
L McClain,SD,2,3,1.5,0,2,100.0,2,0,0
M Forte,CHI,19,67,3.5,0,4,21.1,13,0,0
A Caldwell,DEN,1,7,7.0,0,0,0.0,7,0,0
T Choice,IND,4,24,6.0,0,2,50.0,13,0,0
F Jones,PIT,5,18,3.6,0,1,20.0,11,0,0
B Kern,TEN,1,0,0.0,0,0,0.0,0,1,0
E Royal,SD,1,4,4.0,0,0,0.0,4,0,0
C Johnson,TEN,12,33,2.8,0,1,8.3,8,0,0
J Forsett,BAL,1,0,0.0,0,0,0.0,0,0,0
