Player,Team,Comp,Att,Pct,Yds,YPA,TD,Int,1st,Pct,Lng,Sck,SckY,Fum,FumL,QBR
J Flacco,BAL,20,34,58.8,342,10.1,2,0,11,32.4,63,5,29,2,1,112.6
A Dalton,CIN,26,40,65.0,337,8.4,3,1,14,35.0,54,3,19,0,0,105.9
A Rodgers,GB,17,32,53.1,315,9.8,1,1,9,28.1,64,3,17,2,0,84.8
C Henne,JAX,27,42,64.3,303,7.2,0,2,15,35.7,23,2,12,0,0,65.9
C Palmer,ARZ,25,41,61.0,298,7.3,2,2,10,24.4,75,1,4,0,0,79.1
N Foles,PHI,22,31,71.0,296,9.5,3,0,12,38.7,47,1,9,0,0,133.3
P Manning,DEN,28,42,66.7,295,7.0,2,1,14,33.3,42,0,0,0,0,92.9
B Weeden,DAL,26,43,60.5,292,6.8,2,2,14,32.6,36,2,23,1,0,76.9
M Glennon,TB,26,43,60.5,273,6.3,2,1,15,34.9,36,2,16,0,0,84.7
T Brady,NE,25,43,58.1,269,6.3,1,1,15,34.9,23,5,34,0,0,74.7
B Roethlisberger,PIT,23,30,76.7,264,8.8,1,0,10,33.3,55,3,17,0,0,113.8
J Cutler,CHI,24,36,66.7,262,7.3,2,0,17,47.2,30,0,0,0,0,106.5
R Wilson,SEA,23,31,74.2,257,8.3,0,0,10,32.3,55,2,4,0,0,98.5
C Kaepernick,SF,16,29,55.2,252,8.7,2,1,9,31.0,61,2,14,1,1,92.9
M Stafford,DET,25,43,58.1,248,5.8,4,1,15,34.9,24,1,0,0,0,95.9
R Griffin III,WSH,19,39,48.7,246,6.3,0,1,10,25.6,29,3,29,2,1,58.3
C Newton,CAR,20,26,76.9,242,9.3,3,0,11,42.3,79,1,6,0,0,143.4
M Cassel,MIN,32,44,72.7,241,5.5,1,2,14,31.8,23,3,26,0,0,74.1
E Manning,NYG,14,26,53.8,239,9.2,1,3,12,46.2,37,1,7,0,0,58.5
P Rivers,SD,22,33,66.7,237,7.2,1,0,13,39.4,25,2,10,0,0,97.7
D Brees,NO,17,36,47.2,236,6.6,2,1,13,36.1,34,1,6,0,0,75.7
T Pryor,OAK,18,34,52.9,216,6.4,1,3,13,38.2,39,9,63,0,0,45.7
T Lewis,BUF,19,32,59.4,216,6.8,2,0,9,28.1,47,5,24,0,0,100.5
A Luck,IND,18,30,60.0,202,6.7,0,1,9,30.0,35,1,9,0,0,66.3
G Smith,NYJ,19,34,55.9,201,5.9,0,2,14,41.2,29,3,17,0,0,48.8
M Schaub,OAK,15,21,71.4,186,8.9,0,0,7,33.3,41,3,10,0,0,98.5
R Fitzpatrick,HOU,17,29,58.6,171,5.9,0,2,8,27.6,32,3,14,1,0,46.8
T Romo,DAL,18,30,60.0,170,5.7,1,1,8,26.7,17,1,5,0,0,72.9
A Smith,KC,14,31,45.2,128,4.1,0,0,7,22.6,24,3,23,0,0,56.9
S Bradford,STL,12,16,75.0,117,7.3,3,0,9,56.3,34,0,0,0,0,134.6
T Yates,HOU,12,17,70.6,98,5.8,0,2,6,35.3,20,2,7,1,0,45.3
A Brown,PIT,1,1,100.0,15,15.0,0,0,1,100.0,15,1,7,0,0,118.8
