Player,Team,Comp,Att,Pct,Yds,YPA,TD,Int,1st,Pct,Lng,Sck,SckY,Fum,FumL,QBR
T Brady,NE,32,52,61.5,418,8.0,2,1,21,40.4,50,4,21,1,1,91.7
P Manning,DEN,39,59,66.1,397,6.7,4,0,25,42.4,38,0,0,0,0,107.8
J Campbell,CIN,29,44,65.9,391,8.9,3,0,17,38.6,80,1,5,0,0,116.8
B Roethlisberger,PIT,23,39,59.0,349,8.9,3,0,12,30.8,67,3,21,1,1,114.2
J McCown,TB,27,36,75.0,348,9.7,4,0,19,52.8,34,1,7,0,0,141.9
A Luck,IND,29,46,63.0,326,7.1,4,0,17,37.0,69,0,0,0,0,113.1
D Brees,NO,30,42,71.4,313,7.5,4,0,19,45.2,22,2,9,1,0,124.4
A Dalton,CIN,24,35,68.6,275,7.9,3,0,14,40.0,29,0,0,0,0,120.5
C Palmer,ARZ,27,32,84.4,269,8.4,1,0,14,43.8,32,1,7,0,0,112.1
M Cassel,MIN,17,38,44.7,265,7.0,2,0,11,28.9,79,0,0,0,0,86.0
E Manning,NYG,20,32,62.5,259,8.1,1,2,10,31.3,51,2,18,0,0,72.3
M Flynn,GB,24,32,75.0,258,8.1,1,1,12,37.5,46,5,36,1,1,95.6
P Rivers,SD,21,28,75.0,249,8.9,3,0,15,53.6,43,2,5,1,1,137.4
J Flacco,BAL,28,50,56.0,245,4.9,3,3,17,34.0,35,2,17,0,0,64.2
M McGloin,OAK,18,31,58.1,245,7.9,2,1,11,35.5,48,3,32,1,0,91.5
G Smith,NYJ,16,25,64.0,219,8.8,1,1,9,36.0,32,1,10,0,0,88.6
M Ryan,ATL,20,35,57.1,206,5.9,2,1,12,34.3,36,1,4,1,1,81.4
R Tannehill,MIA,20,33,60.6,200,6.1,3,1,12,36.4,40,2,14,0,0,95.5
R Wilson,SEA,15,25,60.0,199,8.0,1,1,11,44.0,39,2,21,1,0,81.9
M Schaub,OAK,17,29,58.6,198,6.8,1,1,10,34.5,46,2,28,0,0,76.5
E Manuel,BUF,18,33,54.5,184,5.6,0,4,10,30.3,33,7,37,0,0,31.2
K Clemens,SD,16,27,59.3,181,6.7,0,2,7,25.9,31,4,24,1,0,48.5
N Foles,PHI,11,22,50.0,179,8.1,1,1,8,36.4,44,0,0,0,0,73.9
C Kaepernick,SF,15,29,51.7,175,6.0,1,1,9,31.0,27,2,20,0,0,67.5
R Fitzpatrick,HOU,13,24,54.2,172,7.2,1,1,6,25.0,57,2,14,0,0,73.6
R Griffin III,WSH,12,26,46.2,164,6.3,1,1,8,30.8,30,5,16,0,0,63.6
C Newton,CAR,22,34,64.7,160,4.7,1,0,9,26.5,17,5,49,0,0,85.4
C Keenum,HOU,16,29,55.2,159,5.5,1,1,9,31.0,27,1,6,1,0,68.0
M Stafford,DET,10,25,40.0,151,6.0,0,0,7,28.0,33,0,0,0,0,60.6
A Smith,KC,14,20,70.0,137,6.9,2,0,9,45.0,22,0,0,0,0,122.3
C Henne,JAX,12,27,44.4,117,4.3,2,0,6,22.2,41,1,6,0,0,81.9
T Romo,DAL,11,20,55.0,104,5.2,3,0,8,40.0,25,2,14,0,0,109.2
M Glennon,TB,9,25,36.0,90,3.6,2,2,5,20.0,38,1,9,0,0,40.4
K Cousins,WSH,7,16,43.8,59,3.7,0,0,3,18.8,15,1,15,1,0,53.9
K Orton,DAL,3,5,60.0,40,8.0,0,0,3,60.0,18,0,0,0,0,85.4
A Sanders,JAX,1,1,100.0,21,21.0,1,0,1,100.0,21,0,0,0,0,158.3
T Pryor,OAK,2,5,40.0,20,4.0,0,0,2,40.0,11,0,0,0,0,52.1
C Daniel,KC,1,3,33.3,17,5.7,0,1,1,33.3,17,0,0,0,0,13.9
