Player,Team,Comp,Att,Pct,Yds,YPA,TD,Int,1st,Pct,Lng,Sck,SckY,Fum,FumL,QBR
D Brees,NO,34,41,82.9,392,9.6,4,0,20,48.8,52,1,9,0,0,139.0
A Luck,IND,29,47,61.7,353,7.5,1,3,16,34.0,65,3,33,1,1,65.3
P Manning,DEN,25,36,69.4,330,9.2,4,0,17,47.2,74,2,17,1,1,135.2
R Wilson,SEA,19,26,73.1,287,11.0,2,0,12,46.2,46,1,8,0,0,134.6
R Griffin III,WSH,24,37,64.9,281,7.6,3,0,17,45.9,32,4,39,0,0,114.8
S Tolzien,GB,24,39,61.5,280,7.2,1,2,11,28.2,36,1,8,0,0,70.5
A Dalton,CIN,24,51,47.1,274,5.4,2,3,13,25.5,51,5,30,0,0,52.2
R Fitzpatrick,HOU,22,33,66.7,264,8.0,2,0,12,36.4,40,1,9,2,1,111.2
J Cutler,CHI,21,40,52.5,250,6.3,1,1,12,30.0,44,1,9,0,0,69.8
K Clemens,SD,9,16,56.3,247,15.4,2,0,7,43.8,81,2,15,0,0,140.6
C Palmer,ARZ,20,32,62.5,241,7.5,2,1,12,37.5,26,1,6,1,1,93.4
R Tannehill,MIA,27,42,64.3,229,5.5,2,1,14,33.3,19,2,18,0,0,84.3
N Foles,PHI,12,18,66.7,228,12.7,3,0,7,38.9,55,3,17,1,1,149.3
M Stafford,DET,18,35,51.4,219,6.3,3,1,13,37.1,25,0,0,0,0,87.7
P Rivers,SD,19,29,65.5,218,7.5,1,0,11,37.9,30,4,20,0,0,99.5
B Roethlisberger,PIT,18,30,60.0,204,6.8,1,1,9,30.0,40,4,40,1,0,77.6
C Keenum,HOU,22,43,51.2,201,4.7,3,0,15,34.9,22,3,42,1,1,87.5
C Henne,JAX,14,23,60.9,180,7.8,0,2,8,34.8,27,3,20,0,0,49.2
C Ponder,MIN,17,21,81.0,174,8.3,2,1,12,57.1,28,1,5,0,0,113.1
M Ryan,ATL,23,36,63.9,172,4.8,1,0,9,25.0,31,2,10,1,0,84.5
C Newton,CAR,16,32,50.0,169,5.3,0,1,11,34.4,19,3,28,0,0,52.7
E Manuel,BUF,22,39,56.4,155,4.0,1,1,9,23.1,23,3,23,0,0,63.5
E Manning,NYG,12,22,54.5,140,6.4,1,1,8,36.4,25,3,22,1,0,70.3
J Flacco,BAL,20,36,55.6,140,3.9,2,2,11,30.6,18,5,36,1,1,60.0
M Glennon,TB,11,21,52.4,139,6.6,1,1,9,42.9,30,2,15,0,0,69.3
T Romo,DAL,10,24,41.7,128,5.3,1,0,4,16.7,44,3,24,0,0,72.9
T Pryor,OAK,11,26,42.3,122,4.7,0,1,4,15.4,23,4,16,1,1,40.9
C Kaepernick,SF,11,22,50.0,91,4.1,0,1,3,13.6,14,6,45,0,0,42.0
M Hasselbeck,IND,2,5,40.0,68,13.6,0,1,2,40.0,57,0,0,0,0,47.9
J McCown,TB,6,9,66.7,62,6.9,1,0,3,33.3,14,1,3,0,0,123.4
M Cassel,MIN,4,6,66.7,47,7.8,0,0,2,33.3,25,0,0,0,0,90.3
S Wallace,GB,5,5,100.0,25,5.0,0,0,2,40.0,13,0,0,0,0,87.5
J Locker,TEN,4,9,44.4,24,2.7,0,1,1,11.1,15,0,0,0,0,12.0
