Player,Team,Comp,Att,Pct,Yds,YPA,TD,Int,1st,Pct,Lng,Sck,SckY,Fum,FumL,QBR
C Palmer,ARZ,28,49,57.1,407,8.3,2,1,16,32.7,49,1,8,0,0,89.4
D Brees,NO,24,31,77.4,381,12.3,4,0,14,45.2,76,1,11,0,0,157.4
K Orton,DAL,30,46,65.2,358,7.8,2,2,16,34.8,39,0,0,0,0,85.2
C Henne,JAX,30,51,58.8,331,6.5,1,1,17,33.3,36,3,23,0,0,76.5
A Rodgers,GB,25,39,64.1,318,8.2,2,2,14,35.9,48,3,5,1,0,85.2
C Kaepernick,SF,21,34,61.8,310,9.1,2,0,15,44.1,63,2,18,0,0,111.2
A Luck,IND,26,37,70.3,282,7.6,1,0,15,40.5,41,1,8,0,0,101.4
A Dalton,CIN,21,36,58.3,281,7.8,2,4,12,33.3,53,0,0,0,0,62.2
M Ryan,ATL,28,40,70.0,280,7.0,2,1,13,32.5,39,9,49,0,0,95.8
P Manning,DEN,25,28,89.3,266,9.5,4,0,16,57.1,63,1,9,0,0,145.8
N Foles,PHI,17,26,65.4,263,10.1,2,0,12,46.2,35,5,34,1,1,124.4
T Lewis,BUF,16,29,55.2,247,8.5,1,0,10,34.5,41,4,23,1,0,95.0
J Campbell,CIN,23,41,56.1,240,5.9,1,1,10,24.4,35,3,26,1,1,71.2
M Schaub,OAK,22,34,64.7,229,6.7,0,2,11,32.4,31,1,6,0,0,59.6
P Rivers,SD,22,33,66.7,229,6.9,3,1,9,27.3,38,3,10,0,0,104.2
J Cutler,CHI,15,24,62.5,226,9.4,2,1,8,33.3,67,1,2,0,0,103.8
M Glennon,TB,22,41,53.7,219,5.3,2,1,11,26.8,48,2,4,0,0,75.2
M Stafford,DET,22,33,66.7,217,6.6,1,0,9,27.3,32,5,35,0,0,95.1
T Pryor,OAK,21,38,55.3,207,5.4,2,0,13,34.2,24,2,16,1,0,88.4
R Tannehill,MIA,20,40,50.0,204,5.1,1,3,15,37.5,25,0,0,0,0,42.1
C Daniel,KC,21,30,70.0,200,6.7,1,0,11,36.7,48,2,11,0,0,99.3
J Flacco,BAL,30,50,60.0,192,3.8,1,3,12,24.0,14,2,17,0,0,49.8
G Smith,NYJ,17,27,63.0,190,7.0,0,0,9,33.3,34,0,0,0,0,83.9
M Cassel,MIN,20,33,60.6,189,5.7,1,1,12,36.4,23,3,18,0,0,73.9
B Roethlisberger,PIT,19,31,61.3,179,5.8,1,2,11,35.5,24,1,7,0,0,61.1
R Wilson,SEA,15,23,65.2,172,7.5,1,0,8,34.8,47,4,14,0,0,102.1
K Cousins,WSH,19,49,38.8,169,3.4,0,2,7,14.3,21,3,9,1,1,31.8
R Fitzpatrick,HOU,15,24,62.5,166,6.9,0,1,6,25.0,34,1,6,0,0,65.6
K Clemens,SD,21,30,70.0,157,5.2,1,2,8,26.7,21,2,12,0,0,65.6
E Manning,NYG,10,24,41.7,152,6.3,1,1,7,29.2,35,1,7,0,0,59.7
C Newton,CAR,15,27,55.6,149,5.5,2,1,5,18.5,56,1,0,0,0,80.6
T Brady,NE,14,24,58.3,122,5.1,1,1,7,29.2,22,1,7,0,0,68.4
B Osweiler,DEN,9,13,69.2,85,6.5,0,0,3,23.1,19,2,8,0,0,87.0
B Powell,NYJ,1,1,100.0,30,30.0,0,0,1,100.0,30,0,0,0,0,118.8
M Hasselbeck,IND,3,4,75.0,25,6.3,0,0,2,50.0,10,0,0,0,0,90.6
C Painter,NYG,2,8,25.0,11,1.4,0,1,0,0.0,8,0,0,0,0,0.0
M Koenen,TB,0,1,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.6
B Smith,PHI,0,1,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.6
