Player,Team,Comp,Att,Pct,Yds,YPA,TD,Int,1st,Pct,Lng,Sck,SckY,Fum,FumL,QBR
P Manning,DEN,29,49,59.2,386,7.9,3,1,19,38.8,49,4,21,1,0,96.1
A Dalton,CIN,24,34,70.6,372,10.9,3,0,16,47.1,82,1,8,0,0,135.9
M Stafford,DET,28,51,54.9,357,7.0,3,0,19,37.3,50,0,0,0,0,96.6
J Locker,TEN,25,41,61.0,326,8.0,2,1,12,29.3,66,3,28,0,0,92.1
C Henne,JAX,23,36,63.9,318,8.8,0,1,12,33.3,43,6,43,0,0,80.6
T Romo,DAL,28,47,59.6,317,6.7,1,2,18,38.3,26,2,23,0,0,69.2
R Griffin III,WSH,18,29,62.1,298,10.3,2,1,13,44.8,45,1,8,0,0,105.2
P Rivers,SD,22,26,84.6,285,11.0,1,0,14,53.8,36,1,9,0,0,125.2
M Ryan,ATL,20,26,76.9,273,10.5,3,0,11,42.3,54,0,0,0,0,148.4
C Keenum,HOU,15,25,60.0,271,10.8,1,0,10,40.0,42,5,50,2,1,110.6
A Rodgers,GB,25,36,69.4,260,7.2,3,0,14,38.9,39,1,7,0,0,117.8
C Palmer,ARZ,30,45,66.7,258,5.7,1,2,16,35.6,19,7,54,1,0,70.4
M Glennon,TB,26,44,59.1,256,5.8,2,0,13,29.5,59,3,30,1,1,90.7
S Bradford,STL,21,30,70.0,255,8.5,1,1,9,30.0,73,2,8,0,0,93.1
A Smith,KC,23,34,67.6,240,7.1,0,1,10,29.4,43,2,9,0,0,75.6
R Wilson,SEA,18,29,62.1,235,8.1,3,0,14,48.3,32,3,26,3,2,122.1
G Smith,NYJ,17,33,51.5,233,7.1,1,1,13,39.4,27,4,27,1,0,71.9
T Brady,NE,22,46,47.8,228,5.0,0,1,12,26.1,30,4,23,2,0,53.5
A Luck,IND,21,38,55.3,228,6.0,3,0,11,28.9,28,2,15,0,0,99.5
J Flacco,BAL,24,34,70.6,215,6.3,1,0,10,29.4,41,1,10,0,0,97.1
J McCown,TB,14,20,70.0,204,10.2,1,0,9,45.0,35,1,7,0,0,119.6
C Newton,CAR,15,17,88.2,204,12.0,1,0,9,52.9,25,2,24,0,0,136.3
T Lewis,BUF,21,32,65.6,202,6.3,0,1,8,25.0,30,4,24,1,0,70.1
E Manning,NYG,23,39,59.0,200,5.1,1,0,14,35.9,24,2,7,0,0,81.1
C Kaepernick,SF,13,21,61.9,199,9.5,0,0,8,38.1,29,2,3,0,0,93.2
R Tannehill,MIA,19,37,51.4,194,5.2,3,2,12,32.4,46,2,21,1,1,71.2
J Freeman,MIN,20,53,37.7,190,3.6,0,1,10,18.9,22,1,14,0,0,40.6
B Roethlisberger,PIT,17,23,73.9,160,7.0,1,0,7,30.4,19,3,15,0,0,107.2
B Weeden,DAL,17,42,40.5,149,3.5,1,1,9,21.4,19,3,16,0,0,48.6
M Barkley,PHI,11,20,55.0,129,6.5,0,3,8,40.0,26,0,0,0,0,35.2
N Foles,PHI,11,29,37.9,80,2.8,0,0,5,17.2,16,3,15,0,0,46.2
J Cutler,CHI,3,8,37.5,28,3.5,0,1,1,12.5,13,1,6,0,0,8.3
K Clemens,SD,2,4,50.0,19,4.8,0,0,1,25.0,10,2,12,2,1,63.5
