Player,Team,Comp,Att,Pct,Yds,YPA,TD,Int,1st,Pct,Lng,Sck,SckY,Fum,FumL,QBR
M Ryan,ATL,34,54,63.0,421,7.8,2,1,20,37.0,49,2,22,0,0,91.7
D Brees,NO,30,39,76.9,413,10.6,4,0,18,46.2,48,2,16,0,0,144.5
P Rivers,SD,35,42,83.3,401,9.5,3,1,20,47.6,56,1,7,0,0,120.3
B Roethlisberger,PIT,36,51,70.6,383,7.5,1,1,21,41.2,36,5,26,1,1,90.6
M Schaub,OAK,31,49,63.3,355,7.2,2,2,20,40.8,31,4,30,0,0,81.6
J Flacco,BAL,25,50,50.0,347,6.9,2,5,13,26.0,74,4,26,0,0,46.4
P Manning,DEN,28,34,82.4,327,9.6,4,0,18,52.9,52,1,6,0,0,146.0
J Cutler,CHI,27,47,57.4,317,6.7,2,3,13,27.7,44,3,31,1,1,65.6
T Brady,NE,20,31,64.5,316,10.2,2,0,14,45.2,49,0,0,0,0,119.8
G Smith,NYJ,23,34,67.6,289,8.5,1,2,11,32.4,36,5,50,1,1,79.2
A Smith,KC,24,41,58.5,288,7.0,3,2,15,36.6,34,1,0,0,0,84.2
B Hoyer,CLE,25,38,65.8,269,7.1,2,0,14,36.8,39,3,22,0,0,103.9
A Luck,IND,21,35,60.0,257,7.3,2,1,14,40.0,31,2,14,0,0,89.8
R Tannehill,MIA,22,35,62.9,249,7.1,1,3,13,37.1,50,4,33,0,0,57.9
M Vick,NYJ,14,27,51.9,248,9.2,0,0,10,37.0,38,3,13,0,0,83.6
C Palmer,ARZ,21,38,55.3,248,6.5,1,2,11,28.9,27,1,8,0,0,62.2
M Cassel,MIN,16,25,64.0,248,9.9,2,0,7,28.0,70,1,0,1,0,123.4
T Romo,DAL,27,37,73.0,246,6.6,2,0,15,40.5,34,3,19,0,0,108.6
M Stafford,DET,23,35,65.7,242,6.9,1,1,13,37.1,24,1,14,1,1,83.3
E Manning,NYG,18,37,48.6,217,5.9,1,1,8,21.6,69,3,17,1,1,64.8
A Dalton,CIN,23,42,54.8,206,4.9,0,1,10,23.8,29,2,3,1,1,58.2
S Bradford,STL,19,41,46.3,202,4.9,1,1,12,29.3,27,5,32,1,1,59.2
M Glennon,TB,24,43,55.8,193,4.5,1,2,13,30.2,20,2,20,0,0,55.7
B Gabbert,SF,17,32,53.1,179,5.6,0,3,10,31.3,31,4,14,0,0,30.6
C Kaepernick,SF,15,23,65.2,167,7.3,2,0,8,34.8,42,2,16,0,0,115.7
E Manuel,BUF,10,22,45.5,167,7.6,1,2,7,31.8,42,2,20,1,1,48.9
J Locker,TEN,18,24,75.0,149,6.2,3,0,9,37.5,25,2,13,0,0,130.0
R Wilson,SEA,12,23,52.2,123,5.3,0,1,6,26.1,24,5,32,0,0,49.7
R Fitzpatrick,HOU,3,8,37.5,108,13.5,1,0,2,25.0,77,0,0,0,0,125.0
N Foles,PHI,3,4,75.0,49,12.3,1,0,2,50.0,37,0,0,0,0,155.2
M Hasselbeck,IND,2,3,66.7,37,12.3,0,0,2,66.7,21,0,0,0,0,109.0
B Osweiler,DEN,2,3,66.7,10,3.3,0,0,1,33.3,5,0,0,0,0,71.5
