Player,Team,Comp,Att,Pct,Yds,YPA,TD,Int,1st,Pct,Lng,Sck,SckY,Fum,FumL,QBR
N Foles,PHI,30,48,62.5,428,8.9,3,1,22,45.8,51,4,32,0,0,103.5
R Fitzpatrick,HOU,36,58,62.1,402,6.9,4,2,23,39.7,33,3,8,1,0,91.3
D Brees,NO,39,56,69.6,393,7.0,1,2,24,42.9,30,4,22,1,1,80.4
M Cassel,MIN,26,35,74.3,382,10.9,2,1,14,40.0,57,3,12,0,0,116.6
K Cousins,WSH,29,45,64.4,381,8.5,3,2,18,40.0,62,1,8,1,1,94.8
T Brady,NE,34,55,61.8,364,6.6,2,1,19,34.5,30,1,7,0,0,85.7
T Romo,DAL,29,48,60.4,358,7.5,2,2,17,35.4,37,3,26,0,0,80.0
R Tannehill,MIA,25,37,67.6,312,8.4,3,0,16,43.2,39,4,23,0,0,120.6
M Flynn,GB,26,39,66.7,299,7.7,4,1,16,41.0,39,2,16,0,0,113.1
M McGloin,OAK,18,35,51.4,297,8.5,2,4,10,28.6,52,0,0,0,0,59.8
P Manning,DEN,27,41,65.9,289,7.0,2,1,16,39.0,22,1,12,0,0,92.4
A Smith,KC,17,20,85.0,287,14.4,5,0,10,50.0,71,2,12,1,1,158.3
J Campbell,CIN,23,39,59.0,273,7.0,1,2,12,30.8,44,0,0,0,0,67.6
C Newton,CAR,16,24,66.7,273,11.4,1,0,12,50.0,72,2,12,0,0,118.9
J Cutler,CHI,22,31,71.0,265,8.5,3,2,11,35.5,45,2,4,0,0,102.2
C Henne,JAX,21,36,58.3,237,6.6,2,2,11,30.6,30,5,42,0,0,73.5
M Stafford,DET,18,34,52.9,235,6.9,1,3,12,35.3,37,1,5,0,0,48.0
C Palmer,ARZ,20,30,66.7,231,7.7,1,0,12,40.0,38,2,16,0,0,100.8
A Dalton,CIN,25,44,56.8,230,5.2,2,0,13,29.5,19,1,8,0,0,86.4
J Flacco,BAL,20,38,52.6,222,5.8,0,0,11,28.9,27,1,7,1,0,70.3
M Ryan,ATL,29,38,76.3,210,5.5,1,1,10,26.3,19,3,21,1,1,86.5
R Wilson,SEA,18,27,66.7,206,7.6,1,1,10,37.0,30,4,29,1,0,86.3
C Kaepernick,SF,19,29,65.5,203,7.0,2,0,11,37.9,52,2,14,0,0,108.8
E Manuel,BUF,17,24,70.8,193,8.0,2,1,10,41.7,28,4,25,1,1,105.0
B Roethlisberger,PIT,20,25,80.0,191,7.6,1,1,11,44.0,21,1,7,0,0,95.2
A Luck,IND,19,32,59.4,180,5.6,2,1,9,28.1,41,1,1,0,0,82.8
M Glennon,TB,18,34,52.9,179,5.3,2,1,8,23.5,26,4,35,0,0,75.5
C Keenum,HOU,18,34,52.9,168,4.9,0,2,6,17.6,39,4,36,1,0,42.3
G Smith,NYJ,15,28,53.6,167,6.0,1,1,10,35.7,35,4,27,0,0,68.6
P Rivers,SD,12,20,60.0,166,8.3,2,0,10,50.0,32,2,6,0,0,120.0
K Clemens,SD,14,20,70.0,158,7.9,2,0,8,40.0,31,0,0,0,0,126.7
E Manning,NYG,18,31,58.1,156,5.0,0,5,9,29.0,20,3,24,2,0,31.9
C Daniel,KC,3,5,60.0,31,6.2,0,0,2,40.0,18,0,0,0,0,77.9
C Painter,NYG,4,4,100.0,30,7.5,0,0,1,25.0,9,1,6,0,0,97.9
M Reece,OAK,1,1,100.0,22,22.0,0,0,1,100.0,22,0,0,0,0,118.8
T Jackson,SEA,2,2,100.0,16,8.0,0,0,1,50.0,15,0,0,0,0,100.0
T Pryor,OAK,1,5,20.0,12,2.4,0,1,1,20.0,12,0,0,0,0,0.0
