Player,Team,Comp,Att,Pct,Yds,YPA,TD,Int,1st,Pct,Lng,Sck,SckY,Fum,FumL,QBR
P Rivers,SD,27,39,69.2,392,10.1,3,0,16,41.0,60,1,5,0,0,127.3
J McCown,TB,36,47,76.6,352,7.5,2,1,19,40.4,37,1,8,1,1,102.4
T Brady,NE,34,50,68.0,344,6.9,3,0,21,42.0,43,3,20,2,1,107.4
R Fitzpatrick,HOU,30,42,71.4,320,7.6,2,0,16,38.1,54,2,8,2,0,109.2
C Palmer,ARZ,26,37,70.3,314,8.5,2,0,18,48.6,32,3,24,1,0,114.0
R Tannehill,MIA,28,42,66.7,310,7.4,1,1,12,28.6,57,3,30,0,0,86.4
M Stafford,DET,26,46,56.5,297,6.5,3,4,16,34.8,28,2,11,0,0,61.6
A Smith,KC,26,38,68.4,294,7.7,3,1,16,42.1,36,3,13,0,0,106.7
M Ryan,ATL,30,39,76.9,292,7.5,0,0,15,38.5,22,5,28,0,0,97.4
D Brees,NO,23,33,69.7,278,8.4,2,0,14,42.4,44,1,7,0,0,115.5
J Flacco,BAL,17,26,65.4,273,10.5,1,1,9,34.6,66,4,28,0,0,97.1
M McGloin,OAK,19,32,59.4,260,8.1,1,1,14,43.8,27,0,0,0,0,82.8
M Glennon,TB,14,21,66.7,247,11.8,2,0,7,33.3,85,4,40,0,0,138.4
C Henne,JAX,23,32,71.9,239,7.5,0,0,11,34.4,51,4,24,1,0,93.1
C Kaepernick,SF,15,24,62.5,235,9.8,3,0,12,50.0,40,2,7,0,0,134.5
T Romo,DAL,23,38,60.5,234,6.2,2,1,15,39.5,24,4,30,0,0,84.8
C Ponder,MIN,21,30,70.0,233,7.8,1,0,13,43.3,31,6,18,0,0,103.9
M Flynn,GB,21,36,58.3,218,6.1,1,0,11,30.6,34,0,0,0,0,85.2
B Roethlisberger,PIT,22,34,64.7,217,6.4,2,0,12,35.3,41,0,0,0,0,102.2
B Weeden,DAL,13,30,43.3,209,7.0,1,1,9,30.0,47,3,6,1,1,64.4
E Manning,NYG,16,30,53.3,174,5.8,2,0,8,26.7,27,2,20,0,0,92.9
C Newton,CAR,19,38,50.0,174,4.6,1,1,10,26.3,29,3,15,0,0,60.6
C Keenum,HOU,18,34,52.9,169,5.0,0,1,5,14.7,37,2,28,0,0,54.7
K Clemens,SD,10,22,45.5,167,7.6,1,0,8,36.4,32,2,19,0,0,86.7
A Luck,IND,20,39,51.3,163,4.2,1,1,9,23.1,17,1,4,0,0,60.1
P Manning,DEN,19,36,52.8,150,4.2,2,1,11,30.6,31,2,18,1,0,70.4
G Smith,NYJ,9,22,40.9,127,5.8,0,2,7,31.8,30,3,22,0,0,22.3
J Campbell,CIN,14,22,63.6,124,5.6,0,0,6,27.3,24,2,15,1,1,78.6
R Griffin III,WSH,16,26,61.5,118,4.5,0,1,4,15.4,18,6,42,1,0,56.3
S Tolzien,GB,7,17,41.2,98,5.8,0,0,5,29.4,34,2,18,0,0,60.4
J Cribbs,NYJ,1,2,50.0,13,6.5,0,0,1,50.0,13,0,0,0,0,70.8
L Fitzgerald,ARZ,0,1,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.6
T Taylor,BAL,0,1,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.6
D Robinson,JAX,0,1,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.6
