Player,Team,Comp,Att,Pct,Yds,YPA,TD,Int,1st,Pct,Lng,Sck,SckY,Fum,FumL,QBR
B Roethlisberger,PIT,26,41,63.4,406,9.9,2,2,15,36.6,45,3,27,2,2,92.1
M Stafford,DET,25,42,59.5,385,9.2,2,1,18,42.9,47,1,7,0,0,95.8
P Manning,DEN,32,37,86.5,374,10.1,3,0,20,54.1,61,1,2,1,1,135.8
D Brees,NO,29,46,63.0,342,7.4,3,1,17,37.0,29,4,23,0,0,98.3
G Smith,NYJ,16,29,55.2,331,11.4,2,2,11,37.9,69,0,0,0,0,89.9
R Griffin III,WSH,32,50,64.0,326,6.5,0,1,21,42.0,27,2,26,1,0,74.3
B Hoyer,CLE,30,54,55.6,321,5.9,3,3,17,31.5,47,3,26,0,0,68.5
J Locker,TEN,23,37,62.2,299,8.1,1,0,14,37.8,35,2,17,0,0,96.6
T Pryor,OAK,19,28,67.9,281,10.0,1,0,9,32.1,73,3,23,0,0,112.4
A Smith,KC,22,35,62.9,273,7.8,0,0,12,34.3,51,5,25,0,0,87.0
A Rodgers,GB,26,43,60.5,244,5.7,1,2,12,27.9,30,4,27,0,0,64.5
E Manuel,BUF,19,42,45.2,243,5.8,1,0,6,14.3,33,8,35,0,0,71.8
S Bradford,STL,29,48,60.4,240,5.0,1,0,11,22.9,29,6,43,0,0,80.2
J Freeman,MIN,19,41,46.3,236,5.8,0,1,14,34.1,30,3,10,0,0,54.5
R Tannehill,MIA,24,35,68.6,236,6.7,2,1,13,37.1,21,5,41,2,1,94.5
C Henne,JAX,18,38,47.4,235,6.2,0,2,10,26.3,59,3,21,0,0,45.4
A Dalton,CIN,20,28,71.4,235,8.4,2,1,12,42.9,32,4,20,1,1,105.5
M Ryan,ATL,23,38,60.5,231,6.1,2,1,14,36.8,34,0,0,0,0,84.4
C Ponder,MIN,25,42,59.5,228,5.4,0,1,11,26.2,37,6,33,1,1,64.4
T Brady,NE,25,36,69.4,225,6.3,2,1,12,33.3,20,3,23,0,0,92.9
C Newton,CAR,15,27,55.6,223,8.3,3,1,11,40.7,47,1,15,0,0,104.4
T Romo,DAL,17,24,70.8,210,8.8,3,0,12,50.0,24,1,7,0,0,137.2
R Wilson,SEA,14,21,66.7,202,9.6,4,1,10,47.6,30,2,8,1,1,117.5
M Vick,NYJ,13,30,43.3,201,6.7,1,2,11,36.7,40,6,34,1,1,49.4
M Schaub,OAK,25,35,71.4,194,5.5,0,1,11,31.4,18,3,24,0,0,72.8
C Palmer,ARZ,18,35,51.4,187,5.3,0,2,9,25.7,26,4,26,0,0,43.4
P Rivers,SD,20,24,83.3,184,7.7,1,0,10,41.7,34,2,9,0,0,112.5
J Flacco,BAL,16,24,66.7,171,7.1,0,0,7,29.2,48,2,10,1,0,87.3
J Cutler,CHI,20,30,66.7,159,5.3,1,0,7,23.3,41,2,8,0,0,90.8
A Luck,IND,17,26,65.4,159,6.1,0,0,9,34.6,25,1,7,0,0,82.1
C Kaepernick,SF,13,27,48.1,150,5.6,0,1,8,29.6,30,3,11,1,1,49.9
T Jackson,SEA,7,8,87.5,129,16.1,1,0,6,75.0,35,0,0,0,0,158.3
E Manning,NYG,12,23,52.2,119,5.2,0,1,4,17.4,24,7,45,0,0,49.0
M Flynn,GB,1,2,50.0,19,9.5,0,0,1,50.0,19,0,0,0,0,83.3
D McFadden,OAK,1,1,100.0,16,16.0,1,0,1,100.0,16,0,0,0,0,158.3
C Painter,NYG,2,4,50.0,16,4.0,0,1,1,25.0,9,0,0,0,0,20.8
S Lanning,CLE,1,1,100.0,11,11.0,1,0,1,100.0,11,0,0,0,0,152.1
J Hekker,STL,0,1,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.6
D Robinson,JAX,0,0,-,0,-,0,0,0,-,0,1,0,1,1,-
