Player,Team,Comp,Att,Pct,Yds,YPA,TD,Int,1st,Pct,Lng,Sck,SckY,Fum,FumL,QBR
T Brady,NE,23,33,69.7,432,13.1,4,0,17,51.5,81,3,19,0,0,151.8
N Foles,PHI,22,28,78.6,406,14.5,7,0,15,53.6,63,2,5,0,0,158.3
B Roethlisberger,PIT,28,48,58.3,400,8.3,4,2,18,37.5,42,5,29,1,1,95.8
D Brees,NO,30,51,58.8,382,7.5,2,2,16,31.4,60,2,16,1,0,79.0
C Keenum,HOU,20,34,58.8,350,10.3,3,0,16,47.1,62,1,10,0,0,123.4
P Rivers,SD,29,46,63.0,341,7.4,2,2,20,43.5,22,1,0,0,0,81.9
A Dalton,CIN,32,53,60.4,338,6.4,0,3,17,32.1,26,5,36,1,1,55.4
T Romo,DAL,34,51,66.7,337,6.6,2,1,16,31.4,34,3,23,0,0,90.1
R Griffin III,WSH,23,32,71.9,291,9.1,0,1,12,37.5,38,0,0,0,0,86.8
T Pryor,OAK,22,41,53.7,288,7.0,0,2,11,26.8,66,3,25,0,0,55.7
J McCown,TB,22,41,53.7,272,6.6,2,0,15,36.6,33,1,1,0,0,90.7
A Luck,IND,18,40,45.0,271,6.8,3,0,11,27.5,58,4,26,0,0,92.8
J Campbell,CIN,23,35,65.7,262,7.5,3,0,11,31.4,46,2,18,0,0,116.6
J Flacco,BAL,24,41,58.5,250,6.1,2,1,11,26.8,46,5,27,0,0,82.4
C Newton,CAR,23,37,62.2,249,6.7,1,2,13,35.1,30,1,7,0,0,68.4
C Ponder,MIN,25,37,67.6,236,6.4,1,1,13,35.1,31,2,12,2,1,82.7
J Tuel,BUF,18,39,46.2,229,5.9,1,2,12,30.8,59,0,0,0,0,52.2
M Ryan,ATL,20,27,74.1,219,8.1,1,3,10,37.0,41,1,8,0,0,70.4
R Wilson,SEA,19,26,73.1,217,8.3,2,2,11,42.3,28,0,0,0,0,91.3
K Clemens,SD,20,35,57.1,210,6.0,1,0,13,37.1,25,2,7,1,1,84.2
R Tannehill,MIA,20,28,71.4,208,7.4,0,0,7,25.0,40,3,20,0,0,92.6
J Locker,TEN,13,22,59.1,185,8.4,0,2,8,36.4,45,4,20,0,0,48.5
M Glennon,TB,17,23,73.9,168,7.3,2,0,9,39.1,27,3,25,0,0,123.1
A Smith,KC,19,29,65.5,124,4.3,0,0,8,27.6,20,2,9,1,0,74.5
G Smith,NYJ,8,19,42.1,115,6.1,0,0,5,26.3,44,2,0,0,0,62.4
S Wallace,GB,11,19,57.9,114,6.0,0,1,5,26.3,17,4,25,0,0,53.4
M McGloin,OAK,7,15,46.7,87,5.8,0,0,4,26.7,22,0,0,0,0,65.1
A Rodgers,GB,1,2,50.0,27,13.5,0,0,1,50.0,27,1,3,0,0,95.8
J Cribbs,NYJ,1,1,100.0,25,25.0,0,0,1,100.0,25,0,0,0,0,118.8
M Barkley,PHI,2,3,66.7,13,4.3,0,0,0,0.0,10,0,0,0,0,75.7
M James,TB,1,1,100.0,2,2.0,1,0,1,100.0,2,0,0,0,0,118.8
B Weeden,DAL,1,2,50.0,-2,-1.0,0,0,0,0.0,-2,0,0,0,0,56.3
