Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
J Hanson,DET,12,2,2,100.0,51,0,6,6,100.0,0
J Kasay,NO,12,3,3,100.0,53,0,3,3,100.0,0
A Vinatieri,IND,13,4,4,100.0,52,0,1,1,100.0,0
R Longwell,MIN,8,2,2,100.0,29,0,2,2,100.0,0
O Mare,CAR,11,3,3,100.0,33,0,2,2,100.0,0
D Akers,SF,6,1,1,100.0,55,0,3,3,100.0,0
P Dawson,CLE,0,2,2,100.0,23,0,3,3,100.0,0
N Rackers,HOU,0,3,3,100.0,36,0,2,2,100.0,0
B Cundiff,BAL,0,2,2,100.0,41,0,1,1,100.0,0
J Brown,STL,0,3,3,100.0,27,0,1,1,100.0,0
J Scobee,JAX,0,1,1,100.0,55,0,0,0,-,0
R Gould,CHI,0,2,2,100.0,42,0,1,1,100.0,0
M Nugent,CIN,0,3,3,100.0,45,0,1,1,100.0,0
S Gostkowski,NE,9,2,2,100.0,47,0,3,3,100.0,0
N Folk,NYJ,12,3,3,100.0,45,0,3,3,100.0,0
M Prater,DEN,6,1,1,100.0,34,0,3,3,100.0,0
M Crosby,GB,0,3,3,100.0,37,0,3,3,100.0,0
C Barth,TB,0,1,1,100.0,36,0,3,3,100.0,0
R Bironas,TEN,14,4,5,80.0,43,0,2,2,100.0,0
G Gano,WSH,10,3,4,75.0,34,1,1,1,100.0,0
D Bailey,DAL,0,2,3,66.7,48,0,3,3,100.0,0
R Lindell,BUF,8,1,2,50.0,25,1,5,5,100.0,0
S Suisham,PIT,6,1,2,50.0,20,0,3,3,100.0,0
D Carpenter,MIA,7,2,4,50.0,42,1,1,1,100.0,0
R Succop,KC,0,1,2,50.0,33,0,0,0,-,0
A Henery,PHI,0,1,2,50.0,22,0,4,4,100.0,0
