Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
J Hanson,DET,10,2,2,100.0,30,0,4,4,100.0,0
J Kasay,NO,0,3,3,100.0,29,0,1,1,100.0,0
A Vinatieri,IND,0,1,1,100.0,22,0,1,1,100.0,0
P Dawson,CLE,0,1,1,100.0,20,0,0,0,-,0
B Cundiff,BAL,6,1,1,100.0,36,0,3,3,100.0,0
J Brown,STL,0,2,2,100.0,46,0,1,1,100.0,0
L Tynes,NYG,0,2,2,100.0,26,0,3,3,100.0,0
R Gould,CHI,0,1,1,100.0,57,0,1,1,100.0,0
R Bironas,TEN,5,1,1,100.0,43,0,2,2,100.0,0
M Nugent,CIN,13,4,4,100.0,49,0,1,1,100.0,0
N Novak,SD,7,1,1,100.0,47,0,4,5,80.0,1
S Gostkowski,NE,0,2,2,100.0,24,0,4,4,100.0,0
M Crosby,GB,16,4,4,100.0,49,0,4,5,80.0,1
R Succop,KC,0,1,1,100.0,53,0,1,1,100.0,0
G Gano,WSH,9,2,2,100.0,25,0,3,3,100.0,0
A Henery,PHI,0,1,1,100.0,40,0,3,3,100.0,0
D Akers,SF,0,4,5,80.0,46,0,1,1,100.0,0
S Hauschka,SEA,12,3,4,75.0,48,0,3,3,100.0,0
N Rackers,HOU,0,2,3,66.7,46,0,2,2,100.0,0
M Prater,DEN,7,2,3,66.7,59,1,1,1,100.0,0
D Bailey,DAL,10,2,3,66.7,49,1,4,4,100.0,0
M Bryant,ATL,0,1,2,50.0,30,0,4,4,100.0,0
D Rayner,BUF,0,1,2,50.0,37,0,1,1,100.0,0
D Carpenter,MIA,4,1,2,50.0,22,0,1,1,100.0,0
O Mare,CAR,3,0,1,0.0,0,0,3,3,100.0,0
