Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
J Hanson,DET,0,4,4,100.0,50,0,2,2,100.0,0
J Kasay,NO,6,1,1,100.0,35,0,3,3,100.0,0
A Vinatieri,IND,8,2,2,100.0,25,0,2,2,100.0,0
R Longwell,MIN,11,3,3,100.0,49,0,2,2,100.0,0
O Mare,CAR,6,2,2,100.0,35,0,0,0,-,0
D Akers,SF,0,2,2,100.0,53,0,1,1,100.0,0
P Dawson,CLE,5,1,1,100.0,30,0,2,2,100.0,0
N Rackers,HOU,0,4,4,100.0,36,0,3,3,100.0,0
R Lindell,BUF,10,2,2,100.0,42,0,4,4,100.0,0
M Bryant,ATL,0,2,2,100.0,33,0,1,1,100.0,0
J Scobee,JAX,0,1,1,100.0,53,0,1,1,100.0,0
R Gould,CHI,5,1,1,100.0,25,0,2,2,100.0,0
R Bironas,TEN,5,1,1,100.0,46,0,2,2,100.0,0
M Nugent,CIN,6,2,2,100.0,23,0,0,0,-,0
N Novak,SD,8,2,2,100.0,41,0,2,2,100.0,0
S Gostkowski,NE,0,1,1,100.0,23,0,4,4,100.0,0
N Folk,NYJ,0,1,1,100.0,21,0,3,3,100.0,0
M Crosby,GB,0,2,2,100.0,37,0,3,3,100.0,0
C Barth,TB,10,3,3,100.0,49,0,1,1,100.0,0
S Hauschka,SEA,7,2,2,100.0,52,0,1,1,100.0,0
D Bailey,DAL,18,6,6,100.0,41,0,0,0,-,0
A Henery,PHI,10,3,3,100.0,38,0,1,1,100.0,0
S Suisham,PIT,0,3,4,75.0,48,0,2,2,100.0,0
D Carpenter,MIA,0,3,4,75.0,41,0,1,1,100.0,0
G Gano,WSH,0,3,4,75.0,50,1,1,1,100.0,0
S Janikowski,OAK,10,2,3,66.7,54,0,4,4,100.0,0
B Cundiff,BAL,0,3,5,60.0,38,0,4,4,100.0,0
R Succop,KC,0,1,2,50.0,33,0,2,2,100.0,0
J Feely,ARZ,0,1,3,33.3,44,0,1,1,100.0,0
